id_demande,id_etudiant,id_staff,type_demande,date_soumission,date_resolution,resolu_premier_contact,satisfaction_service,delai_jours
11036,1858,617,Relevé de notes,2021-10-30,2021-11-13,Oui,2,14
11037,2160,611,Équivalence,2024-06-24,2024-07-02,Non,1,8
11038,1174,625,Attestation,2023-05-22,2023-06-04,Non,5,13
11039,1144,622,Bourse,2023-10-19,2023-10-26,Oui,5,7
11040,1390,606,Bourse,2022-08-14,2022-08-24,Oui,4,10
11041,1095,630,Autre,2024-08-16,2024-08-26,Non,5,10
11042,1089,614,Autre,2023-07-19,2023-08-01,Non,1,13
11043,1456,610,Équivalence,2022-09-27,2022-09-28,Oui,1,1
11044,1101,605,Équivalence,2022-02-08,2022-02-11,Non,2,3
11045,1285,629,Relevé de notes,2021-10-21,2021-11-04,Non,5,14
11046,1743,621,Autre,2025-03-04,2025-03-18,Non,3,14
11047,1286,619,Relevé de notes,2022-03-19,2022-03-31,Oui,1,12
11048,1302,607,Attestation,2024-04-09,2024-04-12,Oui,2,3
11049,2134,605,Relevé de notes,2023-01-10,2023-01-16,Oui,2,6
11050,1736,603,Attestation,2024-11-24,2024-12-03,Oui,1,9
11051,2194,616,Équivalence,2023-01-07,2023-01-18,Non,2,11
11052,1938,620,Relevé de notes,2024-09-13,2024-09-27,Oui,4,14
11053,1799,615,Autre,2024-10-04,2024-10-12,Oui,2,8
11054,1016,621,Autre,2023-01-17,2023-01-24,Oui,3,7
11055,1785,626,Équivalence,2022-09-09,2022-09-12,Oui,3,3
11056,1524,622,Bourse,2022-04-02,2022-04-07,Oui,5,5
11057,1942,609,Relevé de notes,2023-10-12,2023-10-18,Non,1,6
11058,1048,613,Autre,2023-12-05,2023-12-08,Non,1,3
11059,2141,621,Bourse,2023-05-27,2023-06-07,Oui,5,11
11060,1253,619,Autre,2025-02-10,2025-02-21,Oui,4,11
11061,1355,627,Autre,2022-06-17,2022-06-18,Non,5,1
11062,1427,601,Attestation,2022-02-10,2022-02-12,Non,5,2
11063,1448,619,Attestation,2023-03-11,2023-03-15,Non,3,4
11064,2126,604,Attestation,2022-02-20,2022-03-02,Oui,4,10
11065,1511,629,Relevé de notes,2024-12-24,2024-12-31,Oui,1,7
11066,1003,615,Bourse,2025-03-05,2025-03-11,Non,5,6
11067,1579,610,Relevé de notes,2023-07-28,2023-07-29,Oui,2,1
11068,1341,619,Autre,2024-02-21,2024-02-23,Oui,1,2
11069,2066,609,Bourse,2022-06-18,2022-06-30,Oui,1,12
11070,1774,619,Relevé de notes,2023-12-18,2023-12-20,Oui,4,2
11071,1120,617,Autre,2022-09-02,2022-09-07,Oui,3,5
11072,1877,608,Relevé de notes,2022-04-23,2022-05-08,Oui,2,15
11073,1402,616,Attestation,2024-07-03,2024-07-05,Oui,3,2
11074,1603,603,Attestation,2024-05-16,2024-05-28,Non,2,12
11075,1326,606,Équivalence,2024-05-02,2024-05-09,Non,3,7
11076,1251,623,Bourse,2025-01-13,2025-01-18,Oui,2,5
11077,2094,607,Autre,2023-09-08,2023-09-23,Non,3,15
11078,1884,608,Bourse,2022-02-19,2022-03-04,Oui,4,13
11079,1243,614,Bourse,2024-07-25,2024-07-27,Non,3,2
11080,2025,609,Équivalence,2024-02-06,2024-02-13,Non,1,7
11081,1121,626,Attestation,2022-09-25,2022-09-28,Oui,1,3
11082,1207,611,Autre,2022-08-31,2022-09-14,Oui,3,14
11083,1202,618,Bourse,2022-05-06,2022-05-20,Non,5,14
11084,1248,627,Attestation,2022-02-14,2022-03-01,Oui,1,15
11085,1094,605,Relevé de notes,2023-04-08,2023-04-15,Non,3,7
11086,1692,621,Autre,2023-01-25,2023-02-09,Non,4,15
11087,2045,619,Attestation,2024-07-10,2024-07-13,Oui,1,3
11088,2102,604,Relevé de notes,2023-03-09,2023-03-10,Non,2,1
11089,1467,626,Attestation,2023-07-22,2023-07-29,Non,4,7
11090,1784,613,Attestation,2024-06-11,2024-06-25,Non,2,14
11091,1814,618,Autre,2024-03-16,2024-03-18,Non,2,2
11092,2137,618,Bourse,2024-04-06,2024-04-15,Oui,4,9
11093,1942,603,Autre,2024-07-16,2024-07-29,Oui,1,13
11094,2090,608,Bourse,2025-02-12,2025-02-16,Non,4,4
11095,1094,612,Attestation,2024-02-26,2024-03-09,Oui,1,12
11096,1524,616,Relevé de notes,2025-04-20,2025-05-04,Oui,1,14
11097,1063,606,Autre,2025-03-08,2025-03-17,Oui,2,9
11098,1233,623,Attestation,2022-03-13,2022-03-17,Oui,3,4
11099,1638,621,Attestation,2024-07-13,2024-07-16,Non,3,3
11100,1562,625,Bourse,2022-12-24,2022-12-25,Non,3,1
11101,1952,618,Autre,2023-10-22,2023-11-01,Non,3,10
11102,1672,619,Équivalence,2022-06-28,2022-07-11,Oui,2,13
11103,1033,625,Attestation,2023-05-09,2023-05-19,Oui,1,10
11104,1860,617,Autre,2024-12-23,2024-12-31,Non,2,8
11105,1737,601,Attestation,2023-01-19,2023-01-24,Oui,3,5
11106,1746,603,Attestation,2022-04-01,2022-04-11,Oui,2,10
11107,1440,601,Équivalence,2025-03-13,2025-03-14,Oui,4,1
11108,1977,601,Équivalence,2023-11-09,2023-11-11,Non,1,2
11109,1824,618,Bourse,2023-11-04,2023-11-15,Oui,4,11
11110,2103,622,Relevé de notes,2023-05-30,2023-06-12,Non,1,13
11111,2001,605,Autre,2025-01-10,2025-01-19,Oui,3,9
11112,1146,617,Attestation,2024-08-07,2024-08-22,Non,5,15
11113,1806,620,Relevé de notes,2023-11-07,2023-11-17,Non,2,10
11114,1525,602,Bourse,2023-03-30,2023-04-04,Oui,3,5
11115,1634,616,Équivalence,2024-02-18,2024-02-21,Oui,2,3
11116,1456,625,Autre,2022-02-17,2022-03-02,Oui,4,13
11117,1827,605,Attestation,2022-10-07,2022-10-18,Oui,5,11
11118,1016,622,Bourse,2022-01-31,2022-02-07,Oui,5,7
11119,1978,624,Relevé de notes,2023-04-27,2023-04-29,Oui,2,2
11120,1059,603,Équivalence,2022-01-18,2022-02-02,Oui,1,15
11121,2080,630,Équivalence,2023-11-09,2023-11-16,Oui,2,7
11122,1205,623,Autre,2024-02-14,2024-02-17,Oui,3,3
11123,1442,627,Bourse,2024-10-11,2024-10-21,Oui,5,10
11124,1105,626,Bourse,2023-01-26,2023-02-07,Oui,4,12
11125,1750,623,Équivalence,2021-11-20,2021-12-03,Non,1,13
11126,1854,611,Équivalence,2022-07-23,2022-08-06,Non,3,14
11127,1570,604,Équivalence,2023-10-27,2023-11-10,Oui,3,14
11128,1860,615,Attestation,2023-11-19,2023-11-26,Non,3,7
11129,1230,603,Attestation,2024-03-27,2024-04-09,Oui,2,13
11130,2013,601,Attestation,2021-11-19,2021-12-04,Oui,5,15
11131,1692,621,Autre,2021-10-07,2021-10-19,Non,5,12
11132,1753,619,Équivalence,2022-09-28,2022-10-11,Non,4,13
11133,1381,626,Équivalence,2025-03-16,2025-03-26,Oui,2,10
11134,1695,605,Bourse,2023-09-11,2023-09-23,Non,4,12
11135,1716,601,Relevé de notes,2024-01-11,2024-01-13,Non,2,2
11136,2052,621,Bourse,2023-08-13,2023-08-27,Non,5,14
11137,2057,614,Attestation,2021-12-06,2021-12-20,Oui,5,14
11138,2058,624,Relevé de notes,2024-01-31,2024-02-11,Oui,1,11
11139,1574,605,Relevé de notes,2023-01-31,2023-02-04,Oui,5,4
11140,2016,618,Bourse,2025-01-17,2025-01-31,Oui,2,14
11141,1254,623,Attestation,2022-05-26,2022-06-09,Oui,1,14
11142,2194,618,Autre,2023-01-06,2023-01-10,Oui,2,4
11143,1029,609,Attestation,2021-09-20,2021-09-30,Oui,1,10
11144,1861,612,Autre,2023-01-20,2023-01-28,Oui,3,8
11145,1033,604,Bourse,2024-11-05,2024-11-16,Oui,1,11
11146,1682,624,Attestation,2023-07-27,2023-08-03,Oui,2,7
11147,2123,616,Attestation,2023-08-22,2023-08-30,Oui,5,8
11148,1666,620,Attestation,2021-12-05,2021-12-15,Non,2,10
11149,2155,601,Bourse,2024-04-02,2024-04-14,Oui,4,12
11150,1140,625,Autre,2022-10-01,2022-10-08,Non,5,7
11151,1396,625,Autre,2022-04-17,2022-04-26,Oui,4,9
11152,2108,607,Équivalence,2023-03-01,2023-03-10,Oui,2,9
11153,1850,603,Équivalence,2023-12-16,2023-12-26,Non,2,10
11154,1973,629,Attestation,2023-11-06,2023-11-14,Oui,4,8
11155,1380,620,Équivalence,2024-03-26,2024-04-01,Oui,5,6
11156,1369,623,Équivalence,2023-05-06,2023-05-21,Oui,5,15
11157,1558,623,Autre,2022-03-23,2022-03-29,Oui,5,6
11158,2106,618,Attestation,2024-04-04,2024-04-19,Oui,3,15
11159,1284,609,Bourse,2022-03-17,2022-03-29,Oui,2,12
11160,1968,602,Bourse,2024-02-28,2024-03-12,Oui,1,13
11161,1968,611,Bourse,2024-08-28,2024-09-10,Non,1,13
11162,1334,609,Bourse,2023-06-22,2023-06-29,Non,5,7
11163,2100,618,Équivalence,2022-02-12,2022-02-21,Oui,4,9
11164,1754,628,Attestation,2024-07-24,2024-08-03,Oui,1,10
11165,2176,604,Autre,2022-12-07,2022-12-22,Non,2,15
11166,1128,615,Bourse,2024-08-12,2024-08-20,Oui,1,8
11167,1345,601,Attestation,2023-05-05,2023-05-20,Oui,2,15
11168,2102,628,Bourse,2023-03-21,2023-04-04,Oui,2,14
11169,1358,618,Attestation,2024-10-05,2024-10-20,Oui,3,15
11170,1800,606,Bourse,2021-10-05,2021-10-10,Oui,4,5
11171,1402,626,Bourse,2024-08-27,2024-09-03,Non,4,7
11172,1841,622,Relevé de notes,2022-09-14,2022-09-18,Non,4,4
11173,1098,617,Autre,2022-12-10,2022-12-14,Non,1,4
11174,1653,625,Bourse,2023-01-09,2023-01-14,Oui,3,5
11175,2025,610,Relevé de notes,2023-11-22,2023-12-03,Non,2,11
11176,1087,628,Autre,2022-01-07,2022-01-19,Non,3,12
11177,1793,618,Équivalence,2023-04-30,2023-05-10,Oui,1,10
11178,1386,602,Équivalence,2024-05-25,2024-06-02,Oui,5,8
11179,1156,623,Autre,2021-09-07,2021-09-17,Oui,5,10
11180,2026,628,Bourse,2025-04-05,2025-04-20,Non,4,15
11181,1140,615,Attestation,2024-03-02,2024-03-09,Oui,5,7
11182,1242,603,Attestation,2024-11-20,2024-11-26,Non,2,6
11183,1334,611,Équivalence,2023-08-21,2023-08-28,Oui,4,7
11184,1117,624,Autre,2022-05-31,2022-06-02,Oui,1,2
11185,1053,612,Équivalence,2022-06-19,2022-06-28,Oui,5,9
11186,1048,601,Attestation,2023-08-05,2023-08-11,Oui,3,6
11187,1151,612,Équivalence,2023-05-03,2023-05-08,Non,4,5
11188,1767,624,Équivalence,2023-01-01,2023-01-02,Oui,2,1
11189,1889,605,Relevé de notes,2024-06-14,2024-06-20,Non,1,6
11190,1924,611,Autre,2022-08-02,2022-08-04,Non,5,2
11191,2150,607,Autre,2022-09-02,2022-09-16,Oui,1,14
11192,1942,601,Attestation,2023-06-19,2023-06-23,Oui,2,4
11193,1804,623,Attestation,2025-04-07,2025-04-15,Non,4,8
11194,1444,605,Bourse,2022-09-14,2022-09-15,Oui,5,1
11195,1289,608,Équivalence,2025-01-27,2025-01-31,Oui,4,4
11196,2007,616,Autre,2023-09-19,2023-09-26,Oui,3,7
11197,2117,611,Relevé de notes,2023-10-10,2023-10-17,Oui,2,7
11198,1602,617,Bourse,2023-03-22,2023-03-24,Non,2,2
11199,2151,620,Autre,2024-01-06,2024-01-17,Oui,5,11
11200,1997,615,Bourse,2021-11-12,2021-11-27,Non,4,15
11201,1586,614,Bourse,2025-03-21,2025-04-05,Oui,5,15
11202,1900,618,Bourse,2023-07-26,2023-08-06,Oui,4,11
11203,1180,625,Autre,2023-05-06,2023-05-12,Oui,2,6
11204,1919,619,Relevé de notes,2023-03-22,2023-03-25,Oui,3,3
11205,1261,628,Autre,2023-10-31,2023-11-09,Non,5,9
11206,1817,612,Relevé de notes,2023-09-14,2023-09-16,Oui,2,2
11207,1426,611,Attestation,2024-08-03,2024-08-11,Non,1,8
11208,1985,617,Équivalence,2024-10-02,2024-10-10,Non,2,8
11209,1140,609,Bourse,2023-02-14,2023-02-25,Oui,5,11
11210,1994,615,Bourse,2024-05-07,2024-05-18,Oui,4,11
11211,1404,619,Équivalence,2023-12-14,2023-12-27,Non,1,13
11212,1138,617,Autre,2021-10-08,2021-10-12,Non,4,4
11213,1997,628,Autre,2022-09-02,2022-09-10,Non,4,8
11214,1840,622,Autre,2021-12-22,2022-01-05,Non,5,14
11215,1783,615,Bourse,2024-08-04,2024-08-15,Oui,2,11
11216,1063,622,Bourse,2021-09-19,2021-09-25,Non,4,6
11217,1827,606,Relevé de notes,2024-08-31,2024-09-05,Non,1,5
11218,1537,625,Équivalence,2023-12-09,2023-12-13,Non,3,4
11219,1829,628,Bourse,2022-03-09,2022-03-18,Oui,1,9
11220,1176,605,Attestation,2023-08-10,2023-08-14,Non,3,4
11221,1479,623,Autre,2022-01-25,2022-02-05,Oui,2,11
11222,2028,621,Équivalence,2025-03-11,2025-03-21,Oui,5,10
11223,1881,622,Autre,2021-12-06,2021-12-15,Non,4,9
11224,1222,630,Bourse,2023-06-07,2023-06-20,Non,4,13
11225,1109,626,Attestation,2023-12-19,2024-01-01,Non,4,13
11226,1717,619,Relevé de notes,2021-09-29,2021-10-12,Non,5,13
11227,1076,604,Bourse,2023-12-29,2024-01-06,Non,3,8
11228,1794,610,Attestation,2022-08-04,2022-08-07,Oui,2,3
11229,1767,611,Relevé de notes,2023-02-21,2023-02-28,Oui,5,7
11230,1996,618,Équivalence,2023-09-10,2023-09-22,Oui,2,12
11231,1777,618,Relevé de notes,2023-06-12,2023-06-14,Oui,2,2
11232,1369,606,Équivalence,2021-09-12,2021-09-26,Non,1,14
11233,1166,617,Attestation,2022-02-17,2022-02-21,Oui,1,4
11234,1570,620,Autre,2022-06-21,2022-06-23,Non,1,2
11235,2093,609,Équivalence,2021-11-05,2021-11-17,Non,3,12
11236,1915,622,Équivalence,2023-07-14,2023-07-20,Non,2,6
11237,1444,605,Autre,2023-04-18,2023-04-29,Non,2,11
11238,1140,607,Relevé de notes,2022-12-13,2022-12-28,Oui,1,15
11239,1494,614,Équivalence,2024-09-30,2024-10-13,Oui,5,13
11240,2060,608,Bourse,2023-02-20,2023-03-02,Oui,5,10
11241,1021,617,Bourse,2024-07-17,2024-07-28,Oui,4,11
11242,2019,607,Relevé de notes,2025-01-12,2025-01-21,Oui,5,9
11243,1647,617,Bourse,2024-03-17,2024-04-01,Non,3,15
11244,1972,604,Relevé de notes,2024-01-23,2024-01-26,Oui,4,3
11245,1295,609,Bourse,2021-12-19,2021-12-30,Oui,4,11
11246,1567,612,Autre,2025-02-01,2025-02-10,Non,5,9
11247,1060,620,Attestation,2025-02-10,2025-02-22,Non,4,12
11248,1058,619,Bourse,2023-11-27,2023-12-12,Oui,4,15
11249,1112,627,Équivalence,2024-08-10,2024-08-14,Oui,2,4
11250,1831,624,Bourse,2024-01-20,2024-01-25,Oui,5,5
11251,2160,619,Autre,2024-08-25,2024-09-09,Oui,4,15
11252,1549,625,Bourse,2022-08-30,2022-09-04,Non,4,5
11253,1292,624,Autre,2023-01-10,2023-01-12,Non,3,2
11254,1088,619,Relevé de notes,2022-06-14,2022-06-25,Non,4,11
11255,1504,622,Autre,2023-05-20,2023-05-30,Oui,1,10
11256,1189,622,Attestation,2024-12-20,2024-12-29,Oui,2,9
11257,1373,625,Attestation,2022-06-11,2022-06-12,Oui,3,1
11258,2040,612,Attestation,2022-03-17,2022-03-20,Non,2,3
11259,1572,602,Bourse,2023-10-25,2023-11-03,Oui,3,9
11260,1795,622,Bourse,2022-04-10,2022-04-22,Oui,2,12
11261,1017,601,Autre,2022-12-15,2022-12-23,Oui,4,8
11262,1762,603,Autre,2024-06-17,2024-06-25,Oui,1,8
11263,1361,606,Équivalence,2021-12-04,2021-12-08,Oui,1,4
11264,1588,625,Équivalence,2024-05-02,2024-05-06,Non,5,4
11265,1330,614,Équivalence,2023-04-11,2023-04-15,Non,3,4
11266,1865,609,Relevé de notes,2024-08-25,2024-08-30,Non,1,5
11267,1428,605,Relevé de notes,2022-01-05,2022-01-19,Oui,2,14
11268,1725,626,Bourse,2024-09-20,2024-10-05,Oui,2,15
11269,1891,629,Équivalence,2024-03-03,2024-03-15,Oui,2,12
11270,1729,618,Bourse,2021-12-22,2022-01-03,Non,5,12
11271,1866,629,Bourse,2022-08-23,2022-08-25,Oui,3,2
11272,1860,618,Relevé de notes,2025-01-16,2025-01-26,Oui,2,10
11273,1191,630,Relevé de notes,2023-03-10,2023-03-14,Oui,1,4
11274,1749,617,Autre,2022-07-03,2022-07-09,Oui,5,6
11275,1345,623,Relevé de notes,2024-07-31,2024-08-04,Non,1,4
11276,1245,609,Attestation,2024-05-05,2024-05-14,Oui,2,9
11277,1043,622,Équivalence,2023-07-08,2023-07-16,Oui,4,8
11278,2021,627,Autre,2021-12-29,2022-01-06,Oui,2,8
11279,1704,610,Équivalence,2023-05-08,2023-05-13,Oui,3,5
11280,1143,604,Relevé de notes,2025-01-16,2025-01-24,Oui,1,8
11281,1851,626,Autre,2023-10-06,2023-10-19,Oui,4,13
11282,1085,605,Bourse,2022-11-06,2022-11-08,Oui,2,2
11283,1606,611,Autre,2023-11-02,2023-11-15,Oui,4,13
11284,1573,614,Autre,2022-12-17,2022-12-27,Non,3,10
11285,1438,623,Attestation,2023-10-01,2023-10-10,Oui,1,9
11286,1394,628,Bourse,2024-11-16,2024-11-17,Oui,5,1
11287,1976,605,Équivalence,2023-08-08,2023-08-17,Oui,2,9
11288,1970,612,Attestation,2022-09-19,2022-10-01,Non,2,12
11289,1146,620,Relevé de notes,2024-06-02,2024-06-13,Oui,4,11
11290,1227,624,Attestation,2023-05-20,2023-05-23,Oui,2,3
11291,1899,627,Relevé de notes,2022-12-26,2023-01-04,Oui,5,9
11292,2001,608,Équivalence,2024-09-25,2024-09-26,Oui,4,1
11293,2166,616,Attestation,2025-03-29,2025-04-03,Non,4,5
11294,1641,619,Autre,2025-04-21,2025-05-01,Non,1,10
11295,2154,627,Équivalence,2025-03-15,2025-03-17,Non,3,2
11296,1491,612,Équivalence,2022-11-26,2022-12-08,Oui,2,12
11297,1683,626,Attestation,2022-09-22,2022-10-02,Oui,2,10
11298,1159,628,Attestation,2022-01-28,2022-02-12,Oui,5,15
11299,1091,601,Attestation,2024-04-23,2024-04-24,Non,5,1
11300,1262,602,Bourse,2022-06-14,2022-06-17,Oui,2,3
11301,1342,602,Autre,2022-05-27,2022-06-08,Non,5,12
11302,1736,613,Attestation,2022-12-26,2023-01-05,Oui,5,10
11303,1063,610,Équivalence,2024-11-13,2024-11-22,Oui,4,9
11304,1916,604,Attestation,2022-01-24,2022-02-07,Non,1,14
11305,2099,606,Bourse,2023-04-09,2023-04-17,Oui,4,8
11306,2158,620,Attestation,2023-08-23,2023-09-07,Oui,1,15
11307,2163,602,Équivalence,2024-05-25,2024-05-29,Oui,4,4
11308,1826,617,Autre,2023-06-26,2023-06-27,Non,5,1
11309,1880,625,Attestation,2023-09-18,2023-09-26,Oui,2,8
11310,1404,604,Équivalence,2024-04-10,2024-04-25,Oui,1,15
11311,1714,602,Relevé de notes,2023-01-02,2023-01-16,Oui,3,14
11312,1807,627,Relevé de notes,2023-07-29,2023-07-30,Oui,2,1
11313,1125,630,Bourse,2024-04-06,2024-04-19,Non,2,13
11314,1181,622,Équivalence,2023-03-18,2023-04-02,Non,5,15
11315,1643,614,Bourse,2023-02-09,2023-02-22,Non,4,13
11316,1776,615,Équivalence,2024-09-04,2024-09-11,Oui,3,7
11317,1246,609,Relevé de notes,2023-12-23,2024-01-02,Non,5,10
11318,1036,601,Attestation,2023-05-18,2023-05-19,Oui,1,1
11319,1909,609,Relevé de notes,2022-11-08,2022-11-21,Oui,4,13
11320,2002,624,Attestation,2024-07-12,2024-07-17,Oui,1,5
11321,2040,626,Relevé de notes,2024-04-30,2024-05-04,Oui,2,4
11322,1666,628,Autre,2022-09-05,2022-09-08,Oui,2,3
11323,1876,625,Relevé de notes,2022-12-02,2022-12-10,Oui,2,8
11324,1482,609,Bourse,2022-11-03,2022-11-15,Oui,1,12
11325,1566,604,Équivalence,2022-04-25,2022-05-01,Oui,4,6
11326,1946,618,Équivalence,2023-12-09,2023-12-15,Non,4,6
11327,1104,602,Attestation,2022-02-08,2022-02-09,Oui,3,1
11328,1252,617,Équivalence,2025-01-08,2025-01-10,Oui,2,2
11329,1550,616,Autre,2025-04-12,2025-04-24,Non,2,12
11330,1423,610,Autre,2025-02-28,2025-03-04,Oui,5,4
11331,1115,605,Équivalence,2022-02-22,2022-02-27,Oui,5,5
11332,1797,630,Relevé de notes,2025-04-08,2025-04-19,Oui,1,11
11333,1712,621,Bourse,2023-06-18,2023-06-30,Oui,5,12
11334,1039,617,Équivalence,2021-12-07,2021-12-18,Oui,3,11
11335,1694,615,Bourse,2024-06-17,2024-06-30,Non,1,13
11336,2043,630,Relevé de notes,2022-11-09,2022-11-11,Oui,5,2
11337,2006,602,Autre,2022-06-06,2022-06-10,Oui,3,4
11338,1795,618,Bourse,2023-03-17,2023-03-22,Oui,1,5
11339,1406,621,Autre,2022-04-04,2022-04-15,Non,1,11
11340,1752,623,Bourse,2023-01-14,2023-01-23,Oui,1,9
11341,1363,620,Relevé de notes,2024-09-29,2024-10-04,Oui,2,5
11342,1574,611,Équivalence,2023-12-05,2023-12-17,Non,1,12
11343,1920,608,Relevé de notes,2022-01-13,2022-01-21,Oui,4,8
11344,1097,614,Bourse,2021-11-17,2021-11-19,Oui,2,2
11345,1709,610,Autre,2023-12-02,2023-12-03,Non,4,1
11346,1969,619,Relevé de notes,2022-02-17,2022-02-20,Oui,1,3
11347,2094,605,Équivalence,2025-03-08,2025-03-09,Oui,2,1
11348,1985,615,Bourse,2025-04-18,2025-04-29,Non,4,11
11349,1001,614,Attestation,2025-01-07,2025-01-17,Oui,3,10
11350,1889,620,Équivalence,2022-04-26,2022-05-05,Oui,1,9
11351,1787,613,Attestation,2025-02-02,2025-02-08,Oui,1,6
11352,2128,619,Relevé de notes,2024-10-13,2024-10-16,Oui,1,3
11353,1642,617,Équivalence,2021-10-06,2021-10-14,Oui,3,8
11354,2152,626,Relevé de notes,2022-11-24,2022-11-30,Oui,1,6
11355,1659,608,Relevé de notes,2024-12-12,2024-12-20,Oui,4,8
11356,1537,619,Relevé de notes,2022-10-11,2022-10-13,Oui,5,2
11357,1836,619,Attestation,2025-03-13,2025-03-23,Oui,5,10
11358,1973,611,Équivalence,2023-12-07,2023-12-09,Oui,5,2
11359,1513,629,Bourse,2024-02-02,2024-02-06,Oui,3,4
11360,1573,622,Relevé de notes,2024-12-25,2025-01-01,Oui,2,7
11361,2163,629,Autre,2021-10-29,2021-11-05,Non,2,7
11362,1703,617,Relevé de notes,2023-07-25,2023-08-07,Oui,1,13
11363,1717,618,Attestation,2021-09-23,2021-09-27,Oui,5,4
11364,1831,621,Relevé de notes,2024-03-31,2024-04-06,Oui,3,6
11365,1199,624,Attestation,2023-04-17,2023-04-27,Non,5,10
11366,1477,610,Autre,2024-07-27,2024-08-02,Oui,5,6
11367,1175,629,Autre,2023-01-05,2023-01-20,Oui,2,15
11368,1336,630,Équivalence,2024-02-20,2024-03-03,Oui,4,12
11369,1430,610,Attestation,2024-07-03,2024-07-16,Non,4,13
11370,1385,605,Autre,2024-12-07,2024-12-21,Non,1,14
11371,1791,622,Équivalence,2024-10-15,2024-10-17,Oui,1,2
11372,1193,604,Attestation,2024-06-02,2024-06-10,Oui,2,8
11373,1358,602,Équivalence,2023-04-06,2023-04-07,Oui,2,1
11374,2021,610,Bourse,2024-02-12,2024-02-14,Non,4,2
11375,1971,621,Autre,2023-02-18,2023-02-20,Oui,1,2
11376,2083,601,Attestation,2024-06-25,2024-06-30,Oui,1,5
11377,1032,629,Attestation,2021-10-28,2021-11-10,Oui,2,13
11378,1346,624,Attestation,2023-01-03,2023-01-04,Oui,3,1
11379,1038,609,Attestation,2024-09-26,2024-10-06,Oui,1,10
11380,1507,627,Autre,2022-03-11,2022-03-23,Non,2,12
11381,2144,628,Attestation,2022-04-12,2022-04-18,Oui,5,6
11382,2008,605,Bourse,2022-07-05,2022-07-13,Oui,3,8
11383,1919,623,Équivalence,2023-01-25,2023-02-05,Oui,3,11
11384,1155,617,Bourse,2023-06-23,2023-06-30,Non,4,7
11385,1203,612,Autre,2024-10-23,2024-11-02,Oui,2,10
11386,1814,611,Autre,2022-10-28,2022-11-12,Oui,4,15
11387,1092,630,Autre,2023-05-27,2023-06-04,Non,1,8
11388,1945,624,Attestation,2023-04-20,2023-04-29,Oui,5,9
11389,1031,628,Autre,2022-09-15,2022-09-27,Non,2,12
11390,1269,627,Équivalence,2022-12-01,2022-12-10,Oui,3,9
11391,2161,616,Autre,2024-01-13,2024-01-15,Oui,5,2
11392,1145,605,Équivalence,2023-10-16,2023-10-25,Oui,4,9
11393,2189,604,Équivalence,2023-12-22,2024-01-02,Oui,5,11
11394,1324,624,Équivalence,2024-11-04,2024-11-18,Oui,4,14
