id_insertion,id_etudiant,date_diplome,date_fin_etudes,date_premier_emploi,salaire_embauche,secteur,type_poursuite
10205,1687,2022-06-01,2022-06-01,2022-10-16,9911,Industrie,Master
10206,1689,2021-05-03,2021-05-03,2022-01-02,16364,Immobilier,Master
10207,1691,2022-06-20,2022-06-20,2022-11-30,13846,Finance,Emploi
10208,1692,2022-05-06,2022-05-06,2022-09-20,19421,Education,Emploi
10209,1695,2023-01-15,2023-01-15,2023-05-22,16533,Logistique,Rien
10210,1703,2022-06-27,2022-06-27,2022-09-14,7921,Immobilier,Master
10211,1704,2022-05-12,2022-05-12,2023-04-21,13811,IT,Emploi
10212,1707,2021-03-25,2021-03-25,2021-11-25,5889,Santé,Master
10213,1709,2020-10-05,2020-10-05,2021-11-05,5383,Education,Emploi
10214,1712,2023-11-27,2023-11-27,2024-12-22,11876,Santé,Rien
10215,1718,2021-11-05,2021-11-05,2021-12-10,15510,Finance,Emploi
10216,1721,2021-11-12,2021-11-12,2022-11-12,15488,Finance,Emploi
10217,1725,2022-08-02,2022-08-02,2023-01-27,6367,Finance,Emploi
10218,1727,2023-10-29,2023-10-29,2024-10-07,17819,Immobilier,Master
10219,1729,2021-07-15,2021-07-15,2022-03-24,10508,IT,Rien
10220,1740,2024-06-08,2024-06-08,2024-08-02,19602,Logistique,Master
10221,1744,2021-04-17,2021-04-17,2022-05-09,10411,IT,Emploi
10222,1750,2021-05-21,2021-05-21,2022-01-25,5611,Santé,Emploi
10223,1751,2021-02-16,2021-02-16,2021-12-19,16287,Education,Master
10224,1752,2024-02-10,2024-02-10,2024-06-12,7509,Education,Master
10225,1758,2021-11-14,2021-11-14,2022-03-28,10400,Santé,Emploi
10226,1768,2023-10-31,2023-10-31,2024-10-10,7814,Immobilier,Rien
10227,1778,2023-10-06,2023-10-06,2024-04-16,18857,IT,Emploi
10228,1779,2022-06-23,2022-06-23,2023-05-06,13478,Industrie,Master
10229,1785,2022-03-30,2022-03-30,2022-05-31,14615,IT,Rien
10230,1786,2023-02-21,2023-02-21,2023-09-03,7639,IT,Master
10231,1788,2023-11-28,2023-11-28,2024-08-11,11876,Santé,Master
10232,1789,2022-06-21,2022-06-21,2022-12-29,6532,Education,Master
10233,1794,2023-04-17,2023-04-17,2024-04-25,18310,Immobilier,Emploi
10234,1796,2022-04-14,2022-04-14,2022-12-23,8028,Industrie,Rien
10235,1801,2022-10-25,2022-10-25,2023-08-02,11118,IT,Emploi
10236,1802,2022-12-17,2022-12-17,2023-02-14,8153,Immobilier,Emploi
10237,1808,2020-06-07,2020-06-07,2020-08-16,7515,Immobilier,Rien
10238,1809,2020-10-25,2020-10-25,2021-03-29,8367,Logistique,Master
10239,1810,2024-05-04,2024-05-04,2025-02-22,12395,Logistique,Master
10240,1812,2021-08-05,2021-08-05,2022-07-29,16655,Logistique,Rien
10241,1814,2021-11-19,2021-11-19,2022-03-20,6105,IT,Emploi
10242,1821,2023-04-14,2023-04-14,2023-08-31,17368,IT,Emploi
10243,1827,2022-01-12,2022-01-12,2023-01-23,16633,IT,Emploi
10244,1836,2022-12-17,2022-12-17,2023-06-12,13458,Education,Thèse
10245,1839,2024-05-29,2024-05-29,2025-05-15,8466,Santé,Emploi
10246,1841,2023-05-02,2023-05-02,2023-09-11,13429,Industrie,Emploi
10247,1843,2022-06-12,2022-06-12,2022-09-27,10575,IT,Emploi
10248,1851,2021-08-15,2021-08-15,2021-10-02,14349,Industrie,Master
10249,1859,2022-05-01,2022-05-01,2023-05-18,8733,Logistique,Master
10250,1865,2022-04-27,2022-04-27,2022-08-23,19467,IT,Emploi
10251,1870,2020-10-08,2020-10-08,2021-07-15,7935,IT,Emploi
10252,1873,2022-07-18,2022-07-18,2023-03-20,19183,Finance,Emploi
10253,1878,2022-11-03,2022-11-03,2023-09-01,15856,Immobilier,Emploi
10254,1879,2023-08-02,2023-08-02,2024-08-30,16023,Industrie,Master
10255,1880,2021-11-06,2021-11-06,2022-08-03,6530,IT,Master
10256,1881,2023-01-31,2023-01-31,2023-08-13,11228,Finance,Emploi
10257,1883,2020-07-06,2020-07-06,2021-05-11,5696,Finance,Emploi
10258,1891,2020-08-19,2020-08-19,2021-01-05,17289,Industrie,Rien
10259,1898,2021-06-03,2021-06-03,2021-08-24,15736,Industrie,Emploi
10260,1899,2023-09-06,2023-09-06,2024-03-27,19418,Finance,Emploi
10261,1908,2021-06-02,2021-06-02,2021-08-20,17902,Santé,Master
10262,1914,2023-10-05,2023-10-05,2024-07-23,8367,Industrie,Rien
10263,1915,2021-04-10,2021-04-10,2022-02-18,10326,IT,Emploi
10264,1917,2020-12-20,2020-12-20,2021-06-02,19643,Industrie,Emploi
10265,1918,2022-09-17,2022-09-17,2023-02-12,14419,Santé,Emploi
10266,1920,2021-02-17,2021-02-17,2021-05-16,9425,IT,Emploi
10267,1921,2021-07-21,2021-07-21,2022-04-20,6596,Immobilier,Master
10268,1922,2020-08-14,2020-08-14,2021-01-27,9828,Logistique,Emploi
10269,1925,2023-11-18,2023-11-18,2024-07-06,12327,Logistique,Emploi
10270,1926,2022-11-20,2022-11-20,2023-08-29,13257,Logistique,Emploi
10271,1931,2020-08-06,2020-08-06,2020-10-15,15185,Immobilier,Master
10272,1936,2022-05-24,2022-05-24,2023-04-29,6506,Industrie,Master
10273,1938,2022-10-14,2022-10-14,2023-08-14,9478,Industrie,Master
10274,1945,2021-05-25,2021-05-25,2022-06-20,15292,Industrie,Master
10275,1946,2022-04-23,2022-04-23,2022-11-20,16896,Santé,Master
10276,1948,2023-11-03,2023-11-03,2024-11-15,5609,Industrie,Rien
10277,1950,2024-06-08,2024-06-08,2025-01-22,17337,Education,Emploi
10278,1963,2024-05-16,2024-05-16,2024-09-19,6298,Logistique,Rien
10279,1964,2022-04-30,2022-04-30,2023-01-12,6243,Santé,Emploi
10280,1967,2021-10-20,2021-10-20,2022-02-17,8004,Education,Thèse
10281,1975,2020-12-23,2020-12-23,2021-07-22,9399,IT,Master
10282,1982,2021-03-09,2021-03-09,2021-11-26,19505,Education,Master
10283,1984,2023-01-18,2023-01-18,2023-09-28,14583,Industrie,Master
10284,1989,2023-12-13,2023-12-13,2024-07-25,5099,Industrie,Master
10285,1991,2021-08-15,2021-08-15,2022-03-01,11443,Finance,Emploi
10286,1993,2024-03-16,2024-03-16,2025-02-07,8491,Education,Emploi
10287,1998,2023-11-06,2023-11-06,2024-10-16,13011,Education,Master
10288,2002,2023-10-27,2023-10-27,2024-01-05,13996,IT,Emploi
10289,2003,2020-06-26,2020-06-26,2021-03-29,15438,Santé,Emploi
10290,2012,2023-03-12,2023-03-12,2024-01-27,19868,Education,Emploi
10291,2019,2023-08-15,2023-08-15,2024-07-20,13493,Immobilier,Thèse
10292,2020,2023-05-11,2023-05-11,2023-08-04,19979,Immobilier,Master
10293,2024,2021-02-08,2021-02-08,2022-01-25,13522,Education,Rien
10294,2028,2024-03-28,2024-03-28,2024-12-18,9093,Finance,Emploi
10295,2033,2021-05-21,2021-05-21,2021-10-18,19448,Finance,Emploi
10296,2035,2023-10-09,2023-10-09,2024-10-29,14932,Finance,Emploi
10297,2036,2021-03-18,2021-03-18,2021-09-12,6366,IT,Emploi
10298,2038,2021-01-18,2021-01-18,2021-10-28,17721,IT,Master
10299,2041,2023-05-01,2023-05-01,2023-12-19,18590,Santé,Emploi
10300,2043,2021-08-06,2021-08-06,2022-02-22,8065,Industrie,Emploi
10301,2049,2023-01-26,2023-01-26,2023-03-14,6958,Logistique,Rien
10302,2050,2023-09-28,2023-09-28,2024-09-01,11027,Santé,Emploi
10303,2052,2023-03-25,2023-03-25,2023-12-01,17139,Education,Emploi
10304,2055,2022-06-26,2022-06-26,2023-04-28,17500,IT,Emploi
10305,2056,2021-08-10,2021-08-10,2021-10-14,6333,Industrie,Master
10306,2057,2020-10-16,2020-10-16,2020-12-15,15686,Immobilier,Emploi
10307,2058,2022-09-08,2022-09-08,2023-04-07,17948,Logistique,Rien
10308,2060,2020-11-20,2020-11-20,2021-05-25,15512,IT,Emploi
10309,2072,2023-01-02,2023-01-02,2023-05-17,16806,Santé,Emploi
10310,2073,2022-06-15,2022-06-15,2023-06-30,16857,Immobilier,Emploi
10311,2074,2021-07-17,2021-07-17,2021-09-25,5273,IT,Emploi
10312,2076,2022-11-16,2022-11-16,2023-08-26,5996,Finance,Emploi
10313,2080,2021-07-25,2021-07-25,2022-08-07,5825,Immobilier,Emploi
10314,2084,2021-03-22,2021-03-22,2021-12-13,9958,Santé,Emploi
10315,2085,2020-08-24,2020-08-24,2021-07-05,18810,Education,Rien
10316,2089,2023-08-29,2023-08-29,2024-03-15,13220,Education,Emploi
10317,2091,2022-12-12,2022-12-12,2023-11-18,7836,IT,Emploi
10318,2093,2023-05-04,2023-05-04,2023-11-03,8057,Industrie,Emploi
10319,2099,2021-06-21,2021-06-21,2021-09-10,8926,IT,Emploi
10320,2101,2022-04-14,2022-04-14,2022-08-07,16127,Industrie,Thèse
10321,2102,2022-05-09,2022-05-09,2023-06-05,18047,Education,Emploi
10322,2104,2022-11-05,2022-11-05,2022-12-28,11364,Immobilier,Master
10323,2105,2020-06-11,2020-06-11,2021-05-26,18431,Finance,Rien
10324,2107,2023-07-05,2023-07-05,2023-08-26,15232,Finance,Emploi
10325,2110,2024-01-29,2024-01-29,2024-12-18,18092,Immobilier,Master
10326,2114,2024-07-01,2024-07-01,2025-06-12,13771,IT,Master
10327,2117,2021-02-10,2021-02-10,2021-08-13,16177,IT,Master
10328,2121,2020-06-05,2020-06-05,2021-01-04,16813,Education,Rien
10329,2122,2022-05-16,2022-05-16,2022-06-22,14979,Immobilier,Master
10330,2123,2021-10-09,2021-10-09,2022-10-19,8994,Immobilier,Emploi
10331,2129,2021-12-11,2021-12-11,2023-01-11,7423,Education,Emploi
10332,2131,2024-04-10,2024-04-10,2024-12-01,18633,Logistique,Emploi
10333,2138,2022-09-28,2022-09-28,2023-03-07,6082,Industrie,Emploi
10334,2152,2021-05-18,2021-05-18,2022-01-13,9548,Industrie,Emploi
10335,2155,2022-03-18,2022-03-18,2023-04-06,9004,Industrie,Thèse
10336,2165,2024-05-03,2024-05-03,2025-03-23,16097,Industrie,Master
10337,2173,2022-01-06,2022-01-06,2022-07-29,8178,Immobilier,Rien
10338,2177,2022-08-24,2022-08-24,2022-09-29,17709,Industrie,Master
10339,2180,2021-11-02,2021-11-02,2021-12-15,13053,Finance,Thèse
10340,2181,2022-12-16,2022-12-16,2023-06-08,15618,IT,Emploi
10341,2185,2021-03-11,2021-03-11,2021-10-15,15090,Education,Master
10342,2193,2024-05-03,2024-05-03,2025-05-27,17338,Logistique,Emploi
10343,2194,2022-08-29,2022-08-29,2023-06-25,14770,Logistique,Master
10344,2196,2023-12-04,2023-12-04,2024-04-07,11783,Logistique,Thèse
10345,2197,2022-11-03,2022-11-03,2023-08-17,17842,Finance,Emploi
10346,2199,2023-08-09,2023-08-09,2023-10-28,13221,Education,Emploi
