id_participation,id_etudiant,id_club,annee_universitaire,role
17098,1638,16001,2020-2021,Membre
17099,1638,16015,2021-2022,Membre
17100,1914,16011,2023-2024,Président
17101,1914,16005,2022-2023,Membre
17102,1825,16002,2024-2025,Membre
17103,1825,16010,2022-2023,Membre
17104,1573,16013,2020-2021,Membre
17105,1346,16003,2022-2023,Membre
17106,1346,16009,2024-2025,Membre
17107,1590,16009,2021-2022,Membre
17108,1590,16015,2020-2021,Vice-Président
17109,2180,16013,2024-2025,Membre
17110,1629,16006,2021-2022,Membre
17111,1291,16006,2022-2023,Membre
17112,1291,16003,2021-2022,Membre
17113,1366,16006,2021-2022,Vice-Président
17114,2107,16014,2024-2025,Membre
17115,2107,16001,2021-2022,Président
17116,1186,16003,2022-2023,Membre
17117,2054,16006,2023-2024,Membre
17118,1393,16007,2020-2021,Membre
17119,1317,16012,2022-2023,Membre
17120,1317,16007,2023-2024,Membre
17121,1691,16004,2024-2025,Membre
17122,1745,16013,2022-2023,Membre
17123,1169,16002,2024-2025,Membre
17124,1169,16006,2020-2021,Président
17125,1325,16002,2020-2021,Membre
17126,1325,16004,2024-2025,Membre
17127,1769,16014,2022-2023,Membre
17128,1810,16005,2023-2024,Membre
17129,1135,16006,2022-2023,Président
17130,1992,16007,2022-2023,Membre
17131,1992,16009,2022-2023,Membre
17132,2100,16015,2022-2023,Membre
17133,2100,16013,2023-2024,Membre
17134,1373,16003,2020-2021,Membre
17135,1373,16007,2024-2025,Membre
17136,1899,16012,2022-2023,Membre
17137,1322,16015,2023-2024,Membre
17138,1322,16004,2023-2024,Membre
17139,1940,16015,2021-2022,Président
17140,1380,16012,2024-2025,Membre
17141,1231,16007,2020-2021,Membre
17142,1231,16008,2022-2023,Membre
17143,1490,16003,2023-2024,Membre
17144,1889,16012,2020-2021,Membre
17145,1889,16008,2021-2022,Membre
17146,1046,16006,2022-2023,Membre
17147,1808,16005,2022-2023,Membre
17148,1877,16001,2020-2021,Membre
17149,1877,16009,2021-2022,Membre
17150,1040,16010,2020-2021,Membre
17151,1345,16015,2020-2021,Membre
17152,1265,16003,2023-2024,Membre
17153,1824,16014,2024-2025,Membre
17154,1469,16001,2020-2021,Vice-Président
17155,1152,16008,2021-2022,Membre
17156,1841,16009,2024-2025,Président
17157,1841,16004,2022-2023,Membre
17158,1729,16014,2021-2022,Président
17159,1099,16007,2020-2021,Membre
17160,1240,16011,2023-2024,Membre
17161,1240,16014,2020-2021,Membre
17162,1370,16003,2024-2025,Membre
17163,1370,16008,2020-2021,Membre
17164,2193,16005,2022-2023,Vice-Président
17165,2200,16011,2022-2023,Membre
17166,1606,16011,2020-2021,Vice-Président
17167,1021,16005,2022-2023,Membre
17168,1428,16011,2024-2025,Membre
17169,1428,16005,2021-2022,Membre
17170,1640,16005,2021-2022,Membre
17171,1640,16003,2022-2023,Membre
17172,1199,16008,2024-2025,Membre
17173,1199,16012,2024-2025,Membre
17174,1984,16001,2022-2023,Vice-Président
17175,1856,16002,2022-2023,Membre
17176,1009,16004,2024-2025,Membre
17177,1009,16003,2021-2022,Membre
17178,2000,16003,2020-2021,Membre
17179,1234,16012,2020-2021,Membre
17180,1411,16014,2024-2025,Président
17181,2024,16009,2023-2024,Membre
17182,1978,16003,2023-2024,Membre
17183,2086,16003,2021-2022,Membre
17184,2086,16006,2023-2024,Membre
17185,1444,16002,2024-2025,Membre
17186,2065,16004,2023-2024,Membre
17187,2065,16002,2022-2023,Membre
17188,1776,16014,2022-2023,Président
17189,1776,16007,2021-2022,Membre
17190,1610,16009,2024-2025,Membre
17191,1610,16003,2021-2022,Membre
17192,2129,16006,2021-2022,Membre
17193,2129,16002,2024-2025,Membre
17194,1537,16005,2022-2023,Membre
17195,1537,16012,2023-2024,Membre
17196,1954,16005,2024-2025,Membre
17197,1063,16006,2023-2024,Membre
17198,1557,16005,2023-2024,Vice-Président
17199,1311,16014,2023-2024,Membre
17200,1089,16002,2023-2024,Membre
17201,1868,16002,2020-2021,Membre
17202,1868,16009,2023-2024,Membre
17203,1828,16006,2022-2023,Membre
17204,1828,16001,2023-2024,Membre
17205,1609,16015,2020-2021,Membre
17206,1609,16001,2021-2022,Membre
17207,2011,16006,2023-2024,Membre
17208,1858,16013,2020-2021,Membre
17209,1858,16005,2020-2021,Membre
17210,1387,16008,2020-2021,Membre
17211,1387,16014,2022-2023,Membre
17212,1746,16002,2020-2021,Membre
17213,2159,16005,2021-2022,Membre
17214,2159,16006,2020-2021,Membre
17215,1511,16008,2020-2021,Membre
17216,1029,16012,2022-2023,Membre
17217,1156,16012,2024-2025,Membre
17218,1156,16010,2021-2022,Membre
17219,1305,16010,2020-2021,Membre
17220,1266,16012,2024-2025,Membre
17221,1794,16008,2023-2024,Membre
17222,1617,16015,2024-2025,Membre
17223,1617,16013,2022-2023,Président
17224,1242,16011,2024-2025,Membre
17225,1665,16009,2024-2025,Membre
17226,1500,16002,2023-2024,Membre
17227,1663,16014,2024-2025,Membre
17228,1663,16014,2023-2024,Membre
17229,1515,16015,2021-2022,Vice-Président
17230,1406,16005,2023-2024,Membre
17231,1250,16003,2023-2024,Membre
17232,1250,16005,2023-2024,Membre
17233,2034,16012,2023-2024,Membre
17234,1965,16006,2020-2021,Membre
17235,1027,16009,2023-2024,Membre
17236,1711,16006,2020-2021,Membre
17237,1083,16006,2020-2021,Membre
17238,1333,16011,2023-2024,Membre
17239,1301,16002,2020-2021,Membre
17240,1301,16012,2022-2023,Membre
17241,1134,16011,2023-2024,Membre
17242,1833,16008,2020-2021,Membre
17243,1833,16004,2022-2023,Membre
17244,1285,16001,2020-2021,Membre
17245,1285,16009,2021-2022,Membre
17246,1768,16004,2023-2024,Membre
17247,1768,16005,2023-2024,Membre
17248,1455,16007,2021-2022,Membre
17249,1455,16003,2022-2023,Membre
17250,1356,16011,2023-2024,Membre
17251,1371,16008,2023-2024,Membre
17252,1371,16003,2020-2021,Membre
17253,1563,16012,2024-2025,Membre
17254,1018,16012,2022-2023,Membre
17255,1604,16001,2020-2021,Membre
17256,1034,16009,2022-2023,Membre
17257,1034,16010,2023-2024,Membre
17258,2020,16008,2020-2021,Membre
17259,2028,16006,2023-2024,Vice-Président
17260,1408,16002,2020-2021,Vice-Président
17261,1408,16008,2020-2021,Membre
17262,1544,16005,2020-2021,Membre
17263,1544,16014,2021-2022,Membre
17264,1249,16003,2024-2025,Vice-Président
17265,1249,16014,2023-2024,Membre
17266,1272,16014,2023-2024,Président
17267,1272,16008,2021-2022,Membre
17268,1910,16012,2020-2021,Président
17269,1082,16002,2023-2024,Membre
17270,1417,16007,2020-2021,Vice-Président
17271,1417,16015,2021-2022,Membre
17272,1144,16010,2020-2021,Membre
17273,1144,16011,2021-2022,Membre
17274,1902,16002,2022-2023,Président
17275,1902,16005,2020-2021,Président
17276,2022,16007,2024-2025,Membre
17277,2022,16014,2020-2021,Membre
17278,2066,16004,2024-2025,Membre
17279,2075,16005,2024-2025,Membre
17280,1150,16001,2020-2021,Membre
17281,1329,16004,2022-2023,Membre
17282,2048,16004,2024-2025,Membre
17283,2048,16004,2020-2021,Membre
17284,2184,16005,2021-2022,Président
17285,2184,16003,2020-2021,Membre
17286,1137,16006,2024-2025,Président
17287,1137,16009,2020-2021,Membre
17288,1523,16006,2023-2024,Membre
17289,1512,16004,2023-2024,Membre
17290,1283,16011,2024-2025,Membre
17291,1283,16011,2024-2025,Président
17292,1316,16004,2023-2024,Membre
17293,1316,16010,2021-2022,Membre
17294,1962,16007,2021-2022,Président
17295,1911,16011,2024-2025,Membre
17296,1911,16003,2022-2023,Membre
17297,2042,16008,2021-2022,Membre
17298,2017,16002,2021-2022,Membre
17299,2017,16002,2020-2021,Membre
17300,1584,16012,2024-2025,Membre
17301,1584,16014,2021-2022,Membre
17302,1116,16001,2024-2025,Membre
17303,1116,16005,2021-2022,Membre
17304,1971,16011,2021-2022,Membre
17305,1971,16002,2020-2021,Membre
17306,1202,16002,2024-2025,Membre
17307,1216,16009,2024-2025,Membre
17308,1140,16010,2020-2021,Membre
17309,2056,16006,2022-2023,Membre
17310,2056,16015,2023-2024,Vice-Président
17311,1491,16011,2022-2023,Membre
17312,2161,16015,2021-2022,Membre
17313,2161,16004,2021-2022,Membre
17314,1878,16003,2022-2023,Membre
17315,2090,16011,2022-2023,Membre
17316,2090,16004,2021-2022,Membre
17317,1883,16005,2021-2022,Membre
17318,1883,16012,2024-2025,Membre
17319,2147,16003,2020-2021,Membre
17320,1601,16009,2020-2021,Membre
17321,1601,16014,2020-2021,Membre
17322,1981,16012,2020-2021,Membre
17323,1981,16014,2024-2025,Membre
17324,1185,16012,2020-2021,Membre
17325,1185,16012,2024-2025,Membre
17326,1815,16007,2023-2024,Membre
17327,2186,16004,2021-2022,Membre
17328,1577,16010,2021-2022,Président
17329,1577,16006,2020-2021,Membre
17330,1106,16008,2021-2022,Membre
17331,1949,16002,2022-2023,Membre
17332,1949,16013,2021-2022,Membre
17333,1421,16011,2021-2022,Président
17334,1421,16006,2023-2024,Membre
17335,2157,16015,2024-2025,Membre
17336,2157,16005,2020-2021,Membre
17337,1335,16005,2020-2021,Membre
17338,1335,16015,2024-2025,Membre
17339,1513,16007,2020-2021,Président
17340,1513,16008,2022-2023,Membre
17341,1772,16006,2023-2024,Membre
17342,1772,16004,2023-2024,Président
17343,1039,16002,2024-2025,Membre
17344,1398,16002,2022-2023,Membre
17345,1398,16002,2021-2022,Vice-Président
17346,2102,16001,2023-2024,Vice-Président
17347,2003,16005,2020-2021,Membre
17348,1219,16013,2020-2021,Membre
17349,1219,16003,2024-2025,Membre
17350,1928,16007,2021-2022,Président
17351,1641,16013,2023-2024,Membre
17352,1525,16009,2020-2021,Membre
17353,1381,16008,2024-2025,Membre
17354,1381,16008,2023-2024,Membre
17355,1809,16005,2021-2022,Membre
17356,1809,16004,2023-2024,Membre
17357,1340,16001,2023-2024,Membre
17358,1340,16015,2024-2025,Membre
17359,2196,16011,2022-2023,Membre
17360,1065,16006,2022-2023,Membre
17361,1065,16003,2021-2022,Membre
17362,1143,16013,2021-2022,Membre
17363,2132,16012,2022-2023,Membre
17364,1596,16002,2021-2022,Membre
17365,1520,16003,2024-2025,Membre
17366,1435,16014,2020-2021,Membre
17367,1414,16013,2020-2021,Membre
17368,1720,16013,2022-2023,Membre
17369,2051,16005,2020-2021,Vice-Président
17370,1876,16011,2024-2025,Vice-Président
17371,1876,16015,2021-2022,Président
17372,1998,16002,2021-2022,Membre
17373,1530,16013,2022-2023,Membre
17374,2194,16002,2020-2021,Membre
17375,1031,16012,2024-2025,Membre
17376,1331,16015,2020-2021,Président
17377,1331,16007,2023-2024,Membre
17378,1521,16010,2021-2022,Membre
17379,1521,16006,2023-2024,Membre
17380,2165,16012,2022-2023,Vice-Président
17381,1821,16001,2024-2025,Membre
17382,1870,16005,2022-2023,Membre
17383,2084,16015,2024-2025,Membre
17384,1959,16001,2023-2024,Membre
17385,1959,16009,2024-2025,Membre
17386,1463,16013,2020-2021,Membre
17387,1401,16012,2022-2023,Membre
17388,1401,16005,2023-2024,Membre
17389,1599,16015,2023-2024,Membre
17390,2171,16010,2022-2023,Membre
17391,2171,16003,2021-2022,Membre
17392,1805,16010,2024-2025,Membre
17393,1805,16005,2024-2025,Membre
17394,1675,16007,2021-2022,Membre
17395,1675,16010,2020-2021,Membre
17396,1304,16001,2020-2021,Membre
17397,1304,16008,2023-2024,Président
17398,1385,16002,2023-2024,Membre
17399,1385,16006,2024-2025,Membre
17400,1205,16001,2020-2021,Membre
17401,1205,16006,2021-2022,Membre
17402,1857,16001,2023-2024,Membre
17403,1857,16004,2022-2023,Membre
17404,1324,16002,2023-2024,Vice-Président
17405,1324,16008,2024-2025,Membre
17406,1024,16004,2020-2021,Membre
17407,1024,16005,2022-2023,Membre
17408,1510,16007,2023-2024,Membre
17409,1510,16013,2022-2023,Membre
17410,1486,16009,2023-2024,Membre
17411,1239,16014,2021-2022,Membre
17412,2044,16013,2021-2022,Membre
17413,2044,16004,2022-2023,Membre
17414,1112,16009,2022-2023,Président
17415,1561,16014,2020-2021,Membre
17416,1843,16015,2023-2024,Membre
17417,2059,16015,2024-2025,Membre
17418,2059,16015,2020-2021,Membre
17419,2135,16003,2023-2024,Membre
17420,2135,16012,2024-2025,Membre
17421,2026,16003,2020-2021,Vice-Président
17422,2026,16006,2023-2024,Membre
17423,1637,16001,2022-2023,Membre
17424,1637,16012,2024-2025,Membre
17425,1953,16003,2020-2021,Vice-Président
17426,1882,16013,2022-2023,Membre
17427,1882,16007,2022-2023,Membre
17428,1480,16004,2024-2025,Membre
17429,1480,16003,2022-2023,Membre
17430,1471,16010,2020-2021,Membre
17431,1471,16003,2024-2025,Membre
17432,2031,16011,2023-2024,Membre
17433,2031,16002,2024-2025,Membre
17434,1246,16012,2023-2024,Membre
17435,1246,16013,2024-2025,Membre
17436,1224,16004,2024-2025,Membre
17437,1360,16001,2021-2022,Membre
17438,2074,16009,2023-2024,Membre
17439,1686,16001,2021-2022,Membre
17440,1686,16009,2024-2025,Membre
17441,2041,16014,2023-2024,Membre
17442,1264,16011,2020-2021,Membre
17443,1264,16001,2021-2022,Vice-Président
17444,1653,16010,2020-2021,Membre
17445,2073,16008,2024-2025,Membre
17446,2073,16015,2024-2025,Membre
17447,1999,16006,2024-2025,Membre
17448,1827,16014,2021-2022,Membre
17449,1827,16003,2020-2021,Membre
17450,1323,16006,2021-2022,Membre
17451,1323,16013,2020-2021,Président
17452,1671,16008,2022-2023,Membre
17453,1671,16014,2024-2025,Membre
17454,1670,16001,2021-2022,Membre
17455,1670,16006,2023-2024,Membre
17456,2045,16008,2024-2025,Membre
17457,2166,16002,2023-2024,Membre
17458,1198,16011,2024-2025,Membre
17459,1174,16003,2023-2024,Membre
17460,1174,16004,2021-2022,Membre
17461,1661,16006,2023-2024,Vice-Président
17462,1661,16013,2023-2024,Membre
17463,1273,16005,2024-2025,Membre
17464,1273,16015,2022-2023,Membre
17465,1696,16009,2022-2023,Membre
17466,2164,16013,2021-2022,Membre
17467,1757,16002,2024-2025,Membre
17468,1757,16009,2021-2022,Membre
17469,1254,16003,2023-2024,Membre
17470,1254,16013,2020-2021,Membre
17471,1996,16006,2023-2024,Vice-Président
17472,1996,16007,2024-2025,Membre
17473,1872,16013,2024-2025,Membre
17474,1737,16008,2021-2022,Membre
17475,1737,16009,2021-2022,Président
17476,1336,16002,2024-2025,Membre
17477,1336,16008,2024-2025,Membre
17478,1020,16009,2020-2021,Membre
17479,1020,16005,2021-2022,Président
17480,1403,16009,2024-2025,Membre
17481,1403,16003,2022-2023,Président
17482,2134,16015,2023-2024,Membre
17483,2134,16012,2021-2022,Membre
17484,2120,16002,2024-2025,Vice-Président
17485,2120,16006,2022-2023,Président
17486,2168,16011,2022-2023,Membre
17487,1792,16002,2023-2024,Membre
17488,1792,16007,2021-2022,Membre
17489,1298,16010,2023-2024,Membre
17490,1298,16008,2021-2022,Président
17491,1312,16006,2023-2024,Membre
17492,1898,16013,2022-2023,Membre
17493,1898,16006,2022-2023,Vice-Président
17494,2002,16005,2023-2024,Président
17495,1749,16010,2024-2025,Président
17496,1749,16009,2021-2022,Membre
17497,1950,16005,2021-2022,Membre
17498,1635,16010,2024-2025,Membre
17499,1989,16004,2021-2022,Président
17500,1989,16002,2024-2025,Membre
17501,1165,16002,2022-2023,Membre
17502,1332,16001,2022-2023,Membre
17503,1893,16013,2022-2023,Président
17504,1893,16005,2024-2025,Membre
17505,2058,16014,2021-2022,Membre
17506,1766,16007,2023-2024,Vice-Président
17507,1092,16010,2020-2021,Membre
17508,1680,16005,2021-2022,Membre
17509,1680,16006,2020-2021,Membre
17510,1181,16010,2023-2024,Membre
17511,1181,16012,2022-2023,Membre
17512,1485,16007,2023-2024,Membre
17513,1485,16002,2023-2024,Président
17514,2069,16014,2021-2022,Vice-Président
17515,2069,16005,2020-2021,Membre
17516,1005,16012,2022-2023,Membre
17517,1005,16009,2023-2024,Président
17518,1848,16013,2021-2022,Membre
17519,2162,16005,2023-2024,Membre
17520,1404,16011,2024-2025,Membre
17521,1404,16006,2020-2021,Membre
17522,2061,16005,2022-2023,Membre
17523,1258,16009,2022-2023,Membre
17524,1974,16001,2023-2024,Vice-Président
17525,2125,16004,2020-2021,Membre
17526,1566,16013,2024-2025,Membre
17527,1566,16009,2022-2023,Membre
17528,1374,16013,2023-2024,Membre
17529,1658,16014,2022-2023,Membre
17530,2018,16002,2022-2023,Membre
17531,2018,16012,2023-2024,Membre
17532,1831,16009,2024-2025,Membre
17533,1831,16008,2024-2025,Membre
17534,1495,16005,2020-2021,Membre
17535,1811,16009,2023-2024,Membre
17536,1811,16010,2021-2022,Membre
17537,1923,16002,2021-2022,Membre
17538,1923,16008,2020-2021,Membre
17539,1707,16009,2023-2024,Membre
17540,1707,16001,2021-2022,Membre
17541,1386,16014,2020-2021,Vice-Président
17542,1528,16005,2020-2021,Membre
17543,1612,16009,2021-2022,Membre
17544,1175,16011,2020-2021,Membre
17545,1175,16007,2020-2021,Membre
17546,2167,16009,2021-2022,Vice-Président
17547,2167,16015,2020-2021,Membre
17548,1767,16010,2023-2024,Membre
17549,1767,16015,2023-2024,Membre
17550,1975,16014,2023-2024,Membre
17551,1975,16008,2020-2021,Membre
17552,2130,16015,2023-2024,Membre
17553,2130,16013,2022-2023,Membre
17554,1733,16001,2022-2023,Membre
17555,1930,16011,2020-2021,Membre
17556,1113,16015,2020-2021,Membre
17557,1151,16002,2024-2025,Membre
17558,1492,16007,2020-2021,Membre
17559,1786,16003,2020-2021,Membre
17560,1786,16002,2020-2021,Membre
17561,1055,16013,2023-2024,Membre
17562,1758,16015,2020-2021,Membre
17563,1758,16012,2024-2025,Membre
17564,1098,16010,2020-2021,Membre
17565,1980,16003,2021-2022,Membre
17566,1980,16003,2023-2024,Membre
17567,1541,16004,2022-2023,Membre
17568,1541,16006,2023-2024,Membre
17569,1835,16006,2020-2021,Membre
17570,1835,16011,2022-2023,Membre
17571,1209,16012,2023-2024,Membre
17572,1432,16013,2021-2022,Membre
17573,1432,16011,2022-2023,Vice-Président
17574,1058,16003,2020-2021,Membre
17575,1405,16002,2021-2022,Membre
17576,1232,16013,2021-2022,Membre
17577,1232,16001,2023-2024,Membre
17578,2191,16015,2022-2023,Membre
17579,2191,16011,2021-2022,Membre
17580,1509,16010,2021-2022,Membre
17581,1509,16003,2022-2023,Membre
17582,1013,16015,2020-2021,Membre
17583,1013,16015,2024-2025,Membre
17584,1806,16012,2023-2024,Membre
17585,1716,16002,2022-2023,Membre
17586,1900,16014,2023-2024,Membre
17587,1900,16005,2022-2023,Membre
17588,2123,16011,2023-2024,Membre
17589,2063,16003,2020-2021,Membre
17590,2063,16005,2022-2023,Membre
17591,2103,16011,2024-2025,Membre
17592,2103,16014,2022-2023,Membre
17593,2004,16011,2020-2021,Membre
17594,2004,16007,2024-2025,Membre
17595,1836,16007,2020-2021,Membre
17596,1420,16011,2022-2023,Membre
17597,1420,16007,2024-2025,Membre
17598,1728,16011,2023-2024,Membre
17599,2119,16015,2022-2023,Membre
17600,1107,16006,2022-2023,Président
17601,1343,16015,2020-2021,Président
17602,1280,16006,2023-2024,Président
17603,1280,16001,2020-2021,Membre
17604,1967,16011,2020-2021,Président
17605,1967,16014,2020-2021,Membre
17606,1865,16004,2021-2022,Membre
17607,1865,16008,2022-2023,Membre
17608,2035,16002,2021-2022,Membre
17609,2145,16012,2020-2021,Président
17610,2145,16004,2020-2021,Membre
17611,1226,16010,2022-2023,Membre
17612,1814,16008,2020-2021,Vice-Président
17613,1814,16002,2023-2024,Membre
17614,1552,16002,2023-2024,Membre
17615,1429,16011,2024-2025,Membre
17616,1078,16014,2024-2025,Membre
17617,1078,16005,2021-2022,Membre
17618,1314,16012,2021-2022,Membre
17619,1314,16006,2021-2022,Membre
17620,1901,16004,2023-2024,Membre
17621,1901,16001,2024-2025,Membre
17622,1022,16003,2020-2021,Membre
17623,1022,16014,2023-2024,Membre
17624,1623,16010,2024-2025,Membre
17625,1623,16010,2022-2023,Vice-Président
17626,1313,16005,2020-2021,Membre
17627,1313,16009,2020-2021,Membre
17628,1128,16009,2024-2025,Membre
17629,1128,16003,2024-2025,Membre
17630,2110,16014,2020-2021,Membre
17631,2174,16013,2022-2023,Membre
17632,2174,16014,2024-2025,Membre
17633,1669,16004,2020-2021,Membre
17634,1669,16009,2021-2022,Membre
17635,1569,16008,2021-2022,Président
17636,1569,16011,2022-2023,Membre
17637,1840,16009,2024-2025,Membre
17638,1160,16004,2024-2025,Membre
17639,1364,16004,2022-2023,Membre
17640,1364,16014,2024-2025,Membre
17641,1842,16001,2021-2022,Membre
17642,1066,16004,2024-2025,Membre
17643,1066,16009,2023-2024,Membre
17644,1274,16010,2021-2022,Membre
17645,1274,16006,2022-2023,Membre
17646,2097,16010,2024-2025,Membre
17647,2097,16011,2023-2024,Vice-Président
17648,1035,16008,2022-2023,Membre
17649,1087,16005,2022-2023,Membre
17650,1087,16004,2024-2025,Membre
17651,1652,16003,2021-2022,Membre
17652,1010,16001,2024-2025,Membre
17653,1010,16002,2023-2024,Membre
17654,1924,16013,2024-2025,Membre
17655,1688,16015,2023-2024,Membre
17656,1688,16014,2022-2023,Membre
17657,1125,16009,2021-2022,Membre
17658,1591,16008,2024-2025,Membre
17659,1591,16003,2024-2025,Membre
17660,1026,16008,2022-2023,Président
17661,1353,16007,2024-2025,Membre
17662,1353,16015,2020-2021,Président
17663,1036,16010,2024-2025,Président
17664,1036,16013,2020-2021,Membre
17665,1864,16014,2022-2023,Président
17666,1310,16012,2021-2022,Membre
17667,1812,16005,2023-2024,Président
17668,1964,16010,2024-2025,Membre
17669,1751,16004,2024-2025,Membre
17670,1782,16012,2021-2022,Membre
17671,1782,16005,2022-2023,Membre
17672,1685,16003,2021-2022,Vice-Président
17673,1685,16007,2021-2022,Membre
17674,1556,16003,2024-2025,Membre
17675,1556,16006,2024-2025,Membre
17676,1105,16015,2024-2025,Président
17677,1105,16009,2020-2021,Membre
17678,1430,16014,2022-2023,Membre
17679,1788,16008,2022-2023,Membre
17680,1788,16009,2023-2024,Membre
17681,2121,16015,2024-2025,Vice-Président
17682,1517,16009,2024-2025,Membre
17683,1517,16001,2022-2023,Membre
17684,1705,16012,2023-2024,Membre
17685,1886,16006,2020-2021,Membre
17686,1886,16002,2022-2023,Membre
17687,1765,16005,2023-2024,Membre
17688,2050,16009,2023-2024,Membre
17689,2137,16013,2020-2021,Membre
17690,1771,16001,2021-2022,Membre
17691,1874,16015,2020-2021,Membre
17692,1649,16006,2021-2022,Membre
17693,1407,16006,2020-2021,Membre
17694,1407,16008,2021-2022,Membre
17695,1718,16004,2021-2022,Membre
17696,1718,16005,2024-2025,Membre
17697,1819,16013,2024-2025,Membre
17698,1819,16008,2024-2025,Membre
17699,1963,16007,2020-2021,Vice-Président
17700,2106,16015,2021-2022,Membre
17701,1104,16012,2022-2023,Membre
17702,1104,16011,2022-2023,Membre
17703,1593,16013,2024-2025,Membre
17704,1503,16005,2023-2024,Membre
17705,1147,16008,2021-2022,Membre
17706,1409,16001,2020-2021,Membre
17707,1409,16009,2024-2025,Membre
17708,1195,16004,2024-2025,Membre
17709,1299,16013,2021-2022,Vice-Président
17710,1299,16002,2023-2024,Membre
17711,1726,16011,2024-2025,Membre
17712,1802,16007,2020-2021,Membre
17713,1739,16010,2023-2024,Membre
17714,1739,16007,2024-2025,Membre
17715,1327,16013,2022-2023,Membre
17716,1327,16009,2023-2024,Membre
17717,1427,16010,2021-2022,Président
17718,1427,16002,2023-2024,Membre
17719,2149,16004,2021-2022,Membre
17720,1565,16001,2023-2024,Vice-Président
17721,1163,16005,2024-2025,Vice-Président
17722,1990,16008,2021-2022,Membre
17723,1506,16005,2021-2022,Membre
17724,1506,16006,2024-2025,Membre
17725,2089,16007,2024-2025,Membre
17726,2089,16004,2021-2022,Membre
17727,1571,16012,2022-2023,Membre
17728,1571,16012,2021-2022,Membre
17729,1994,16003,2020-2021,Membre
