id_inscription,id_etudiant,annee_universitaire,type,date_inscription,filiere,niveau,annee
2174,1069,2023-2024,Réinscrit,2019-08-18,Génie Informatique,S1,2023-2024
2175,1069,2023-2024,Réinscrit,2020-02-28,Génie Informatique,S3,2023-2024
2176,1069,2023-2024,Réinscrit,2021-01-17,Génie Informatique,S6,2023-2024
2177,1070,2023-2024,Nouveau,2021-07-16,Génie Informatique,S1,2023-2024
2178,1070,2020-2021,Réinscrit,2019-04-29,Génie Informatique,S1,2020-2021
2179,1070,2022-2023,Réinscrit,2021-04-19,Génie Informatique,S4,2022-2023
2180,1070,2022-2023,Réinscrit,2019-03-06,Génie Informatique,S1,2022-2023
2181,1071,2024-2025,Nouveau,2022-12-09,Génie Civil,S3,2024-2025
2182,1071,2023-2024,Réinscrit,2022-10-29,Génie Civil,S2,2023-2024
2183,1071,2024-2025,Réinscrit,2019-02-16,Génie Civil,S5,2024-2025
2184,1072,2022-2023,Nouveau,2020-07-27,Génie Civil,S5,2022-2023
2185,1072,2023-2024,Réinscrit,2022-06-21,Génie Civil,S4,2023-2024
2186,1073,2020-2021,Nouveau,2022-03-23,Génie Informatique,S6,2020-2021
2187,1073,2024-2025,Réinscrit,2023-07-10,Génie Informatique,S2,2024-2025
2188,1074,2020-2021,Nouveau,2022-03-07,Génie Civil,S1,2020-2021
2189,1074,2021-2022,Réinscrit,2024-04-06,Génie Civil,S3,2021-2022
2190,1074,2022-2023,Réinscrit,2023-06-28,Génie Civil,S3,2022-2023
2191,1075,2024-2025,Nouveau,2021-08-16,Génie Informatique,S5,2024-2025
2192,1075,2022-2023,Réinscrit,2023-07-21,Génie Informatique,S2,2022-2023
2193,1075,2022-2023,Réinscrit,2024-03-05,Génie Informatique,S2,2022-2023
2194,1076,2020-2021,Nouveau,2020-10-13,Finance & Comptabilité,S2,2020-2021
2195,1076,2020-2021,Réinscrit,2021-03-30,Finance & Comptabilité,S2,2020-2021
2196,1076,2020-2021,Réinscrit,2023-12-10,Finance & Comptabilité,S3,2020-2021
2197,1076,2021-2022,Réinscrit,2023-11-27,Finance & Comptabilité,S4,2021-2022
2198,1077,2023-2024,Nouveau,2019-02-15,Génie Civil,S4,2023-2024
2199,1078,2024-2025,Nouveau,2024-02-09,Génie Informatique,S4,2024-2025
2200,1078,2023-2024,Réinscrit,2019-12-05,Génie Informatique,S6,2023-2024
2201,1078,2021-2022,Réinscrit,2020-01-20,Génie Informatique,S3,2021-2022
2202,1079,2021-2022,Nouveau,2021-11-07,Génie Informatique,S2,2021-2022
2203,1080,2024-2025,Nouveau,2021-09-22,Marketing,S5,2024-2025
2204,1080,2024-2025,Réinscrit,2021-01-17,Marketing,S5,2024-2025
2205,1081,2024-2025,Nouveau,2020-09-09,Droit des Affaires,S4,2024-2025
2206,1082,2021-2022,Nouveau,2024-04-02,Finance & Comptabilité,S6,2021-2022
2207,1083,2022-2023,Nouveau,2018-12-16,Droit des Affaires,S3,2022-2023
2208,1084,2023-2024,Nouveau,2022-11-09,Finance & Comptabilité,S5,2023-2024
2209,1085,2022-2023,Nouveau,2020-05-22,Marketing,S1,2022-2023
2210,1086,2023-2024,Nouveau,2024-01-18,Marketing,S4,2023-2024
2211,1087,2024-2025,Nouveau,2018-09-24,Droit des Affaires,S3,2024-2025
2212,1087,2020-2021,Réinscrit,2023-09-30,Droit des Affaires,S3,2020-2021
2213,1087,2024-2025,Réinscrit,2020-02-12,Droit des Affaires,S2,2024-2025
2214,1088,2022-2023,Nouveau,2022-04-16,Marketing,S1,2022-2023
2215,1089,2024-2025,Nouveau,2022-12-11,Génie Electrique,S1,2024-2025
2216,1090,2022-2023,Nouveau,2020-08-30,Génie Informatique,S2,2022-2023
2217,1090,2023-2024,Réinscrit,2019-09-01,Génie Informatique,S1,2023-2024
2218,1090,2021-2022,Réinscrit,2020-06-29,Génie Informatique,S4,2021-2022
2219,1090,2023-2024,Réinscrit,2021-11-11,Génie Informatique,S6,2023-2024
2220,1091,2020-2021,Nouveau,2022-01-05,Génie Electrique,S4,2020-2021
2221,1091,2023-2024,Réinscrit,2022-02-22,Génie Electrique,S6,2023-2024
2222,1092,2022-2023,Nouveau,2019-09-29,Génie Civil,S3,2022-2023
2223,1092,2024-2025,Réinscrit,2020-11-27,Génie Civil,S4,2024-2025
2224,1093,2023-2024,Nouveau,2024-01-04,Marketing,S3,2023-2024
2225,1093,2024-2025,Réinscrit,2023-05-30,Marketing,S1,2024-2025
2226,1093,2023-2024,Réinscrit,2022-10-18,Marketing,S5,2023-2024
2227,1093,2021-2022,Réinscrit,2023-07-15,Marketing,S6,2021-2022
2228,1094,2020-2021,Nouveau,2019-02-13,Droit des Affaires,S5,2020-2021
2229,1094,2022-2023,Réinscrit,2023-11-12,Droit des Affaires,S6,2022-2023
2230,1094,2021-2022,Réinscrit,2020-05-28,Droit des Affaires,S4,2021-2022
2231,1094,2024-2025,Réinscrit,2024-07-20,Droit des Affaires,S1,2024-2025
2232,1095,2023-2024,Nouveau,2023-07-28,Génie Informatique,S1,2023-2024
2233,1095,2023-2024,Réinscrit,2022-01-13,Génie Informatique,S2,2023-2024
2234,1095,2021-2022,Réinscrit,2022-01-13,Génie Informatique,S2,2021-2022
2235,1096,2022-2023,Nouveau,2019-03-15,Génie Informatique,S5,2022-2023
2236,1096,2020-2021,Réinscrit,2019-03-04,Génie Informatique,S5,2020-2021
2237,1096,2020-2021,Réinscrit,2024-05-23,Génie Informatique,S4,2020-2021
2238,1096,2023-2024,Réinscrit,2019-09-23,Génie Informatique,S4,2023-2024
2239,1097,2022-2023,Nouveau,2021-07-10,Génie Civil,S5,2022-2023
2240,1097,2020-2021,Réinscrit,2024-04-24,Génie Civil,S1,2020-2021
2241,1097,2020-2021,Réinscrit,2023-11-09,Génie Civil,S2,2020-2021
2242,1098,2023-2024,Nouveau,2019-03-05,Droit des Affaires,S1,2023-2024
2243,1098,2023-2024,Réinscrit,2022-01-02,Droit des Affaires,S3,2023-2024
2244,1099,2023-2024,Nouveau,2021-08-21,Finance & Comptabilité,S3,2023-2024
2245,1099,2021-2022,Réinscrit,2021-01-12,Finance & Comptabilité,S2,2021-2022
2246,1099,2020-2021,Réinscrit,2021-07-29,Finance & Comptabilité,S6,2020-2021
2247,1099,2020-2021,Réinscrit,2023-07-13,Finance & Comptabilité,S5,2020-2021
2248,1100,2020-2021,Nouveau,2023-02-04,Génie Informatique,S1,2020-2021
2249,1101,2021-2022,Nouveau,2024-01-07,Finance & Comptabilité,S4,2021-2022
2250,1102,2024-2025,Nouveau,2024-02-15,Droit des Affaires,S3,2024-2025
2251,1102,2024-2025,Réinscrit,2022-09-17,Droit des Affaires,S6,2024-2025
2252,1102,2023-2024,Réinscrit,2022-01-22,Droit des Affaires,S1,2023-2024
2253,1102,2021-2022,Réinscrit,2020-03-07,Droit des Affaires,S1,2021-2022
2254,1103,2020-2021,Nouveau,2018-11-05,Génie Informatique,S6,2020-2021
2255,1103,2021-2022,Réinscrit,2018-12-19,Génie Informatique,S2,2021-2022
2256,1104,2021-2022,Nouveau,2021-05-18,Génie Electrique,S4,2021-2022
2257,1104,2024-2025,Réinscrit,2020-10-21,Génie Electrique,S1,2024-2025
2258,1104,2022-2023,Réinscrit,2023-11-12,Génie Electrique,S2,2022-2023
2259,1104,2023-2024,Réinscrit,2023-05-26,Génie Electrique,S1,2023-2024
2260,1105,2021-2022,Nouveau,2020-05-17,Marketing,S6,2021-2022
2261,1106,2023-2024,Nouveau,2023-12-15,Droit des Affaires,S1,2023-2024
2262,1106,2023-2024,Réinscrit,2021-05-21,Droit des Affaires,S2,2023-2024
2263,1106,2022-2023,Réinscrit,2023-01-22,Droit des Affaires,S1,2022-2023
2264,1106,2022-2023,Réinscrit,2018-10-03,Droit des Affaires,S1,2022-2023
2265,1107,2023-2024,Nouveau,2024-03-23,Finance & Comptabilité,S6,2023-2024
2266,1107,2024-2025,Réinscrit,2021-12-05,Finance & Comptabilité,S1,2024-2025
2267,1107,2023-2024,Réinscrit,2023-02-24,Finance & Comptabilité,S4,2023-2024
2268,1107,2024-2025,Réinscrit,2024-02-20,Finance & Comptabilité,S2,2024-2025
2269,1108,2024-2025,Nouveau,2018-11-17,Génie Electrique,S4,2024-2025
2270,1109,2024-2025,Nouveau,2019-05-19,Droit des Affaires,S3,2024-2025
2271,1109,2023-2024,Réinscrit,2023-12-22,Droit des Affaires,S1,2023-2024
2272,1109,2023-2024,Réinscrit,2022-07-22,Droit des Affaires,S4,2023-2024
2273,1110,2020-2021,Nouveau,2020-06-22,Génie Informatique,S3,2020-2021
2274,1110,2021-2022,Réinscrit,2023-12-06,Génie Informatique,S3,2021-2022
2275,1110,2023-2024,Réinscrit,2021-04-08,Génie Informatique,S5,2023-2024
2276,1110,2021-2022,Réinscrit,2022-06-21,Génie Informatique,S5,2021-2022
2277,1111,2021-2022,Nouveau,2021-12-15,Marketing,S6,2021-2022
2278,1111,2023-2024,Réinscrit,2023-05-05,Marketing,S6,2023-2024
2279,1111,2022-2023,Réinscrit,2023-12-18,Marketing,S2,2022-2023
2280,1111,2024-2025,Réinscrit,2020-12-27,Marketing,S3,2024-2025
2281,1112,2023-2024,Nouveau,2020-02-11,Génie Electrique,S2,2023-2024
2282,1113,2021-2022,Nouveau,2024-03-08,Marketing,S1,2021-2022
2283,1113,2023-2024,Réinscrit,2024-03-15,Marketing,S3,2023-2024
2284,1114,2021-2022,Nouveau,2019-03-12,Génie Informatique,S1,2021-2022
2285,1114,2022-2023,Réinscrit,2021-08-04,Génie Informatique,S3,2022-2023
2286,1115,2021-2022,Nouveau,2024-04-24,Droit des Affaires,S1,2021-2022
2287,1115,2020-2021,Réinscrit,2022-06-15,Droit des Affaires,S4,2020-2021
2288,1116,2024-2025,Nouveau,2021-03-17,Génie Informatique,S1,2024-2025
2289,1117,2023-2024,Nouveau,2021-07-23,Génie Electrique,S3,2023-2024
2290,1117,2022-2023,Réinscrit,2019-03-11,Génie Electrique,S5,2022-2023
2291,1118,2021-2022,Nouveau,2024-06-12,Génie Informatique,S5,2021-2022
2292,1118,2020-2021,Réinscrit,2019-03-26,Génie Informatique,S4,2020-2021
2293,1118,2023-2024,Réinscrit,2019-11-29,Génie Informatique,S1,2023-2024
2294,1119,2024-2025,Nouveau,2019-02-19,Génie Civil,S5,2024-2025
2295,1120,2021-2022,Nouveau,2019-12-28,Marketing,S2,2021-2022
2296,1121,2021-2022,Nouveau,2021-12-10,Génie Informatique,S6,2021-2022
2297,1121,2023-2024,Réinscrit,2024-05-04,Génie Informatique,S4,2023-2024
2298,1121,2020-2021,Réinscrit,2020-05-24,Génie Informatique,S6,2020-2021
2299,1122,2022-2023,Nouveau,2020-03-18,Génie Informatique,S1,2022-2023
2300,1122,2021-2022,Réinscrit,2023-08-04,Génie Informatique,S4,2021-2022
2301,1122,2020-2021,Réinscrit,2021-06-01,Génie Informatique,S4,2020-2021
2302,1123,2022-2023,Nouveau,2024-04-30,Droit des Affaires,S2,2022-2023
2303,1123,2020-2021,Réinscrit,2021-08-25,Droit des Affaires,S3,2020-2021
2304,1123,2023-2024,Réinscrit,2022-09-17,Droit des Affaires,S6,2023-2024
2305,1124,2021-2022,Nouveau,2024-08-09,Génie Civil,S4,2021-2022
2306,1124,2021-2022,Réinscrit,2020-03-19,Génie Civil,S4,2021-2022
2307,1125,2023-2024,Nouveau,2023-10-24,Marketing,S5,2023-2024
2308,1125,2022-2023,Réinscrit,2018-12-31,Marketing,S4,2022-2023
2309,1125,2021-2022,Réinscrit,2018-10-11,Marketing,S6,2021-2022
2310,1125,2024-2025,Réinscrit,2019-06-13,Marketing,S1,2024-2025
2311,1126,2022-2023,Nouveau,2023-03-04,Finance & Comptabilité,S2,2022-2023
2312,1126,2023-2024,Réinscrit,2019-05-10,Finance & Comptabilité,S4,2023-2024
2313,1126,2020-2021,Réinscrit,2020-05-11,Finance & Comptabilité,S5,2020-2021
2314,1127,2024-2025,Nouveau,2021-12-25,Génie Civil,S4,2024-2025
2315,1128,2024-2025,Nouveau,2022-01-29,Génie Civil,S6,2024-2025
2316,1128,2022-2023,Réinscrit,2022-07-11,Génie Civil,S1,2022-2023
2317,1128,2022-2023,Réinscrit,2024-08-01,Génie Civil,S5,2022-2023
2318,1128,2021-2022,Réinscrit,2023-03-13,Génie Civil,S4,2021-2022
2319,1129,2024-2025,Nouveau,2023-08-17,Marketing,S6,2024-2025
2320,1129,2022-2023,Réinscrit,2023-03-15,Marketing,S2,2022-2023
2321,1130,2020-2021,Nouveau,2019-01-30,Droit des Affaires,S5,2020-2021
2322,1130,2022-2023,Réinscrit,2023-01-15,Droit des Affaires,S6,2022-2023
2323,1130,2021-2022,Réinscrit,2024-07-02,Droit des Affaires,S5,2021-2022
2324,1131,2021-2022,Nouveau,2019-09-16,Génie Civil,S5,2021-2022
2325,1131,2024-2025,Réinscrit,2022-03-02,Génie Civil,S5,2024-2025
2326,1131,2022-2023,Réinscrit,2020-06-17,Génie Civil,S1,2022-2023
2327,1132,2024-2025,Nouveau,2021-07-26,Marketing,S2,2024-2025
