id_frais,id_etudiant,annee_universitaire,montant_du,montant_paye,date_paiement,statut,taux_recouvrement
13093,2175,2024-2025,18363,18363,2024-09-13,Payé,1.0
13094,2175,2020-2021,22431,22431,2023-07-14,Payé,1.0
13095,1015,2024-2025,21944,21944,2025-02-28,Payé,1.0
13096,1985,2021-2022,24608,0,2024-11-26,Impayé,0.0
13097,1985,2022-2023,19515,19515,2021-12-20,Payé,1.0
13098,1325,2024-2025,22439,22439,2024-04-05,Payé,1.0
13099,1471,2023-2024,24430,24430,2021-09-07,Payé,1.0
13100,1471,2021-2022,23672,23672,2023-01-31,Payé,1.0
13101,1471,2020-2021,24048,24048,2023-02-07,Payé,1.0
13102,1303,2021-2022,24077,24077,2024-01-04,Payé,1.0
13103,1303,2024-2025,22288,0,2025-02-02,Impayé,0.0
13104,1303,2022-2023,23868,23868,2023-05-10,Payé,1.0
13105,1291,2020-2021,23224,0,2022-06-01,Impayé,0.0
13106,2020,2021-2022,24318,24318,2021-11-08,Payé,1.0
13107,1615,2024-2025,20464,20464,2022-08-23,Payé,1.0
13108,1615,2023-2024,21963,21963,2022-09-25,Payé,1.0
13109,1615,2021-2022,24387,24387,2023-02-14,Payé,1.0
13110,1901,2023-2024,17290,17290,2022-08-09,Payé,1.0
13111,1901,2020-2021,23972,23972,2022-01-09,Payé,1.0
13112,1901,2022-2023,23992,23992,2024-02-14,Payé,1.0
13113,2063,2022-2023,18148,13776,2022-11-24,Partiel,0.7590919109543751
13114,2063,2023-2024,16690,16690,2023-06-11,Payé,1.0
13115,2063,2021-2022,15846,15846,2023-01-26,Payé,1.0
13116,1486,2022-2023,23826,23826,2022-01-22,Payé,1.0
13117,1071,2021-2022,16775,16775,2022-12-08,Payé,1.0
13118,1071,2020-2021,16496,0,2024-12-04,Impayé,0.0
13119,1186,2024-2025,17527,17527,2024-04-28,Payé,1.0
13120,1186,2021-2022,23103,15713,2022-04-22,Partiel,0.6801281218889321
13121,1633,2022-2023,17284,17284,2022-10-24,Payé,1.0
13122,1633,2020-2021,22078,22078,2021-11-20,Payé,1.0
13123,1548,2023-2024,16238,16238,2024-03-08,Payé,1.0
13124,1548,2022-2023,16560,16560,2022-11-05,Payé,1.0
13125,1254,2020-2021,20650,20650,2024-06-01,Payé,1.0
13126,1254,2023-2024,23100,23100,2023-02-21,Payé,1.0
13127,1013,2021-2022,24891,24891,2022-09-08,Payé,1.0
13128,2043,2021-2022,24127,24127,2022-03-30,Payé,1.0
13129,2043,2020-2021,23040,23040,2023-06-18,Payé,1.0
13130,2179,2024-2025,24470,24470,2024-11-29,Payé,1.0
13131,1417,2021-2022,21133,21133,2022-10-19,Payé,1.0
13132,1629,2024-2025,16517,16517,2022-02-02,Payé,1.0
13133,1552,2021-2022,23785,23785,2021-11-02,Payé,1.0
13134,1513,2022-2023,17166,13719,2023-12-18,Partiel,0.7991960852848654
13135,1513,2020-2021,24717,24717,2024-06-13,Payé,1.0
13136,1311,2024-2025,17987,17987,2021-11-11,Payé,1.0
13137,1695,2021-2022,16877,16877,2023-03-16,Payé,1.0
13138,1695,2023-2024,18350,18350,2022-06-11,Payé,1.0
13139,1509,2022-2023,19416,19416,2022-06-26,Payé,1.0
13140,1509,2020-2021,20370,20370,2023-07-20,Payé,1.0
13141,1509,2024-2025,18332,18332,2023-10-26,Payé,1.0
13142,1995,2024-2025,16195,16195,2021-11-21,Payé,1.0
13143,1995,2021-2022,21454,21454,2022-07-14,Payé,1.0
13144,1598,2024-2025,16962,11736,2023-04-30,Partiel,0.6918995401485674
13145,1598,2023-2024,20348,20348,2024-02-21,Payé,1.0
13146,1284,2022-2023,24768,24768,2022-03-15,Payé,1.0
13147,1284,2023-2024,16333,16333,2021-12-23,Payé,1.0
13148,1547,2024-2025,24299,24299,2022-07-21,Payé,1.0
13149,1547,2022-2023,23828,10536,2025-01-05,Partiel,0.4421688769514857
13150,2147,2021-2022,18977,18977,2022-04-14,Payé,1.0
13151,2147,2020-2021,18342,18342,2023-11-10,Payé,1.0
13152,1189,2024-2025,21134,21134,2022-04-03,Payé,1.0
13153,1189,2022-2023,17110,17110,2022-01-27,Payé,1.0
13154,2016,2021-2022,21076,13757,2024-07-31,Partiel,0.652732966407288
13155,2027,2020-2021,17700,17700,2022-11-10,Payé,1.0
13156,1680,2022-2023,19510,19510,2023-11-29,Payé,1.0
13157,1680,2021-2022,18195,18195,2023-09-03,Payé,1.0
13158,1680,2023-2024,17900,9705,2024-06-23,Partiel,0.5421787709497207
13159,1539,2022-2023,20407,20407,2023-07-20,Payé,1.0
13160,1539,2024-2025,21006,21006,2021-11-29,Payé,1.0
13161,1974,2024-2025,18059,18059,2024-11-30,Payé,1.0
13162,1974,2020-2021,22842,22842,2024-04-30,Payé,1.0
13163,2023,2024-2025,21405,21405,2024-09-20,Payé,1.0
13164,2023,2022-2023,23663,23663,2023-05-17,Payé,1.0
13165,2023,2023-2024,22674,22674,2021-09-03,Payé,1.0
13166,1089,2020-2021,22884,22884,2024-12-01,Payé,1.0
13167,1089,2021-2022,22559,22559,2021-11-11,Payé,1.0
13168,1319,2022-2023,18454,18454,2022-05-30,Payé,1.0
13169,1319,2024-2025,16053,16053,2024-11-02,Payé,1.0
13170,1319,2020-2021,20264,20264,2025-02-16,Payé,1.0
13171,1441,2021-2022,24148,24148,2024-06-14,Payé,1.0
13172,1268,2023-2024,15511,15511,2024-06-27,Payé,1.0
13173,1268,2021-2022,23790,23790,2023-07-08,Payé,1.0
13174,2039,2020-2021,16628,16628,2024-12-01,Payé,1.0
13175,1389,2021-2022,17028,17028,2023-11-03,Payé,1.0
13176,1168,2023-2024,18457,18457,2024-10-30,Payé,1.0
13177,1168,2020-2021,19932,19932,2022-06-07,Payé,1.0
13178,1114,2021-2022,16011,16011,2022-06-23,Payé,1.0
13179,1114,2022-2023,24366,24366,2024-03-08,Payé,1.0
13180,1135,2020-2021,18738,18738,2023-01-23,Payé,1.0
13181,1135,2021-2022,16399,16399,2023-09-03,Payé,1.0
13182,1135,2024-2025,20201,20201,2024-10-23,Payé,1.0
13183,1767,2022-2023,22579,22579,2024-01-14,Payé,1.0
13184,1767,2020-2021,16728,16728,2023-03-18,Payé,1.0
13185,1767,2021-2022,16773,16773,2022-03-19,Payé,1.0
13186,1900,2020-2021,15883,15883,2023-06-30,Payé,1.0
13187,1141,2022-2023,21470,21470,2024-07-20,Payé,1.0
13188,1141,2024-2025,22526,22526,2021-10-02,Payé,1.0
13189,1192,2022-2023,22565,22565,2022-01-28,Payé,1.0
13190,1022,2020-2021,18889,18889,2024-08-29,Payé,1.0
13191,1599,2020-2021,19948,0,2023-01-19,Impayé,0.0
13192,1492,2023-2024,17315,17315,2025-02-21,Payé,1.0
13193,1492,2024-2025,21342,21342,2023-07-18,Payé,1.0
13194,1911,2022-2023,21343,21343,2023-11-16,Payé,1.0
13195,1359,2023-2024,16903,16903,2024-06-07,Payé,1.0
13196,2101,2020-2021,18077,8990,2022-08-31,Partiel,0.4973170326934779
13197,1636,2022-2023,18034,18034,2021-10-12,Payé,1.0
13198,1636,2020-2021,16026,0,2022-02-02,Impayé,0.0
13199,1636,2021-2022,19450,19450,2023-08-03,Payé,1.0
13200,2142,2021-2022,17000,7272,2023-07-23,Partiel,0.4277647058823529
13201,2142,2022-2023,18646,18646,2021-11-06,Payé,1.0
13202,1058,2021-2022,21001,10511,2022-02-17,Partiel,0.5004999761916099
13203,1313,2024-2025,24767,24767,2024-09-03,Payé,1.0
13204,1617,2023-2024,19386,0,2023-10-26,Impayé,0.0
13205,1617,2024-2025,17935,17935,2025-02-01,Payé,1.0
13206,1296,2021-2022,17063,17063,2022-07-06,Payé,1.0
13207,1296,2023-2024,15348,15348,2023-04-02,Payé,1.0
13208,1296,2020-2021,20229,20229,2022-03-13,Payé,1.0
13209,1714,2024-2025,16906,16906,2024-12-06,Payé,1.0
13210,1714,2022-2023,23986,23986,2025-01-04,Payé,1.0
13211,1095,2024-2025,19721,19721,2021-11-08,Payé,1.0
13212,1660,2022-2023,18804,18804,2024-07-22,Payé,1.0
13213,1799,2020-2021,19764,0,2022-12-12,Impayé,0.0
13214,1799,2021-2022,23900,23900,2022-05-24,Payé,1.0
13215,2135,2023-2024,20382,20382,2022-12-18,Payé,1.0
13216,2135,2024-2025,15892,15892,2023-11-04,Payé,1.0
13217,1218,2021-2022,22716,22716,2024-07-07,Payé,1.0
13218,1218,2022-2023,23096,16019,2022-12-31,Partiel,0.6935833044683062
13219,1115,2022-2023,21324,21324,2023-12-21,Payé,1.0
13220,1772,2023-2024,21714,21714,2024-06-01,Payé,1.0
13221,1772,2022-2023,17130,17130,2022-07-02,Payé,1.0
13222,1772,2024-2025,17491,17491,2022-07-19,Payé,1.0
13223,1323,2024-2025,21045,21045,2022-02-25,Payé,1.0
13224,1323,2021-2022,17470,7954,2021-09-11,Partiel,0.4552947910704064
13225,1868,2020-2021,21852,21852,2023-04-15,Payé,1.0
13226,1868,2023-2024,19042,19042,2023-09-03,Payé,1.0
13227,1601,2024-2025,24115,24115,2023-01-30,Payé,1.0
13228,1601,2021-2022,24229,24229,2021-10-26,Payé,1.0
13229,1577,2023-2024,21663,21663,2022-08-10,Payé,1.0
13230,1577,2022-2023,18824,18824,2024-01-28,Payé,1.0
13231,1136,2024-2025,17765,8687,2024-08-05,Partiel,0.4889952153110048
13232,1136,2020-2021,21752,21752,2022-01-23,Payé,1.0
13233,1136,2023-2024,16561,8870,2021-12-06,Partiel,0.535595676589578
13234,1960,2022-2023,23647,23647,2022-08-13,Payé,1.0
13235,1959,2024-2025,19424,19424,2024-05-01,Payé,1.0
13236,1885,2020-2021,22326,22326,2021-12-29,Payé,1.0
13237,1885,2022-2023,17973,17973,2023-02-28,Payé,1.0
13238,1850,2022-2023,16465,16465,2024-01-01,Payé,1.0
13239,1180,2023-2024,19224,19224,2023-11-19,Payé,1.0
13240,1180,2021-2022,15548,15548,2023-12-07,Payé,1.0
13241,1961,2021-2022,23787,9772,2022-07-26,Partiel,0.4108126287467945
13242,1961,2020-2021,18056,18056,2023-11-15,Payé,1.0
13243,1876,2020-2021,22754,22754,2022-11-21,Payé,1.0
13244,1876,2022-2023,15718,15718,2022-11-21,Payé,1.0
13245,1897,2023-2024,17839,0,2023-10-11,Impayé,0.0
13246,1897,2021-2022,18798,18798,2025-01-18,Payé,1.0
13247,1897,2024-2025,22822,22822,2024-06-06,Payé,1.0
13248,1383,2023-2024,18051,12602,2023-02-09,Partiel,0.6981330674200875
13249,1383,2021-2022,16689,16689,2024-07-11,Payé,1.0
13250,1855,2020-2021,23466,15648,2023-12-24,Partiel,0.6668371260547175
13251,1855,2021-2022,22704,22704,2022-04-06,Payé,1.0
13252,1257,2024-2025,16446,16446,2022-04-05,Payé,1.0
13253,1041,2022-2023,23345,23345,2024-12-08,Payé,1.0
13254,1618,2024-2025,21093,21093,2025-01-12,Payé,1.0
13255,1618,2023-2024,23439,23439,2024-07-01,Payé,1.0
13256,1618,2021-2022,15733,15733,2023-06-01,Payé,1.0
13257,1349,2020-2021,20514,20514,2022-08-30,Payé,1.0
13258,1349,2023-2024,23469,12645,2022-03-04,Partiel,0.5387958583663556
13259,1349,2022-2023,22234,22234,2023-04-26,Payé,1.0
13260,2009,2024-2025,19254,19254,2022-09-20,Payé,1.0
13261,1752,2022-2023,22912,22912,2023-11-14,Payé,1.0
13262,1181,2022-2023,18784,8714,2024-03-31,Partiel,0.4639054514480409
13263,1181,2020-2021,15742,15742,2023-11-02,Payé,1.0
13264,1181,2023-2024,18474,10284,2022-10-03,Partiel,0.5566742448847029
13265,1119,2024-2025,15696,15696,2022-09-09,Payé,1.0
13266,1119,2023-2024,15256,15256,2023-02-21,Payé,1.0
13267,1119,2021-2022,16108,16108,2022-05-22,Payé,1.0
13268,2104,2020-2021,19211,19211,2023-05-07,Payé,1.0
13269,2104,2023-2024,19646,19646,2024-05-18,Payé,1.0
13270,2104,2022-2023,15078,8566,2024-12-04,Partiel,0.5681124817615069
13271,2141,2021-2022,23849,23849,2022-07-07,Payé,1.0
13272,2141,2020-2021,21634,10325,2022-05-16,Partiel,0.4772580197836738
13273,1130,2020-2021,18712,18712,2023-01-13,Payé,1.0
13274,1130,2023-2024,21736,0,2022-01-26,Impayé,0.0
13275,1097,2023-2024,20401,20401,2023-07-10,Payé,1.0
13276,1060,2021-2022,18278,18278,2022-12-07,Payé,1.0
13277,1060,2024-2025,18654,18654,2022-01-17,Payé,1.0
13278,1308,2024-2025,24818,13019,2024-09-21,Partiel,0.5245789346442098
13279,1705,2023-2024,20513,20513,2025-01-18,Payé,1.0
13280,1705,2021-2022,24282,24282,2022-06-10,Payé,1.0
13281,1705,2022-2023,17901,17901,2021-12-08,Payé,1.0
13282,1367,2020-2021,17776,0,2023-06-10,Impayé,0.0
13283,1367,2024-2025,22889,22889,2021-10-15,Payé,1.0
13284,1434,2023-2024,15127,9416,2021-11-30,Partiel,0.6224631453692073
13285,1434,2024-2025,20787,20787,2024-11-08,Payé,1.0
13286,1434,2021-2022,16564,16564,2023-02-17,Payé,1.0
13287,2057,2024-2025,21397,21397,2024-06-28,Payé,1.0
13288,1793,2022-2023,24945,0,2024-07-14,Impayé,0.0
13289,1706,2021-2022,16553,16553,2023-10-08,Payé,1.0
13290,1199,2020-2021,16107,16107,2023-12-23,Payé,1.0
13291,1199,2021-2022,20429,20429,2023-11-09,Payé,1.0
13292,1238,2020-2021,23180,23180,2025-01-30,Payé,1.0
13293,1238,2021-2022,21672,21672,2022-09-08,Payé,1.0
13294,1981,2020-2021,20059,20059,2023-11-16,Payé,1.0
13295,1981,2022-2023,24120,0,2024-02-07,Impayé,0.0
13296,1981,2023-2024,23603,23603,2024-12-21,Payé,1.0
13297,1847,2020-2021,16104,0,2023-09-20,Impayé,0.0
13298,1847,2023-2024,24912,24912,2024-10-06,Payé,1.0
13299,1847,2022-2023,21987,21987,2023-10-27,Payé,1.0
13300,1330,2020-2021,18159,18159,2024-10-17,Payé,1.0
13301,1666,2021-2022,24485,24485,2023-11-05,Payé,1.0
13302,1244,2022-2023,16967,16967,2024-04-13,Payé,1.0
13303,1244,2024-2025,22009,22009,2022-12-13,Payé,1.0
13304,1244,2023-2024,15524,15524,2023-04-27,Payé,1.0
13305,1656,2021-2022,20473,20473,2023-03-04,Payé,1.0
13306,1656,2023-2024,23123,23123,2023-11-20,Payé,1.0
13307,1656,2024-2025,19342,19342,2022-01-11,Payé,1.0
13308,1312,2022-2023,24335,24335,2023-11-27,Payé,1.0
13309,2177,2020-2021,20963,20963,2023-10-25,Payé,1.0
13310,2177,2023-2024,18074,0,2021-12-27,Impayé,0.0
13311,2177,2024-2025,18701,18701,2024-07-14,Payé,1.0
13312,1054,2023-2024,15275,15275,2022-02-03,Payé,1.0
13313,1054,2024-2025,19710,19710,2024-09-20,Payé,1.0
13314,1087,2024-2025,18809,18809,2022-03-16,Payé,1.0
13315,1635,2023-2024,15170,15170,2023-04-22,Payé,1.0
13316,1635,2021-2022,24209,16650,2022-07-04,Partiel,0.6877607501342476
13317,1854,2024-2025,22307,22307,2022-06-02,Payé,1.0
13318,1854,2023-2024,24448,24448,2024-06-13,Payé,1.0
13319,1051,2020-2021,16118,16118,2024-12-17,Payé,1.0
13320,1747,2023-2024,23399,23399,2022-07-10,Payé,1.0
13321,1747,2022-2023,16057,16057,2023-04-22,Payé,1.0
13322,1747,2021-2022,23748,23748,2023-11-11,Payé,1.0
13323,1562,2024-2025,16953,16953,2024-10-07,Payé,1.0
13324,1562,2022-2023,19237,0,2023-04-29,Impayé,0.0
13325,1858,2021-2022,21678,21678,2024-08-06,Payé,1.0
13326,1858,2020-2021,17736,17736,2023-05-15,Payé,1.0
13327,1050,2023-2024,24985,19461,2024-03-19,Partiel,0.778907344406644
13328,1050,2022-2023,16970,0,2022-01-13,Impayé,0.0
13329,1765,2023-2024,20781,20781,2025-01-02,Payé,1.0
13330,1765,2024-2025,24899,0,2022-05-27,Impayé,0.0
13331,2116,2020-2021,15839,15839,2021-10-14,Payé,1.0
13332,2116,2022-2023,16251,16251,2022-12-09,Payé,1.0
13333,2116,2021-2022,23567,23567,2024-05-13,Payé,1.0
13334,1616,2021-2022,18943,18943,2025-02-20,Payé,1.0
13335,1616,2020-2021,17841,17841,2025-01-16,Payé,1.0
13336,1685,2021-2022,18933,18933,2024-04-07,Payé,1.0
13337,1685,2023-2024,21798,21798,2023-10-26,Payé,1.0
13338,2181,2024-2025,17955,17955,2024-06-20,Payé,1.0
13339,2181,2023-2024,16094,16094,2022-02-12,Payé,1.0
13340,1973,2023-2024,17662,17662,2024-12-03,Payé,1.0
13341,1973,2022-2023,19323,19323,2024-11-20,Payé,1.0
13342,1973,2020-2021,24049,24049,2025-02-16,Payé,1.0
13343,2107,2022-2023,15870,15870,2024-05-22,Payé,1.0
13344,2107,2020-2021,18161,14170,2023-04-03,Partiel,0.7802433786685755
13345,1939,2020-2021,15499,15499,2022-04-30,Payé,1.0
13346,1939,2023-2024,15348,15348,2022-03-27,Payé,1.0
13347,2154,2021-2022,21149,21149,2025-02-23,Payé,1.0
13348,2154,2023-2024,24614,18938,2022-07-30,Partiel,0.7693995287234907
13349,1937,2024-2025,17147,12412,2022-08-31,Partiel,0.7238584008864525
13350,1937,2021-2022,18793,9081,2024-06-04,Partiel,0.4832118341935827
13351,1266,2020-2021,20645,20645,2024-07-25,Payé,1.0
13352,1129,2022-2023,16935,16935,2024-12-05,Payé,1.0
13353,1827,2020-2021,15447,9100,2025-02-11,Partiel,0.5891111542694374
13354,1827,2021-2022,19487,19487,2024-01-13,Payé,1.0
13355,1827,2024-2025,19587,19587,2023-09-29,Payé,1.0
13356,2165,2024-2025,21384,14750,2024-04-17,Partiel,0.689768050879162
13357,2165,2020-2021,23058,23058,2021-10-01,Payé,1.0
13358,1778,2021-2022,21187,0,2024-09-17,Impayé,0.0
13359,1290,2024-2025,22482,22482,2023-02-06,Payé,1.0
13360,1491,2022-2023,23785,23785,2023-10-23,Payé,1.0
13361,1491,2024-2025,17757,17757,2021-10-26,Payé,1.0
13362,1491,2020-2021,19875,19875,2022-04-09,Payé,1.0
13363,1216,2020-2021,19315,19315,2023-11-15,Payé,1.0
13364,1216,2024-2025,18473,0,2022-08-06,Impayé,0.0
13365,1860,2022-2023,15316,15316,2023-07-04,Payé,1.0
13366,1860,2021-2022,18745,12709,2024-07-09,Partiel,0.6779941317684716
13367,1860,2020-2021,23841,23841,2024-08-29,Payé,1.0
13368,1023,2024-2025,16500,16500,2022-05-17,Payé,1.0
13369,1023,2021-2022,23657,23657,2021-12-17,Payé,1.0
13370,1912,2023-2024,24269,0,2023-08-11,Impayé,0.0
13371,1537,2024-2025,19518,19518,2022-04-25,Payé,1.0
13372,1537,2023-2024,17969,8162,2021-12-25,Partiel,0.4542267238021036
13373,1537,2022-2023,15830,15830,2021-09-06,Payé,1.0
13374,1849,2022-2023,24453,24453,2021-09-03,Payé,1.0
13375,1451,2023-2024,15677,15677,2024-06-20,Payé,1.0
13376,1451,2024-2025,15274,15274,2024-01-27,Payé,1.0
13377,1451,2020-2021,19178,19178,2024-04-25,Payé,1.0
13378,1573,2020-2021,21106,21106,2022-06-18,Payé,1.0
13379,1573,2024-2025,16244,16244,2024-02-06,Payé,1.0
13380,1573,2021-2022,19834,19834,2022-06-28,Payé,1.0
13381,1557,2020-2021,17652,17652,2023-08-04,Payé,1.0
13382,1842,2021-2022,21039,21039,2024-09-09,Payé,1.0
13383,1842,2023-2024,15023,15023,2022-03-16,Payé,1.0
13384,1842,2024-2025,19064,19064,2023-12-30,Payé,1.0
13385,1452,2024-2025,23317,23317,2024-01-13,Payé,1.0
13386,1452,2020-2021,22985,22985,2022-08-02,Payé,1.0
13387,1340,2021-2022,24594,18297,2021-11-18,Partiel,0.7439619419370578
13388,1951,2023-2024,15276,15276,2022-03-25,Payé,1.0
13389,1951,2020-2021,17376,17376,2021-10-13,Payé,1.0
13390,1951,2022-2023,22091,22091,2023-09-15,Payé,1.0
13391,2058,2024-2025,24266,0,2022-12-28,Impayé,0.0
13392,1396,2024-2025,20506,20506,2023-04-27,Payé,1.0
13393,1396,2022-2023,20297,20297,2022-01-26,Payé,1.0
13394,1396,2021-2022,21951,21951,2023-11-22,Payé,1.0
13395,1230,2024-2025,16455,16455,2024-02-27,Payé,1.0
13396,1165,2020-2021,20664,20664,2023-05-13,Payé,1.0
13397,1165,2023-2024,24255,12717,2023-04-07,Partiel,0.52430426716141
13398,1170,2023-2024,23227,23227,2023-10-12,Payé,1.0
13399,1893,2023-2024,23311,23311,2025-01-12,Payé,1.0
13400,1893,2020-2021,18984,18984,2022-02-27,Payé,1.0
13401,2117,2021-2022,24879,24879,2022-12-27,Payé,1.0
13402,1535,2021-2022,16145,10822,2024-12-16,Partiel,0.6703004026014245
13403,1535,2022-2023,19833,19833,2023-10-28,Payé,1.0
13404,1535,2020-2021,15821,15821,2022-10-03,Payé,1.0
13405,1894,2020-2021,18921,18921,2024-06-25,Payé,1.0
13406,1261,2020-2021,18785,18785,2024-05-02,Payé,1.0
13407,1261,2023-2024,21787,21787,2023-07-12,Payé,1.0
13408,1261,2024-2025,21588,21588,2022-04-23,Payé,1.0
13409,2150,2021-2022,15618,6363,2023-08-01,Partiel,0.4074145217057242
13410,2150,2024-2025,21267,21267,2022-02-27,Payé,1.0
13411,2150,2022-2023,18947,18947,2024-04-20,Payé,1.0
