id_seance,id_module,id_professeur,id_salle,date_seance,heure_debut,heure_fin,effectuee,retard_minutes,nb_etudiants_presents,duree_minutes,annee_seance
7030,302,430,531,2023-06-07,10:30,12:30,Oui,0,97,120,2023
7031,331,443,524,2023-05-13,13:00,17:00,Oui,0,103,240,2023
7032,352,451,502,2022-12-07,17:00,19:00,Oui,0,105,120,2022
7033,302,430,505,2024-04-15,10:30,10:30,Oui,0,106,0,2024
7034,310,411,529,2024-02-05,10:30,17:00,Oui,0,111,390,2024
7035,337,405,539,2025-01-09,17:00,17:00,Oui,0,114,0,2025
7036,355,414,519,2025-03-23,17:00,15:00,Oui,0,33,120,2025
7037,321,403,535,2024-09-19,17:00,12:30,Oui,0,33,270,2024
7038,316,438,522,2023-03-30,17:00,15:00,Oui,0,87,120,2023
7039,342,427,540,2023-10-04,10:30,10:30,Non,0,38,0,2023
7040,318,474,515,2024-04-25,15:00,17:00,Oui,0,87,120,2024
7041,353,429,536,2022-12-22,08:30,19:00,Oui,5,75,630,2022
7042,317,466,510,2024-11-24,15:00,17:00,Oui,0,18,120,2024
7043,354,419,529,2023-08-23,13:00,19:00,Oui,0,107,360,2023
7044,354,419,515,2023-11-26,17:00,15:00,Oui,0,98,120,2023
7045,315,436,516,2023-06-11,17:00,10:30,Oui,0,119,390,2023
7046,353,429,519,2022-09-07,15:00,10:30,Oui,0,33,270,2022
7047,337,405,537,2025-02-06,17:00,12:30,Oui,0,66,270,2025
7048,339,408,538,2024-09-04,10:30,17:00,Oui,0,99,390,2024
7049,322,429,518,2023-03-11,15:00,19:00,Oui,0,63,240,2023
7050,322,429,523,2024-12-12,10:30,10:30,Oui,10,86,0,2024
7051,345,446,531,2025-01-20,10:30,12:30,Oui,0,118,120,2025
7052,330,436,534,2024-06-04,08:30,15:00,Oui,0,39,390,2024
7053,341,431,518,2024-11-25,10:30,19:00,Oui,5,116,510,2024
7054,356,412,520,2024-03-10,08:30,10:30,Oui,0,36,120,2024
7055,308,425,531,2023-12-03,17:00,17:00,Oui,0,91,0,2023
7056,302,430,526,2024-11-06,08:30,10:30,Oui,0,112,120,2024
7057,308,425,525,2025-06-28,08:30,12:30,Oui,0,119,240,2025
7058,316,438,540,2024-07-17,08:30,10:30,Oui,0,23,120,2024
7059,336,444,525,2022-12-24,13:00,10:30,Oui,0,52,150,2022
7060,309,403,539,2023-01-28,13:00,10:30,Oui,0,73,150,2023
7061,325,431,527,2023-08-29,17:00,12:30,Oui,0,89,270,2023
7062,325,431,529,2024-12-21,08:30,15:00,Oui,0,43,390,2024
7063,322,429,518,2024-03-07,15:00,17:00,Oui,0,71,120,2024
7064,349,476,539,2024-03-30,08:30,17:00,Oui,0,32,510,2024
7065,341,431,526,2024-12-22,17:00,12:30,Oui,20,59,270,2024
7066,342,427,502,2023-03-08,15:00,17:00,Oui,0,64,120,2023
7067,306,424,504,2023-07-27,17:00,10:30,Oui,0,113,390,2023
7068,301,452,517,2022-10-17,17:00,19:00,Oui,0,48,120,2022
7069,301,452,505,2023-10-05,15:00,12:30,Oui,0,26,150,2023
7070,329,423,509,2024-06-05,10:30,12:30,Oui,0,59,120,2024
7071,323,414,526,2023-04-11,08:30,17:00,Oui,20,16,510,2023
7072,310,411,514,2023-08-03,08:30,19:00,Oui,0,35,630,2023
7073,344,427,501,2024-10-17,15:00,12:30,Oui,10,120,150,2024
7074,359,459,533,2024-06-12,15:00,19:00,Oui,0,88,240,2024
7075,340,438,523,2024-10-10,10:30,17:00,Oui,0,24,390,2024
7076,347,468,535,2024-04-30,17:00,10:30,Oui,0,107,390,2024
7077,305,470,511,2024-06-23,15:00,15:00,Oui,0,80,0,2024
7078,317,466,503,2023-03-13,13:00,10:30,Oui,0,45,150,2023
7079,317,466,529,2023-10-25,08:30,17:00,Oui,0,75,510,2023
7080,340,438,535,2023-04-10,15:00,17:00,Oui,0,100,120,2023
7081,334,479,533,2023-08-15,08:30,10:30,Oui,5,35,120,2023
7082,308,425,506,2025-06-03,17:00,19:00,Oui,0,120,120,2025
7083,330,436,512,2023-03-29,13:00,19:00,Oui,0,68,360,2023
7084,335,408,511,2024-07-28,15:00,19:00,Oui,0,71,240,2024
7085,335,408,515,2025-01-20,10:30,19:00,Oui,0,46,510,2025
7086,323,414,508,2023-08-29,13:00,17:00,Oui,0,18,240,2023
7087,302,430,522,2023-12-13,15:00,10:30,Oui,0,78,270,2023
7088,304,444,538,2025-01-25,08:30,17:00,Oui,0,76,510,2025
7089,310,411,504,2024-12-03,15:00,12:30,Oui,0,66,150,2024
7090,308,425,534,2023-06-28,08:30,15:00,Oui,0,112,390,2023
7091,301,452,501,2024-10-10,08:30,12:30,Oui,0,38,240,2024
7092,326,472,515,2024-08-16,10:30,10:30,Oui,0,65,0,2024
7093,316,438,524,2022-10-01,17:00,17:00,Oui,0,28,0,2022
7094,360,468,517,2024-12-08,08:30,19:00,Oui,0,98,630,2024
7095,301,452,512,2023-01-27,10:30,15:00,Non,0,87,270,2023
7096,339,408,526,2025-03-24,08:30,19:00,Oui,0,90,630,2025
7097,338,438,535,2024-03-03,17:00,19:00,Oui,0,84,120,2024
7098,343,428,519,2022-10-04,10:30,10:30,Non,0,57,0,2022
7099,302,430,503,2023-12-15,17:00,17:00,Oui,10,107,0,2023
7100,338,438,539,2024-01-27,13:00,12:30,Oui,5,53,30,2024
7101,333,460,539,2024-07-23,17:00,19:00,Oui,10,85,120,2024
7102,346,425,505,2023-02-20,15:00,19:00,Oui,10,79,240,2023
7103,332,418,530,2022-11-13,15:00,10:30,Oui,0,60,270,2022
7104,357,413,512,2023-12-26,15:00,17:00,Oui,0,64,120,2023
7105,340,438,531,2023-10-07,10:30,10:30,Oui,10,93,0,2023
7106,305,470,529,2024-03-16,08:30,19:00,Oui,0,23,630,2024
7107,354,419,530,2025-06-10,15:00,17:00,Oui,0,84,120,2025
7108,333,460,510,2025-02-10,10:30,12:30,Oui,10,55,120,2025
7109,318,474,534,2023-10-07,08:30,19:00,Oui,0,55,630,2023
7110,305,470,534,2022-09-02,10:30,12:30,Oui,0,62,120,2022
7111,309,403,504,2024-03-05,13:00,17:00,Oui,5,63,240,2024
7112,359,459,540,2024-07-11,17:00,10:30,Oui,0,18,390,2024
7113,351,416,508,2023-08-10,17:00,12:30,Oui,0,114,270,2023
7114,319,468,522,2024-10-07,10:30,19:00,Oui,0,65,510,2024
7115,350,441,530,2024-11-16,13:00,19:00,Oui,0,52,360,2024
7116,343,428,512,2024-01-19,10:30,19:00,Oui,0,109,510,2024
7117,315,436,537,2024-03-05,10:30,12:30,Oui,0,84,120,2024
7118,321,403,537,2023-03-31,10:30,15:00,Oui,0,25,270,2023
7119,320,465,521,2023-09-18,13:00,17:00,Oui,0,37,240,2023
7120,351,416,522,2024-11-05,17:00,12:30,Oui,0,66,270,2024
7121,341,431,538,2023-11-28,10:30,15:00,Oui,0,82,270,2023
7122,356,412,539,2024-09-27,17:00,10:30,Oui,10,86,390,2024
7123,342,427,526,2024-09-26,15:00,19:00,Oui,0,48,240,2024
7124,319,468,525,2024-06-26,13:00,17:00,Oui,0,113,240,2024
7125,301,452,519,2024-02-18,10:30,15:00,Oui,0,95,270,2024
7126,353,429,540,2023-05-04,17:00,19:00,Oui,0,24,120,2023
7127,340,438,508,2025-05-13,10:30,10:30,Oui,0,40,0,2025
7128,317,466,534,2024-07-15,13:00,10:30,Oui,20,26,150,2024
7129,343,428,524,2023-11-05,08:30,15:00,Oui,0,52,390,2023
7130,317,466,530,2023-04-09,13:00,12:30,Oui,0,28,30,2023
7131,343,428,514,2023-08-22,10:30,17:00,Oui,0,75,390,2023
7132,344,427,534,2023-03-19,15:00,17:00,Oui,0,55,120,2023
7133,315,436,503,2022-10-03,13:00,12:30,Non,0,104,30,2022
7134,311,461,507,2024-04-03,08:30,10:30,Non,5,114,120,2024
7135,301,452,523,2023-08-30,17:00,19:00,Oui,15,30,120,2023
7136,313,440,538,2025-04-26,17:00,12:30,Oui,0,111,270,2025
7137,310,411,531,2022-09-14,10:30,12:30,Oui,0,80,120,2022
7138,353,429,534,2024-08-14,10:30,15:00,Oui,0,86,270,2024
7139,313,440,528,2024-12-31,13:00,19:00,Oui,10,79,360,2024
7140,338,438,527,2025-03-10,13:00,15:00,Oui,0,36,120,2025
7141,360,468,509,2025-06-06,17:00,15:00,Oui,15,109,120,2025
7142,348,433,518,2024-07-27,15:00,15:00,Oui,10,116,0,2024
7143,341,431,521,2024-04-12,10:30,15:00,Oui,0,93,270,2024
7144,322,429,508,2023-02-17,15:00,15:00,Oui,0,18,0,2023
7145,350,441,509,2022-09-13,08:30,12:30,Oui,0,117,240,2022
7146,343,428,520,2024-10-02,17:00,12:30,Oui,0,24,270,2024
7147,348,433,516,2023-05-27,08:30,15:00,Oui,0,55,390,2023
7148,321,403,505,2023-11-01,13:00,17:00,Oui,5,19,240,2023
7149,319,468,534,2023-10-23,15:00,19:00,Oui,10,109,240,2023
7150,327,465,512,2023-03-25,13:00,19:00,Oui,10,82,360,2023
7151,331,443,540,2024-10-24,17:00,17:00,Oui,0,33,0,2024
7152,331,443,532,2023-11-29,15:00,15:00,Oui,0,97,0,2023
7153,338,438,527,2023-07-04,10:30,15:00,Oui,0,80,270,2023
7154,334,479,511,2024-09-25,08:30,19:00,Oui,0,42,630,2024
7155,337,405,512,2023-04-05,10:30,10:30,Oui,0,31,0,2023
7156,313,440,513,2023-06-21,08:30,15:00,Oui,0,94,390,2023
7157,301,452,506,2022-12-30,08:30,10:30,Oui,0,81,120,2022
7158,321,403,516,2024-12-29,10:30,12:30,Oui,20,106,120,2024
7159,324,448,536,2025-04-06,17:00,12:30,Oui,0,113,270,2025
7160,319,468,531,2024-12-06,08:30,17:00,Oui,0,37,510,2024
7161,329,423,512,2024-08-17,13:00,15:00,Oui,5,110,120,2024
7162,306,424,524,2024-02-27,15:00,12:30,Oui,10,88,150,2024
7163,321,403,503,2024-06-28,08:30,19:00,Oui,0,119,630,2024
7164,303,448,530,2024-10-23,17:00,12:30,Oui,15,108,270,2024
7165,356,412,507,2024-11-12,10:30,17:00,Oui,0,30,390,2024
7166,324,448,531,2023-08-26,10:30,12:30,Oui,0,71,120,2023
7167,312,449,514,2023-09-17,08:30,15:00,Non,0,38,390,2023
7168,337,405,512,2023-07-15,17:00,19:00,Oui,0,42,120,2023
7169,307,438,527,2023-08-17,15:00,15:00,Non,0,99,0,2023
7170,322,429,538,2023-02-02,10:30,19:00,Oui,0,85,510,2023
7171,302,430,510,2023-12-29,13:00,15:00,Oui,20,104,120,2023
7172,320,465,516,2023-10-22,13:00,15:00,Oui,0,68,120,2023
7173,311,461,508,2025-05-29,15:00,17:00,Oui,10,43,120,2025
7174,350,441,511,2024-11-14,08:30,19:00,Oui,0,57,630,2024
7175,351,416,517,2024-02-02,15:00,19:00,Oui,0,106,240,2024
7176,346,425,508,2023-09-05,17:00,19:00,Oui,0,71,120,2023
7177,353,429,501,2023-09-18,15:00,10:30,Oui,10,35,270,2023
7178,343,428,504,2024-07-10,17:00,17:00,Oui,0,112,0,2024
7179,319,468,534,2025-06-16,10:30,17:00,Oui,0,105,390,2025
7180,305,470,521,2023-06-11,17:00,19:00,Oui,0,46,120,2023
7181,310,411,509,2023-07-03,08:30,12:30,Oui,15,116,240,2023
7182,312,449,524,2024-11-22,08:30,19:00,Oui,0,39,630,2024
7183,304,444,512,2022-11-17,13:00,19:00,Oui,0,77,360,2022
7184,327,465,539,2025-04-11,17:00,19:00,Oui,0,71,120,2025
7185,359,459,523,2023-11-06,13:00,19:00,Oui,5,60,360,2023
7186,331,443,512,2023-12-29,15:00,10:30,Oui,0,117,270,2023
7187,326,472,503,2023-10-19,13:00,12:30,Oui,10,64,30,2023
7188,353,429,506,2024-06-18,08:30,15:00,Oui,0,35,390,2024
7189,343,428,514,2023-03-11,10:30,19:00,Oui,0,36,510,2023
7190,343,428,538,2024-08-14,08:30,15:00,Oui,0,40,390,2024
7191,320,465,531,2024-03-21,17:00,12:30,Oui,0,22,270,2024
7192,356,412,540,2023-10-08,17:00,17:00,Oui,0,75,0,2023
7193,319,468,506,2023-11-05,15:00,10:30,Oui,0,92,270,2023
7194,304,444,508,2023-06-25,10:30,12:30,Oui,0,29,120,2023
7195,310,411,514,2023-07-20,15:00,17:00,Oui,0,74,120,2023
7196,343,428,509,2022-12-19,08:30,10:30,Oui,15,29,120,2022
7197,331,443,525,2024-12-03,10:30,10:30,Oui,0,30,0,2024
7198,306,424,540,2022-11-05,13:00,19:00,Oui,0,112,360,2022
7199,305,470,529,2024-01-23,17:00,12:30,Oui,0,19,270,2024
7200,325,431,519,2023-09-30,13:00,12:30,Oui,0,83,30,2023
7201,360,468,501,2023-09-02,13:00,19:00,Oui,5,28,360,2023
7202,352,451,510,2024-03-31,08:30,15:00,Oui,0,17,390,2024
7203,338,438,536,2024-11-17,10:30,15:00,Oui,0,16,270,2024
7204,303,448,537,2024-06-30,10:30,19:00,Non,0,51,510,2024
7205,331,443,525,2023-05-22,17:00,12:30,Oui,0,104,270,2023
7206,301,452,524,2024-08-17,08:30,10:30,Oui,0,118,120,2024
7207,321,403,514,2024-08-08,17:00,17:00,Oui,0,120,0,2024
7208,326,472,502,2023-03-19,15:00,10:30,Oui,0,33,270,2023
7209,357,413,518,2023-09-26,13:00,19:00,Oui,0,56,360,2023
7210,356,412,535,2024-09-20,10:30,12:30,Oui,0,18,120,2024
7211,302,430,517,2023-02-01,10:30,10:30,Oui,0,33,0,2023
7212,352,451,531,2022-12-20,13:00,19:00,Oui,0,35,360,2022
7213,311,461,531,2023-12-17,13:00,10:30,Oui,0,36,150,2023
7214,339,408,539,2023-01-04,08:30,17:00,Oui,0,69,510,2023
7215,329,423,538,2022-10-16,10:30,12:30,Oui,0,51,120,2022
7216,328,467,534,2023-04-08,13:00,12:30,Oui,0,120,30,2023
7217,307,438,501,2023-11-29,13:00,10:30,Oui,0,46,150,2023
7218,325,431,504,2023-05-14,13:00,17:00,Oui,10,78,240,2023
7219,348,433,537,2025-03-13,13:00,19:00,Oui,0,23,360,2025
7220,329,423,524,2025-02-23,13:00,15:00,Oui,0,51,120,2025
7221,311,461,528,2023-08-20,13:00,17:00,Non,0,28,240,2023
7222,327,465,509,2024-01-28,08:30,10:30,Oui,0,20,120,2024
7223,329,423,536,2022-12-31,17:00,10:30,Oui,10,19,390,2022
7224,323,414,514,2022-10-25,15:00,19:00,Oui,0,44,240,2022
7225,316,438,507,2025-03-09,08:30,17:00,Oui,0,35,510,2025
7226,335,408,528,2022-11-27,17:00,10:30,Oui,10,118,390,2022
7227,320,465,524,2025-03-06,17:00,10:30,Oui,0,107,390,2025
7228,317,466,507,2024-08-02,15:00,10:30,Oui,0,40,270,2024
7229,304,444,533,2022-11-26,08:30,12:30,Oui,0,21,240,2022
7230,351,416,530,2023-12-14,08:30,15:00,Oui,0,61,390,2023
7231,306,424,534,2024-03-18,10:30,17:00,Oui,0,37,390,2024
7232,309,403,508,2023-10-08,17:00,17:00,Oui,0,38,0,2023
7233,359,459,523,2024-08-28,15:00,19:00,Oui,0,47,240,2024
7234,327,465,532,2022-10-31,17:00,10:30,Oui,0,57,390,2022
7235,313,440,513,2023-10-16,10:30,17:00,Oui,0,47,390,2023
7236,312,449,528,2024-11-15,10:30,10:30,Oui,0,60,0,2024
7237,330,436,538,2023-01-10,10:30,17:00,Oui,15,17,390,2023
7238,315,436,503,2022-12-27,15:00,17:00,Non,15,69,120,2022
7239,342,427,507,2024-05-29,17:00,10:30,Non,0,111,390,2024
7240,309,403,505,2023-04-27,17:00,17:00,Oui,0,100,0,2023
7241,355,414,530,2023-05-13,08:30,10:30,Oui,0,110,120,2023
7242,306,424,517,2023-12-28,17:00,10:30,Oui,0,120,390,2023
7243,325,431,537,2024-03-06,13:00,12:30,Oui,0,100,30,2024
7244,357,413,505,2024-06-10,08:30,15:00,Oui,0,93,390,2024
7245,329,423,539,2025-06-24,17:00,15:00,Oui,0,97,120,2025
7246,334,479,539,2025-06-14,15:00,19:00,Oui,20,82,240,2025
7247,348,433,532,2023-12-03,10:30,17:00,Oui,0,90,390,2023
7248,324,448,529,2023-05-05,15:00,19:00,Oui,0,86,240,2023
7249,323,414,519,2023-03-29,15:00,10:30,Oui,0,34,270,2023
7250,343,428,514,2025-05-21,08:30,17:00,Oui,0,76,510,2025
7251,305,470,537,2024-02-28,10:30,15:00,Oui,10,70,270,2024
7252,338,438,512,2023-11-06,17:00,19:00,Oui,0,91,120,2023
7253,351,416,519,2023-04-22,15:00,10:30,Non,5,23,270,2023
7254,334,479,517,2023-08-05,10:30,10:30,Oui,0,42,0,2023
7255,353,429,530,2022-12-14,17:00,12:30,Oui,0,28,270,2022
7256,327,465,506,2024-12-20,10:30,10:30,Oui,10,95,0,2024
7257,351,416,517,2023-03-14,17:00,10:30,Oui,0,45,390,2023
7258,311,461,524,2025-06-30,17:00,17:00,Oui,0,33,0,2025
7259,309,403,508,2023-02-19,08:30,19:00,Non,0,79,630,2023
7260,348,433,538,2024-04-16,17:00,10:30,Oui,15,119,390,2024
7261,360,468,505,2024-11-26,13:00,19:00,Oui,10,32,360,2024
7262,340,438,511,2023-05-05,13:00,19:00,Oui,0,80,360,2023
7263,306,424,515,2025-02-18,13:00,17:00,Non,0,16,240,2025
7264,302,430,535,2023-08-20,08:30,15:00,Oui,0,84,390,2023
7265,334,479,503,2025-01-05,15:00,10:30,Oui,10,38,270,2025
7266,311,461,513,2024-10-18,13:00,19:00,Oui,0,66,360,2024
7267,311,461,506,2023-02-20,17:00,17:00,Non,0,101,0,2023
7268,335,408,538,2024-03-07,17:00,17:00,Oui,0,86,0,2024
7269,302,430,533,2023-07-06,15:00,19:00,Oui,0,100,240,2023
7270,352,451,531,2022-12-12,17:00,15:00,Oui,0,44,120,2022
7271,326,472,508,2024-02-12,08:30,19:00,Oui,0,69,630,2024
7272,336,444,508,2024-08-27,15:00,19:00,Oui,0,97,240,2024
7273,359,459,516,2023-08-29,17:00,19:00,Oui,0,43,120,2023
7274,308,425,522,2024-10-12,15:00,19:00,Oui,0,117,240,2024
7275,343,428,526,2023-09-08,08:30,19:00,Oui,0,68,630,2023
7276,326,472,519,2024-10-10,10:30,15:00,Oui,0,93,270,2024
7277,306,424,528,2022-10-23,17:00,15:00,Oui,0,34,120,2022
7278,352,451,505,2025-02-26,17:00,15:00,Oui,0,28,120,2025
7279,353,429,525,2023-06-19,13:00,19:00,Oui,0,112,360,2023
7280,308,425,516,2024-12-11,17:00,12:30,Oui,0,15,270,2024
7281,316,438,533,2023-11-29,15:00,19:00,Oui,20,104,240,2023
7282,322,429,533,2023-12-11,15:00,12:30,Oui,0,48,150,2023
7283,330,436,526,2025-05-10,17:00,17:00,Oui,0,92,0,2025
7284,349,476,537,2023-01-18,17:00,10:30,Oui,15,26,390,2023
7285,337,405,520,2023-01-30,08:30,19:00,Oui,0,111,630,2023
7286,325,431,516,2024-09-02,17:00,12:30,Oui,0,120,270,2024
7287,301,452,514,2024-12-13,10:30,17:00,Oui,0,107,390,2024
7288,358,477,527,2022-09-01,10:30,10:30,Oui,0,47,0,2022
7289,353,429,521,2023-03-13,08:30,12:30,Oui,10,61,240,2023
7290,309,403,518,2024-05-11,13:00,10:30,Oui,0,93,150,2024
7291,309,403,507,2025-01-26,08:30,12:30,Oui,0,104,240,2025
7292,333,460,519,2024-03-14,17:00,17:00,Oui,0,66,0,2024
7293,348,433,505,2025-04-20,15:00,10:30,Oui,0,113,270,2025
7294,343,428,534,2023-05-18,17:00,19:00,Oui,20,88,120,2023
7295,356,412,535,2022-11-25,08:30,17:00,Oui,0,74,510,2022
7296,360,468,536,2023-06-25,08:30,17:00,Oui,20,49,510,2023
7297,318,474,527,2023-04-03,13:00,19:00,Oui,0,38,360,2023
7298,306,424,526,2024-10-11,17:00,17:00,Non,0,93,0,2024
7299,323,414,535,2024-01-23,17:00,17:00,Oui,0,104,0,2024
7300,319,468,540,2025-02-18,17:00,17:00,Oui,0,87,0,2025
7301,349,476,520,2023-03-04,17:00,15:00,Oui,0,55,120,2023
7302,348,433,504,2023-04-15,10:30,19:00,Oui,0,101,510,2023
7303,318,474,512,2022-12-29,15:00,15:00,Oui,0,46,0,2022
7304,351,416,525,2022-12-01,08:30,17:00,Oui,0,25,510,2022
7305,325,431,528,2023-01-05,17:00,19:00,Oui,0,111,120,2023
7306,302,430,536,2024-11-17,13:00,12:30,Oui,10,67,30,2024
7307,319,468,509,2023-03-24,13:00,15:00,Oui,0,62,120,2023
7308,314,453,539,2022-12-24,08:30,10:30,Oui,0,18,120,2022
7309,335,408,539,2024-05-09,13:00,19:00,Oui,0,89,360,2024
7310,349,476,517,2023-09-02,15:00,17:00,Oui,20,102,120,2023
7311,342,427,518,2025-02-07,15:00,10:30,Oui,0,56,270,2025
7312,348,433,528,2024-02-19,13:00,15:00,Oui,5,69,120,2024
7313,305,470,524,2025-05-31,13:00,19:00,Oui,0,18,360,2025
7314,359,459,537,2025-03-11,13:00,15:00,Oui,0,43,120,2025
7315,335,408,513,2022-10-30,10:30,15:00,Oui,0,48,270,2022
7316,340,438,526,2024-10-20,10:30,17:00,Oui,0,58,390,2024
7317,339,408,519,2022-12-20,13:00,19:00,Oui,0,92,360,2022
7318,341,431,523,2023-12-13,08:30,17:00,Oui,5,35,510,2023
7319,313,440,512,2023-05-01,13:00,12:30,Oui,20,112,30,2023
7320,355,414,529,2025-01-24,15:00,17:00,Non,0,54,120,2025
7321,328,467,526,2023-06-03,17:00,10:30,Oui,5,64,390,2023
7322,313,440,502,2023-04-01,13:00,10:30,Oui,0,26,150,2023
7323,350,441,524,2025-06-27,13:00,19:00,Oui,0,117,360,2025
7324,334,479,534,2024-11-04,08:30,19:00,Non,0,16,630,2024
7325,325,431,507,2025-04-29,15:00,17:00,Oui,0,106,120,2025
7326,340,438,532,2023-05-20,08:30,12:30,Oui,0,88,240,2023
7327,308,425,539,2024-09-03,08:30,15:00,Oui,0,72,390,2024
7328,307,438,509,2024-12-15,10:30,17:00,Oui,0,24,390,2024
7329,312,449,510,2023-04-16,08:30,12:30,Oui,0,82,240,2023
7330,321,403,517,2023-12-13,15:00,15:00,Oui,0,44,0,2023
7331,346,425,528,2024-08-09,15:00,19:00,Oui,0,21,240,2024
7332,324,448,530,2024-08-18,10:30,15:00,Non,10,48,270,2024
7333,326,472,533,2023-08-25,08:30,19:00,Oui,10,103,630,2023
7334,323,414,515,2025-06-28,13:00,15:00,Oui,10,117,120,2025
7335,318,474,518,2022-12-06,15:00,15:00,Oui,15,54,0,2022
7336,340,438,524,2024-04-07,13:00,12:30,Oui,0,40,30,2024
7337,343,428,505,2023-04-17,10:30,12:30,Oui,0,106,120,2023
7338,336,444,529,2024-04-07,17:00,17:00,Oui,0,102,0,2024
7339,312,449,540,2023-02-21,15:00,12:30,Oui,0,46,150,2023
7340,345,446,519,2023-08-07,08:30,12:30,Oui,0,86,240,2023
7341,345,446,535,2024-10-17,08:30,17:00,Oui,10,60,510,2024
7342,343,428,501,2023-01-03,08:30,19:00,Oui,0,115,630,2023
7343,319,468,525,2024-01-19,13:00,15:00,Oui,0,106,120,2024
7344,354,419,513,2022-11-07,10:30,15:00,Oui,0,107,270,2022
7345,331,443,535,2025-06-27,13:00,19:00,Oui,10,44,360,2025
7346,325,431,522,2023-12-15,08:30,10:30,Oui,0,104,120,2023
7347,355,414,507,2023-01-20,15:00,17:00,Oui,0,75,120,2023
7348,319,468,533,2024-04-09,08:30,17:00,Oui,0,59,510,2024
7349,307,438,512,2024-03-25,13:00,15:00,Oui,0,48,120,2024
7350,352,451,528,2022-12-19,10:30,19:00,Oui,0,61,510,2022
7351,335,408,505,2025-05-01,10:30,17:00,Oui,5,105,390,2025
7352,333,460,536,2023-04-08,13:00,12:30,Oui,0,97,30,2023
7353,323,414,539,2023-05-11,15:00,19:00,Oui,0,80,240,2023
7354,351,416,517,2024-10-30,17:00,19:00,Oui,0,69,120,2024
7355,360,468,538,2023-07-15,17:00,10:30,Oui,0,54,390,2023
7356,342,427,521,2025-05-13,10:30,17:00,Oui,0,28,390,2025
7357,332,418,518,2025-03-09,13:00,17:00,Oui,0,44,240,2025
7358,332,418,503,2023-03-03,17:00,19:00,Oui,0,110,120,2023
7359,314,453,525,2024-01-31,10:30,12:30,Oui,0,86,120,2024
7360,350,441,515,2025-03-09,10:30,12:30,Oui,0,87,120,2025
7361,344,427,507,2023-07-07,17:00,17:00,Non,0,18,0,2023
7362,346,425,526,2023-07-19,17:00,12:30,Non,20,37,270,2023
7363,341,431,534,2022-12-11,17:00,12:30,Oui,0,36,270,2022
7364,359,459,510,2023-05-07,08:30,10:30,Oui,5,38,120,2023
7365,322,429,515,2023-08-26,08:30,10:30,Oui,0,103,120,2023
7366,340,438,534,2024-10-30,15:00,10:30,Oui,5,20,270,2024
7367,347,468,502,2025-05-12,08:30,10:30,Oui,10,85,120,2025
7368,310,411,506,2024-04-28,15:00,10:30,Oui,0,51,270,2024
7369,339,408,504,2023-12-26,13:00,15:00,Oui,0,98,120,2023
7370,346,425,516,2023-02-22,08:30,17:00,Oui,15,50,510,2023
7371,309,403,527,2023-06-11,13:00,17:00,Oui,0,90,240,2023
7372,357,413,521,2023-03-20,10:30,10:30,Oui,0,73,0,2023
7373,359,459,526,2023-09-09,13:00,15:00,Oui,5,110,120,2023
7374,335,408,538,2024-10-16,08:30,15:00,Oui,0,17,390,2024
7375,342,427,503,2025-02-09,15:00,17:00,Oui,0,49,120,2025
