id_charge,id_etudiant,semaine,heures_cours,heures_devoirs,heures_projets,heures_temps_mort,charge_totale
15107,1424,2023-S05,10.6,8.4,3.7,3.5,26.2
15108,1424,2023-S06,23.1,6.5,4.7,2.7,37.0
15109,1424,2023-S07,13.5,8.0,1.1,3.5,26.1
15110,1424,2023-S08,16.2,4.3,5.8,2.6,28.9
15111,1424,2023-S09,13.4,6.8,4.1,4.4,28.7
15112,1424,2023-S10,14.7,5.4,5.7,3.3,29.1
15113,1424,2023-S11,19.4,8.1,3.9,4.8,36.2
15114,1424,2023-S12,11.3,2.1,4.1,3.1,20.6
15115,1424,2023-S13,18.7,3.7,5.3,2.3,30.0
15116,1424,2023-S14,22.2,4.0,5.7,2.5,34.4
15117,1424,2023-S15,11.9,7.8,4.0,4.4,28.1
15118,1424,2023-S16,21.2,3.5,4.4,1.5,30.6
15119,1424,2023-S17,20.5,2.7,2.2,4.8,30.2
15120,1424,2023-S18,10.2,5.2,2.6,1.8,19.8
15121,1424,2023-S19,12.6,6.8,5.8,4.7,29.9
15122,1424,2023-S20,24.5,2.6,1.5,3.2,31.8
15123,1424,2023-S21,15.7,9.1,4.8,4.9,34.5
15124,1424,2023-S22,15.1,10.0,2.9,4.3,32.3
15125,1424,2023-S23,21.6,8.6,5.6,4.2,40.0
15126,1424,2023-S24,19.1,3.2,4.1,4.1,30.5
15127,1424,2023-S25,23.9,6.8,3.8,2.7,37.2
15128,1424,2023-S26,10.3,6.2,1.0,2.8,20.3
15129,1424,2023-S27,13.0,3.3,1.2,1.1,18.6
15130,1424,2023-S28,17.9,8.2,3.7,4.4,34.2
15131,1424,2023-S29,19.9,9.3,1.4,3.8,34.4
15132,1424,2023-S30,14.0,5.7,1.6,4.5,25.8
15133,1424,2023-S31,10.3,4.9,3.8,3.1,22.1
15134,1424,2023-S32,19.9,3.8,4.8,3.5,32.0
15135,1424,2023-S33,10.1,9.0,4.7,1.6,25.4
15136,1424,2023-S34,23.2,8.5,2.2,2.7,36.6
15137,1715,2023-S01,16.5,8.1,1.1,4.9,30.6
15138,1715,2023-S02,23.6,3.2,5.9,3.2,35.9
15139,1715,2023-S03,19.5,3.7,3.7,1.3,28.2
15140,1715,2023-S04,22.7,8.5,1.5,1.4,34.1
15141,1715,2023-S05,15.4,2.8,5.6,4.9,28.7
15142,1715,2023-S06,22.8,6.8,5.0,2.2,36.8
15143,1715,2023-S07,17.2,2.2,5.7,3.6,28.7
15144,1715,2023-S08,20.5,6.7,4.4,4.8,36.4
15145,1715,2023-S09,22.5,5.2,5.5,3.7,36.9
15146,1715,2023-S10,13.6,9.8,1.3,4.8,29.5
15147,1715,2023-S11,15.0,2.6,4.6,4.2,26.4
15148,1715,2023-S12,20.6,4.2,1.7,1.9,28.4
15149,1715,2023-S13,14.9,8.5,1.8,1.3,26.5
15150,1715,2023-S14,23.3,5.9,4.5,3.6,37.3
15151,1715,2023-S15,15.2,5.9,2.9,1.6,25.6
15152,1715,2023-S16,13.4,3.0,4.9,4.6,25.9
15153,1715,2023-S17,15.6,6.7,2.4,2.2,26.9
15154,1715,2023-S18,23.2,4.1,2.1,3.0,32.4
15155,1715,2023-S19,23.8,8.3,4.3,2.1,38.5
15156,1715,2023-S20,18.7,8.8,6.0,1.0,34.5
15157,1715,2023-S21,24.8,5.2,3.2,3.0,36.2
15158,1715,2023-S22,24.2,8.3,4.6,1.9,39.0
15159,1715,2023-S23,10.5,5.9,3.3,1.6,21.3
15160,1715,2023-S24,23.3,4.5,2.9,2.0,32.7
15161,1715,2023-S25,13.6,3.7,1.6,4.3,23.2
15162,1715,2023-S26,11.5,3.7,3.6,3.2,22.0
15163,1715,2023-S27,11.5,3.1,2.6,2.8,20.0
15164,1715,2023-S28,17.8,3.4,4.4,4.7,30.3
15165,1715,2023-S29,13.5,9.9,5.4,4.7,33.5
15166,1715,2023-S30,15.1,5.4,2.1,4.9,27.5
15167,1715,2023-S31,12.1,3.0,5.1,4.6,24.8
15168,1715,2023-S32,12.0,5.3,1.4,1.5,20.2
15169,1715,2023-S33,19.5,9.6,1.7,4.6,35.4
15170,1715,2023-S34,15.4,8.6,4.9,4.0,32.9
15171,1480,2023-S01,16.8,2.1,4.8,1.4,25.1
15172,1480,2023-S02,19.6,4.9,1.6,2.0,28.1
15173,1480,2023-S03,14.5,3.0,3.7,1.9,23.1
15174,1480,2023-S04,19.3,8.7,5.7,4.5,38.2
15175,1480,2023-S05,20.5,6.5,2.2,1.4,30.6
15176,1480,2023-S06,19.1,4.1,3.2,3.1,29.5
15177,1480,2023-S07,21.5,3.2,5.2,3.7,33.6
15178,1480,2023-S08,21.0,5.8,4.7,2.4,33.9
15179,1480,2023-S09,19.4,2.8,5.1,2.7,30.0
15180,1480,2023-S10,24.3,7.7,3.1,1.6,36.7
15181,1480,2023-S11,17.4,8.4,4.4,4.7,34.9
15182,1480,2023-S12,24.8,4.6,4.5,2.8,36.7
15183,1480,2023-S13,16.4,8.3,3.8,4.7,33.2
15184,1480,2023-S14,15.5,7.4,4.2,1.2,28.3
15185,1480,2023-S15,18.3,3.3,5.2,2.8,29.6
15186,1480,2023-S16,14.5,6.9,4.8,5.0,31.2
15187,1480,2023-S17,18.2,4.7,2.5,2.3,27.7
15188,1480,2023-S18,15.7,4.4,5.1,3.7,28.9
15189,1480,2023-S19,25.0,2.3,1.5,3.0,31.8
15190,1480,2023-S20,15.8,4.0,5.6,4.5,29.9
15191,1480,2023-S21,24.6,7.9,3.6,1.9,38.0
15192,1480,2023-S22,11.9,4.1,5.4,1.2,22.6
15193,1480,2023-S23,14.3,8.0,2.1,4.5,28.9
15194,1480,2023-S24,12.4,7.2,4.2,4.9,28.7
15195,1480,2023-S25,22.1,8.6,1.7,4.2,36.6
15196,1480,2023-S26,16.8,6.4,5.4,4.2,32.8
15197,1480,2023-S27,10.7,7.8,1.2,1.2,20.9
15198,1480,2023-S28,12.9,2.4,5.0,2.9,23.2
15199,1480,2023-S29,22.6,7.8,4.2,1.5,36.1
15200,1480,2023-S30,11.3,4.9,2.0,2.0,20.2
15201,1480,2023-S31,18.1,2.5,3.9,2.4,26.9
15202,1480,2023-S32,15.1,9.4,3.1,1.6,29.2
15203,1480,2023-S33,11.8,3.0,2.9,1.3,19.0
15204,1480,2023-S34,18.0,4.3,4.7,1.2,28.2
15205,2151,2023-S01,15.8,9.1,2.9,3.8,31.6
15206,2151,2023-S02,16.5,7.1,5.0,4.9,33.5
15207,2151,2023-S03,20.0,9.8,4.6,2.3,36.7
15208,2151,2023-S04,16.0,2.7,6.0,2.3,27.0
15209,2151,2023-S05,23.0,9.3,5.2,2.9,40.4
15210,2151,2023-S06,14.1,8.3,1.3,2.2,25.9
15211,2151,2023-S07,15.4,3.9,3.2,4.8,27.3
15212,2151,2023-S08,21.3,5.9,1.3,1.1,29.6
15213,2151,2023-S09,18.5,4.7,5.6,1.2,30.0
15214,2151,2023-S10,19.6,3.6,2.7,2.9,28.8
15215,2151,2023-S11,13.6,3.7,5.3,1.5,24.1
15216,2151,2023-S12,12.9,4.6,2.5,3.6,23.6
15217,2151,2023-S13,12.9,9.5,2.1,1.2,25.7
15218,2151,2023-S14,15.9,2.0,3.5,2.7,24.1
15219,2151,2023-S15,11.9,8.4,4.1,1.1,25.5
15220,2151,2023-S16,13.7,3.9,3.0,4.3,24.9
15221,2151,2023-S17,10.7,2.7,5.2,3.6,22.2
15222,2151,2023-S18,16.5,5.6,4.0,2.1,28.2
15223,2151,2023-S19,15.8,5.5,1.2,2.3,24.8
15224,2151,2023-S20,21.4,7.9,3.9,2.1,35.3
15225,2151,2023-S21,24.7,9.8,2.3,3.8,40.6
15226,2151,2023-S22,11.0,7.2,1.4,3.5,23.1
15227,2151,2023-S23,12.8,6.5,4.0,3.2,26.5
15228,2151,2023-S24,12.3,7.2,1.7,2.3,23.5
15229,2151,2023-S25,23.8,5.6,2.5,4.1,36.0
15230,2151,2023-S26,19.3,4.1,2.7,3.5,29.6
15231,2151,2023-S27,22.7,6.2,5.8,1.2,35.9
15232,2151,2023-S28,15.8,3.9,2.2,1.1,23.0
15233,2151,2023-S29,19.7,7.7,2.9,4.9,35.2
15234,2151,2023-S30,23.7,6.5,1.6,4.7,36.5
15235,2151,2023-S31,23.0,4.0,2.0,2.3,31.3
15236,2151,2023-S32,21.9,6.3,2.3,1.9,32.4
15237,2151,2023-S33,12.7,8.1,2.3,2.1,25.2
15238,2151,2023-S34,15.6,6.1,3.0,3.3,28.0
15239,1800,2023-S01,14.1,9.3,5.0,4.5,32.9
15240,1800,2023-S02,19.5,5.3,1.6,4.9,31.3
15241,1800,2023-S03,19.2,4.9,3.3,3.6,31.0
15242,1800,2023-S04,10.3,5.9,5.1,2.0,23.3
15243,1800,2023-S05,11.4,7.2,5.4,4.9,28.9
15244,1800,2023-S06,10.4,2.1,4.7,3.2,20.4
15245,1800,2023-S07,24.7,3.1,3.2,1.2,32.2
15246,1800,2023-S08,10.5,7.6,3.7,1.7,23.5
15247,1800,2023-S09,12.2,9.3,3.9,3.8,29.2
15248,1800,2023-S10,11.0,5.8,6.0,3.0,25.8
15249,1800,2023-S11,19.1,8.5,1.2,4.1,32.9
15250,1800,2023-S12,10.3,7.4,1.1,4.4,23.2
15251,1800,2023-S13,20.2,8.0,4.1,4.7,37.0
15252,1800,2023-S14,21.3,5.4,5.0,2.8,34.5
15253,1800,2023-S15,19.8,7.5,3.0,1.1,31.4
15254,1800,2023-S16,16.1,5.2,1.7,2.7,25.7
15255,1800,2023-S17,12.0,5.3,3.9,1.3,22.5
15256,1800,2023-S18,22.7,2.5,5.0,4.5,34.7
15257,1800,2023-S19,17.5,7.0,1.9,4.6,31.0
15258,1800,2023-S20,21.8,8.5,2.4,4.7,37.4
15259,1800,2023-S21,22.2,9.4,4.3,3.0,38.9
15260,1800,2023-S22,15.8,5.9,2.7,1.5,25.9
15261,1800,2023-S23,16.3,6.2,4.0,4.6,31.1
15262,1800,2023-S24,18.1,7.1,2.3,2.5,30.0
15263,1800,2023-S25,23.6,7.5,5.8,4.3,41.2
15264,1800,2023-S26,21.2,7.2,5.7,2.8,36.9
15265,1800,2023-S27,22.2,6.9,3.2,2.1,34.4
15266,1800,2023-S28,11.6,2.9,1.9,1.2,17.6
15267,1800,2023-S29,24.6,6.2,5.7,3.0,39.5
15268,1800,2023-S30,11.0,10.0,5.8,3.5,30.3
15269,1800,2023-S31,20.8,3.3,4.2,4.1,32.4
15270,1800,2023-S32,13.2,8.2,6.0,2.2,29.6
15271,1800,2023-S33,13.8,2.2,3.6,3.9,23.5
15272,1800,2023-S34,12.4,4.7,5.5,1.5,24.1
15273,2084,2023-S01,24.4,7.3,3.7,2.4,37.8
15274,2084,2023-S02,12.0,9.4,2.1,4.8,28.3
15275,2084,2023-S03,14.7,3.5,2.1,1.3,21.6
15276,2084,2023-S04,23.1,4.5,5.1,3.3,36.0
15277,2084,2023-S05,16.8,7.8,5.1,2.0,31.7
15278,2084,2023-S06,19.4,7.0,3.9,3.1,33.4
15279,2084,2023-S07,17.7,7.3,2.1,4.2,31.3
15280,2084,2023-S08,20.7,3.4,2.9,1.1,28.1
15281,2084,2023-S09,22.4,6.7,5.4,2.2,36.7
15282,2084,2023-S10,21.4,3.3,3.6,2.4,30.7
15283,2084,2023-S11,19.7,9.4,5.2,3.7,38.0
15284,2084,2023-S12,18.5,6.3,4.5,4.7,34.0
15285,2084,2023-S13,14.1,2.6,3.2,3.3,23.2
15286,2084,2023-S14,11.2,9.7,3.6,2.7,27.2
15287,2084,2023-S15,14.2,5.5,1.0,1.0,21.7
15288,2084,2023-S16,12.5,8.7,1.5,3.2,25.9
15289,2084,2023-S17,17.3,9.1,3.1,4.3,33.8
15290,2084,2023-S18,21.2,6.4,1.7,3.3,32.6
15291,2084,2023-S19,22.2,2.4,1.6,1.7,27.9
15292,2084,2023-S20,17.6,2.2,4.9,3.2,27.9
15293,2084,2023-S21,10.5,9.1,2.2,1.7,23.5
15294,2084,2023-S22,17.8,8.5,3.3,2.5,32.1
15295,2084,2023-S23,19.7,7.8,3.3,1.6,32.4
15296,2084,2023-S24,17.6,8.6,4.1,1.1,31.4
15297,2084,2023-S25,16.3,9.2,4.2,3.7,33.4
15298,2084,2023-S26,16.4,9.1,2.2,4.9,32.6
15299,2084,2023-S27,23.9,2.4,1.8,3.7,31.8
15300,2084,2023-S28,17.4,5.3,3.3,4.2,30.2
15301,2084,2023-S29,16.7,3.9,4.1,3.3,28.0
15302,2084,2023-S30,15.0,9.0,4.4,3.8,32.2
15303,2084,2023-S31,19.4,5.4,5.2,3.2,33.2
15304,2084,2023-S32,18.9,2.9,2.4,3.9,28.1
15305,2084,2023-S33,12.6,9.0,3.5,3.3,28.4
15306,2084,2023-S34,18.5,3.9,5.7,4.5,32.6
15307,1295,2023-S01,20.1,4.2,1.7,4.6,30.6
15308,1295,2023-S02,14.0,8.4,3.8,2.9,29.1
15309,1295,2023-S03,19.4,5.3,3.1,1.5,29.3
15310,1295,2023-S04,18.0,5.7,4.7,1.4,29.8
15311,1295,2023-S05,10.3,6.6,1.3,4.4,22.6
15312,1295,2023-S06,17.1,5.5,5.6,2.7,30.9
15313,1295,2023-S07,14.8,7.3,5.0,4.6,31.7
15314,1295,2023-S08,19.1,9.9,2.7,1.7,33.4
15315,1295,2023-S09,10.6,4.1,4.3,3.2,22.2
15316,1295,2023-S10,22.2,2.6,2.9,3.0,30.7
15317,1295,2023-S11,20.2,8.9,5.7,4.7,39.5
15318,1295,2023-S12,19.8,3.8,3.4,4.2,31.2
15319,1295,2023-S13,12.6,8.7,5.0,1.1,27.4
15320,1295,2023-S14,24.1,4.8,4.5,1.5,34.9
15321,1295,2023-S15,21.6,7.6,1.4,4.7,35.3
15322,1295,2023-S16,10.5,6.8,4.0,1.7,23.0
15323,1295,2023-S17,22.9,6.2,5.9,4.3,39.3
15324,1295,2023-S18,17.8,9.6,1.5,3.7,32.6
15325,1295,2023-S19,11.5,3.5,2.6,3.1,20.7
15326,1295,2023-S20,16.8,8.9,1.4,4.6,31.7
15327,1295,2023-S21,11.4,2.5,4.4,3.9,22.2
15328,1295,2023-S22,22.6,6.6,3.6,3.4,36.2
15329,1295,2023-S23,19.1,9.4,2.1,3.6,34.2
15330,1295,2023-S24,14.8,4.6,2.4,2.6,24.4
15331,1295,2023-S25,23.9,7.0,2.9,4.3,38.1
15332,1295,2023-S26,23.4,7.8,1.2,1.8,34.2
15333,1295,2023-S27,16.7,5.1,3.3,4.5,29.6
15334,1295,2023-S28,24.6,4.8,5.7,4.3,39.4
15335,1295,2023-S29,17.8,4.6,4.5,4.3,31.2
15336,1295,2023-S30,20.6,9.5,4.9,3.0,38.0
15337,1295,2023-S31,23.1,3.8,4.9,3.1,34.9
15338,1295,2023-S32,16.2,4.3,5.2,2.2,27.9
15339,1295,2023-S33,14.0,8.2,2.8,2.5,27.5
15340,1295,2023-S34,15.3,3.8,1.3,1.2,21.6
15341,2026,2023-S01,12.0,5.3,3.1,3.2,23.6
15342,2026,2023-S02,20.6,4.5,5.7,2.9,33.7
15343,2026,2023-S03,16.7,2.6,3.6,4.9,27.8
15344,2026,2023-S04,12.6,5.0,1.7,1.4,20.7
15345,2026,2023-S05,16.1,3.6,4.0,3.0,26.7
15346,2026,2023-S06,13.8,5.6,1.0,3.7,24.1
15347,2026,2023-S07,20.8,4.7,4.2,4.3,34.0
15348,2026,2023-S08,16.3,8.9,2.4,3.3,30.9
15349,2026,2023-S09,12.6,8.4,2.8,2.3,26.1
15350,2026,2023-S10,21.7,9.0,1.9,4.2,36.8
15351,2026,2023-S11,22.9,3.2,1.1,4.4,31.6
15352,2026,2023-S12,12.8,9.8,4.7,4.6,31.9
15353,2026,2023-S13,20.8,3.1,5.4,4.0,33.3
15354,2026,2023-S14,14.2,6.9,1.5,4.0,26.6
15355,2026,2023-S15,14.7,2.3,1.2,4.4,22.6
15356,2026,2023-S16,20.1,6.6,1.6,3.7,32.0
15357,2026,2023-S17,20.1,6.7,1.3,3.3,31.4
15358,2026,2023-S18,10.6,5.5,3.4,3.9,23.4
15359,2026,2023-S19,19.4,9.3,3.8,4.7,37.2
15360,2026,2023-S20,13.0,4.4,2.9,1.4,21.7
15361,2026,2023-S21,10.1,7.7,5.4,4.4,27.6
15362,2026,2023-S22,16.8,7.5,1.9,2.2,28.4
15363,2026,2023-S23,11.0,8.0,3.9,3.4,26.3
15364,2026,2023-S24,21.9,7.8,4.2,4.1,38.0
15365,2026,2023-S25,16.9,3.1,5.8,2.1,27.9
15366,2026,2023-S26,23.7,5.5,2.0,1.0,32.2
15367,2026,2023-S27,23.4,3.2,5.7,3.9,36.2
15368,2026,2023-S28,17.3,6.4,1.4,3.3,28.4
15369,2026,2023-S29,20.2,3.1,4.0,1.1,28.4
15370,2026,2023-S30,22.1,5.2,3.6,2.0,32.9
15371,2026,2023-S31,22.7,4.3,3.7,4.8,35.5
15372,2026,2023-S32,14.5,7.3,5.7,1.8,29.3
15373,2026,2023-S33,24.7,6.1,4.6,1.8,37.2
15374,2026,2023-S34,11.3,9.0,2.8,3.9,27.0
15375,1135,2023-S01,12.7,6.5,3.3,2.3,24.8
15376,1135,2023-S02,21.9,9.3,2.6,1.9,35.7
15377,1135,2023-S03,13.1,9.3,1.6,4.0,28.0
15378,1135,2023-S04,24.0,2.6,3.1,1.7,31.4
15379,1135,2023-S05,23.2,9.8,4.6,3.5,41.1
15380,1135,2023-S06,10.5,4.3,3.2,4.4,22.4
15381,1135,2023-S07,24.6,5.1,5.6,2.8,38.1
15382,1135,2023-S08,14.5,5.8,2.4,4.1,26.8
15383,1135,2023-S09,23.9,8.6,4.8,1.4,38.7
15384,1135,2023-S10,17.2,7.0,3.4,4.1,31.7
15385,1135,2023-S11,17.3,6.8,1.1,4.2,29.4
15386,1135,2023-S12,18.4,4.5,4.5,1.6,29.0
15387,1135,2023-S13,16.8,2.8,2.8,4.6,27.0
15388,1135,2023-S14,17.4,7.6,3.3,3.9,32.2
15389,1135,2023-S15,13.1,8.1,1.4,5.0,27.6
15390,1135,2023-S16,13.6,2.3,1.3,4.5,21.7
15391,1135,2023-S17,16.0,4.0,1.8,1.7,23.5
15392,1135,2023-S18,15.8,7.1,5.9,3.6,32.4
15393,1135,2023-S19,20.7,9.5,5.0,2.8,38.0
15394,1135,2023-S20,19.3,8.9,5.0,4.2,37.4
15395,1135,2023-S21,13.2,5.8,6.0,2.6,27.6
15396,1135,2023-S22,22.0,8.2,4.5,2.8,37.5
15397,1135,2023-S23,11.6,5.5,5.8,2.7,25.6
15398,1135,2023-S24,24.6,5.5,1.3,1.7,33.1
15399,1135,2023-S25,15.7,2.8,2.4,2.7,23.6
15400,1135,2023-S26,18.2,5.3,4.4,3.3,31.2
15401,1135,2023-S27,10.6,5.6,5.7,5.0,26.9
15402,1135,2023-S28,23.7,10.0,1.7,1.3,36.7
15403,1135,2023-S29,20.9,3.1,5.1,1.5,30.6
15404,1135,2023-S30,19.3,5.6,4.3,1.1,30.3
15405,1135,2023-S31,22.7,8.0,3.3,1.4,35.4
15406,1135,2023-S32,16.4,3.6,2.3,3.3,25.6
15407,1135,2023-S33,12.2,8.7,1.7,3.0,25.6
15408,1135,2023-S34,16.2,2.7,3.2,4.4,26.5
15409,1660,2023-S01,10.1,4.4,2.7,4.9,22.1
15410,1660,2023-S02,11.7,2.1,1.5,3.9,19.2
15411,1660,2023-S03,17.7,5.8,2.2,1.1,26.8
15412,1660,2023-S04,14.1,6.9,5.3,4.3,30.6
15413,1660,2023-S05,16.8,2.8,4.5,2.5,26.6
15414,1660,2023-S06,19.7,9.7,4.7,1.5,35.6
15415,1660,2023-S07,24.2,9.8,3.5,4.2,41.7
15416,1660,2023-S08,24.6,3.2,2.8,3.0,33.6
15417,1660,2023-S09,13.2,9.9,4.4,1.3,28.8
15418,1660,2023-S10,17.4,7.8,3.9,2.7,31.8
15419,1660,2023-S11,16.3,8.6,1.8,2.3,29.0
15420,1660,2023-S12,11.2,7.8,4.5,2.6,26.1
15421,1660,2023-S13,24.9,6.7,1.3,1.5,34.4
15422,1660,2023-S14,20.7,5.8,2.6,3.6,32.7
15423,1660,2023-S15,15.3,6.9,5.0,3.8,31.0
15424,1660,2023-S16,24.6,5.4,4.1,2.9,37.0
15425,1660,2023-S17,24.1,3.3,4.8,4.3,36.5
15426,1660,2023-S18,24.9,3.3,4.3,4.1,36.6
15427,1660,2023-S19,16.6,2.2,2.3,1.5,22.6
15428,1660,2023-S20,13.0,7.3,3.4,3.5,27.2
15429,1660,2023-S21,14.0,4.3,6.0,2.8,27.1
15430,1660,2023-S22,20.5,9.2,3.0,4.1,36.8
15431,1660,2023-S23,17.3,5.5,3.4,3.9,30.1
15432,1660,2023-S24,20.5,6.2,1.1,2.3,30.1
15433,1660,2023-S25,13.8,9.8,2.1,3.8,29.5
15434,1660,2023-S26,16.0,5.1,4.9,3.9,29.9
