id_aide,id_etudiant,type_aide,date_demande,date_traitement,statut,montant_mad
18063,1244,Aide logement,2021-12-24,2022-01-01,Accordée,2440
18064,2004,Aide logement,2021-09-23,2021-10-13,Accordée,2232
18065,1443,Aide logement,2025-02-23,2025-03-14,Accordée,4601
18066,2169,Soutien scolaire,2022-09-20,2022-10-10,Accordée,3900
18067,1230,Soutien scolaire,2024-03-05,2024-03-20,Accordée,4808
18068,1166,Aide logement,2024-11-13,2024-11-25,Refusée,1665
18069,1464,Aide alimentaire,2021-10-05,2021-10-14,Accordée,1056
18070,2045,Bourse urgence,2023-02-21,2023-03-04,Accordée,4204
18071,1542,Aide alimentaire,2024-05-28,2024-06-10,Accordée,2774
18072,1738,Soutien scolaire,2022-03-30,2022-04-12,Accordée,1849
18073,1309,Soutien scolaire,2024-09-15,2024-09-24,Refusée,2565
18074,1048,Aide logement,2022-09-13,2022-09-19,Accordée,2462
18075,1411,Aide logement,2024-12-15,2024-12-23,Refusée,1698
18076,1656,Bourse urgence,2024-08-08,2024-08-20,Accordée,2863
18077,1024,Soutien scolaire,2021-12-30,2022-01-02,En cours,2275
18078,2077,Soutien scolaire,2021-09-27,2021-10-12,Accordée,4907
18079,1064,Aide alimentaire,2023-03-03,2023-03-23,Accordée,1467
18080,1108,Bourse urgence,2022-11-16,2022-11-24,Accordée,2609
18081,2067,Aide logement,2022-12-18,2022-12-25,Accordée,3012
18082,1365,Aide logement,2025-01-13,2025-01-31,Refusée,611
18083,1820,Soutien scolaire,2022-06-19,2022-06-27,Accordée,801
18084,1723,Soutien scolaire,2022-08-10,2022-08-15,Accordée,4101
18085,2006,Aide alimentaire,2024-03-15,2024-03-21,Accordée,4791
18086,1493,Soutien scolaire,2023-07-06,2023-07-16,En cours,3240
18087,1784,Bourse urgence,2024-09-08,2024-09-18,Accordée,2267
18088,1576,Aide alimentaire,2024-08-14,2024-08-30,Accordée,2911
18089,2198,Aide alimentaire,2022-07-25,2022-08-03,Accordée,2353
18090,1689,Soutien scolaire,2022-01-30,2022-02-05,En cours,2642
18091,1022,Bourse urgence,2022-10-31,2022-11-09,Refusée,627
18092,1777,Aide logement,2023-09-24,2023-10-05,Refusée,867
18093,1828,Soutien scolaire,2024-10-08,2024-10-20,Refusée,2845
18094,1929,Aide logement,2024-09-23,2024-10-13,Accordée,3816
18095,1200,Aide alimentaire,2022-09-29,2022-10-02,Accordée,3856
18096,1178,Aide logement,2022-05-24,2022-06-11,Accordée,1578
18097,1317,Bourse urgence,2025-03-28,2025-04-17,Accordée,4799
18098,1205,Soutien scolaire,2023-12-20,2023-12-28,Accordée,1139
18099,1592,Soutien scolaire,2024-04-18,2024-04-28,Accordée,4897
18100,1032,Aide alimentaire,2022-01-10,2022-01-14,Accordée,4415
18101,1229,Soutien scolaire,2024-08-02,2024-08-08,Refusée,786
18102,1879,Aide alimentaire,2023-01-25,2023-02-14,Accordée,2972
18103,1980,Bourse urgence,2023-09-27,2023-10-03,Refusée,2177
18104,1835,Soutien scolaire,2025-01-21,2025-01-27,Accordée,3062
18105,1327,Soutien scolaire,2023-08-15,2023-08-25,Refusée,4335
18106,1340,Soutien scolaire,2021-09-20,2021-10-06,Accordée,3265
18107,1419,Aide alimentaire,2021-12-04,2021-12-21,Accordée,3740
18108,2153,Soutien scolaire,2022-11-03,2022-11-19,En cours,2229
18109,1043,Bourse urgence,2024-11-23,2024-12-02,Refusée,2555
18110,1138,Aide alimentaire,2023-04-01,2023-04-21,Accordée,4072
18111,1147,Soutien scolaire,2024-12-15,2024-12-29,En cours,3505
18112,1995,Aide alimentaire,2023-10-15,2023-10-28,Accordée,708
18113,1359,Aide alimentaire,2024-08-28,2024-08-31,En cours,4290
18114,2012,Aide alimentaire,2023-03-16,2023-03-19,Accordée,928
18115,1540,Bourse urgence,2022-05-26,2022-06-12,Refusée,1758
18116,2087,Aide alimentaire,2024-07-11,2024-07-22,Accordée,945
18117,1437,Aide alimentaire,2024-09-25,2024-10-09,En cours,2387
18118,1064,Soutien scolaire,2022-06-29,2022-07-04,Accordée,4123
18119,1038,Bourse urgence,2024-12-18,2024-12-29,Accordée,3691
18120,1567,Aide alimentaire,2022-12-02,2022-12-19,Accordée,1279
18121,1102,Aide logement,2022-08-21,2022-09-10,Refusée,3588
18122,1053,Bourse urgence,2025-02-11,2025-02-25,Refusée,4077
18123,1950,Aide logement,2022-02-01,2022-02-21,Accordée,4812
18124,2034,Soutien scolaire,2024-12-28,2025-01-04,Refusée,1073
18125,2099,Soutien scolaire,2023-12-14,2024-01-01,Accordée,1601
18126,1489,Aide logement,2023-03-17,2023-03-22,Accordée,3960
18127,1510,Aide logement,2022-08-01,2022-08-20,Accordée,3947
18128,1127,Aide alimentaire,2022-09-10,2022-09-14,Refusée,815
18129,1821,Aide logement,2023-11-17,2023-11-23,En cours,2133
18130,1539,Soutien scolaire,2024-04-06,2024-04-23,Accordée,4851
18131,1498,Aide logement,2022-07-24,2022-08-02,Accordée,4936
18132,1805,Soutien scolaire,2024-01-30,2024-02-11,Accordée,2472
18133,1597,Soutien scolaire,2024-08-12,2024-08-25,Accordée,4094
18134,1446,Aide alimentaire,2021-09-16,2021-09-30,Refusée,586
18135,2035,Bourse urgence,2023-10-25,2023-10-31,Refusée,1943
18136,1918,Soutien scolaire,2022-06-03,2022-06-17,Accordée,670
18137,1069,Aide alimentaire,2023-11-14,2023-11-18,Accordée,2545
18138,2027,Aide logement,2023-09-11,2023-09-27,En cours,3237
18139,1849,Aide alimentaire,2022-10-19,2022-10-26,Refusée,4176
18140,1252,Aide logement,2022-08-21,2022-09-03,Accordée,3614
18141,1483,Aide logement,2023-10-12,2023-10-21,Accordée,4411
18142,2192,Soutien scolaire,2025-01-08,2025-01-13,Accordée,1282
18143,1452,Bourse urgence,2023-12-27,2024-01-12,Accordée,1029
18144,1912,Soutien scolaire,2022-12-02,2022-12-06,En cours,2284
18145,2035,Soutien scolaire,2025-02-08,2025-02-28,En cours,3775
18146,1165,Soutien scolaire,2025-04-05,2025-04-10,En cours,2352
18147,2199,Aide alimentaire,2023-10-28,2023-11-08,Accordée,3424
18148,1676,Aide logement,2021-12-22,2022-01-06,Accordée,2693
18149,1541,Aide alimentaire,2022-08-04,2022-08-21,Accordée,4148
18150,1072,Soutien scolaire,2022-05-28,2022-06-16,Refusée,4558
18151,1947,Bourse urgence,2022-09-01,2022-09-18,En cours,4692
18152,1394,Soutien scolaire,2022-01-08,2022-01-21,Refusée,4463
18153,1626,Soutien scolaire,2023-11-28,2023-12-15,Refusée,3858
18154,1540,Aide alimentaire,2022-04-19,2022-05-05,Accordée,1744
18155,2177,Aide alimentaire,2024-08-26,2024-09-10,Accordée,875
18156,1645,Bourse urgence,2024-04-02,2024-04-21,Accordée,2808
18157,1027,Bourse urgence,2024-05-05,2024-05-12,Refusée,2159
18158,2139,Aide alimentaire,2024-08-17,2024-09-06,En cours,999
18159,1093,Aide alimentaire,2023-11-17,2023-11-30,En cours,4604
18160,1537,Aide logement,2022-12-27,2023-01-01,En cours,4328
18161,1003,Aide alimentaire,2022-04-23,2022-05-01,Accordée,650
18162,2153,Aide alimentaire,2022-12-03,2022-12-08,Accordée,2351
18163,2175,Aide alimentaire,2025-03-18,2025-03-25,Accordée,4636
18164,1388,Soutien scolaire,2025-02-04,2025-02-07,Refusée,3837
18165,1998,Aide alimentaire,2025-01-05,2025-01-21,En cours,1601
18166,2157,Aide alimentaire,2022-07-02,2022-07-12,Accordée,3492
18167,1025,Aide alimentaire,2021-12-16,2021-12-25,Accordée,1266
18168,1334,Bourse urgence,2023-06-24,2023-07-01,Accordée,1704
18169,1798,Aide alimentaire,2021-11-23,2021-11-30,Refusée,1718
18170,1622,Soutien scolaire,2024-05-17,2024-05-21,En cours,597
18171,2049,Aide alimentaire,2023-03-05,2023-03-16,Accordée,2540
18172,1052,Aide alimentaire,2024-02-07,2024-02-10,Refusée,4390
18173,1950,Soutien scolaire,2022-08-25,2022-08-28,Accordée,4223
18174,1646,Bourse urgence,2023-03-04,2023-03-24,En cours,1339
18175,1348,Soutien scolaire,2025-03-26,2025-04-02,Accordée,2557
18176,2006,Aide alimentaire,2022-08-05,2022-08-18,Refusée,1462
18177,1388,Soutien scolaire,2024-08-12,2024-08-24,Accordée,1923
18178,1546,Bourse urgence,2024-02-27,2024-03-03,Refusée,3861
18179,2111,Aide logement,2023-10-28,2023-11-01,En cours,4613
18180,1705,Soutien scolaire,2024-09-03,2024-09-15,En cours,1392
18181,1020,Soutien scolaire,2025-04-20,2025-05-03,Accordée,4804
18182,1241,Aide alimentaire,2022-12-09,2022-12-20,Accordée,2833
18183,1363,Soutien scolaire,2024-08-25,2024-08-29,En cours,2257
18184,1624,Aide logement,2023-06-10,2023-06-27,Accordée,1570
18185,1674,Aide logement,2024-10-18,2024-10-24,Accordée,1478
18186,1478,Soutien scolaire,2022-06-05,2022-06-20,Accordée,4715
18187,1854,Aide alimentaire,2022-01-26,2022-02-09,Accordée,1320
18188,2131,Bourse urgence,2021-11-05,2021-11-22,Accordée,1478
18189,1537,Aide logement,2022-09-29,2022-10-12,Accordée,1152
18190,1516,Aide logement,2021-10-01,2021-10-08,Accordée,1761
18191,1726,Aide alimentaire,2021-12-31,2022-01-16,Accordée,3572
18192,2062,Bourse urgence,2022-10-19,2022-11-05,En cours,3956
18193,1510,Bourse urgence,2022-04-21,2022-05-11,Accordée,3966
18194,1468,Aide logement,2023-10-26,2023-11-07,Accordée,3729
18195,1351,Aide alimentaire,2021-10-20,2021-10-23,En cours,3680
18196,1934,Soutien scolaire,2024-02-07,2024-02-21,Accordée,962
18197,1004,Aide logement,2024-05-05,2024-05-23,Accordée,629
18198,1990,Aide alimentaire,2022-07-25,2022-07-28,Accordée,3968
18199,2064,Aide alimentaire,2022-12-21,2022-12-25,Refusée,744
18200,1447,Bourse urgence,2021-11-17,2021-11-22,Accordée,992
18201,1101,Bourse urgence,2024-10-20,2024-10-28,Accordée,4184
18202,1231,Bourse urgence,2022-08-11,2022-08-20,Accordée,4335
18203,2086,Soutien scolaire,2024-09-18,2024-10-07,Refusée,973
18204,1595,Bourse urgence,2022-04-23,2022-05-10,Refusée,2767
18205,1872,Aide logement,2022-07-26,2022-08-07,Accordée,4893
18206,1807,Aide alimentaire,2022-02-08,2022-02-20,Accordée,4394
18207,1728,Aide logement,2024-12-31,2025-01-14,Refusée,4623
18208,1988,Bourse urgence,2024-07-11,2024-07-29,En cours,4780
18209,1650,Aide logement,2022-03-02,2022-03-10,Refusée,4878
18210,1106,Aide logement,2022-08-25,2022-09-14,Accordée,3479
18211,2066,Aide alimentaire,2022-06-11,2022-06-29,Accordée,782
18212,2086,Soutien scolaire,2023-10-08,2023-10-21,Accordée,1904
18213,1830,Aide alimentaire,2025-02-01,2025-02-09,Accordée,1695
18214,1597,Soutien scolaire,2022-07-06,2022-07-21,Accordée,761
18215,1372,Aide logement,2024-05-21,2024-06-09,Accordée,1701
18216,1049,Bourse urgence,2022-09-12,2022-09-15,En cours,979
18217,1459,Bourse urgence,2023-04-21,2023-04-25,Refusée,4834
18218,1125,Soutien scolaire,2024-02-06,2024-02-09,Accordée,3818
18219,1093,Aide logement,2024-03-29,2024-04-08,En cours,550
18220,1224,Aide alimentaire,2023-03-14,2023-03-28,Accordée,641
18221,1760,Aide logement,2021-09-28,2021-10-06,Accordée,1422
18222,2024,Aide logement,2023-08-18,2023-08-23,Accordée,2102
18223,1252,Aide alimentaire,2024-10-01,2024-10-12,Refusée,4791
18224,2053,Bourse urgence,2024-09-15,2024-09-29,En cours,877
18225,1905,Aide alimentaire,2023-03-27,2023-03-30,Refusée,1966
18226,2188,Bourse urgence,2024-04-08,2024-04-22,Accordée,3464
18227,2013,Aide alimentaire,2023-07-18,2023-08-07,Accordée,3722
18228,2127,Aide logement,2023-11-02,2023-11-08,Refusée,2848
18229,1868,Aide alimentaire,2022-03-29,2022-04-18,Refusée,1342
18230,1408,Soutien scolaire,2022-04-24,2022-05-01,Refusée,1672
18231,1598,Bourse urgence,2025-03-20,2025-03-25,Accordée,2584
18232,1408,Aide logement,2025-03-04,2025-03-14,Refusée,1183
18233,1626,Aide logement,2023-09-09,2023-09-12,Accordée,2008
18234,1549,Soutien scolaire,2023-06-18,2023-06-28,Accordée,3587
18235,2135,Aide alimentaire,2022-02-25,2022-03-14,Accordée,593
18236,1285,Soutien scolaire,2023-11-10,2023-11-30,Refusée,4273
18237,1088,Aide logement,2022-03-14,2022-03-26,En cours,4394
18238,1078,Soutien scolaire,2024-01-06,2024-01-24,Refusée,3206
18239,2080,Soutien scolaire,2024-12-09,2024-12-17,En cours,2843
18240,1597,Aide alimentaire,2024-06-17,2024-06-27,Accordée,1391
18241,2132,Aide logement,2025-02-19,2025-02-26,En cours,1941
18242,2049,Bourse urgence,2024-10-13,2024-10-25,Accordée,3067
18243,1332,Aide logement,2023-11-25,2023-12-03,En cours,2095
18244,2141,Bourse urgence,2023-06-21,2023-07-01,Accordée,3668
18245,1453,Aide logement,2023-07-03,2023-07-12,Accordée,791
18246,1152,Aide alimentaire,2022-10-04,2022-10-18,En cours,4312
18247,1620,Aide logement,2022-01-15,2022-02-02,Accordée,4897
18248,1922,Aide logement,2022-02-03,2022-02-13,Refusée,3965
18249,1380,Soutien scolaire,2022-01-09,2022-01-16,Accordée,854
18250,1917,Aide alimentaire,2024-12-17,2024-12-23,Accordée,1843
