id_note,id_etudiant,id_module,annee_universitaire,note,mention,session,resultat,admis_bool
5042,1166,302,2021-2022,14.62,Bien,Normale,Admis,1
5043,2073,317,2023-2024,11.5,Passable,Normale,Admis,1
5044,1211,322,2023-2024,14.26,Bien,Rattrapage,Admis,1
5045,1984,354,2022-2023,13.73,Assez Bien,Normale,Admis,1
5046,1858,328,2022-2023,9.54,Insuffisant,Normale,Échec,0
5047,1001,342,2022-2023,11.37,Passable,Normale,Admis,1
5048,1157,335,2024-2025,16.59,Très Bien,Normale,Admis,1
5049,1866,302,2020-2021,13.05,Assez Bien,Normale,Admis,1
5050,1788,332,2022-2023,13.16,Assez Bien,Normale,Admis,1
5051,1535,337,2021-2022,14.97,Bien,Normale,Admis,1
5052,1419,319,2021-2022,9.44,Insuffisant,Normale,Échec,0
5053,1754,340,2023-2024,18.45,Très Bien,Normale,Admis,1
5054,2179,334,2022-2023,10.96,Passable,Normale,Admis,1
5055,1039,357,2022-2023,7.97,Insuffisant,Normale,Échec,0
5056,1664,349,2020-2021,12.76,Assez Bien,Rattrapage,Admis,1
5057,1687,351,2023-2024,12.58,Assez Bien,Normale,Admis,1
5058,1837,355,2024-2025,18.39,Très Bien,Normale,Admis,1
5059,1470,332,2022-2023,12.55,Assez Bien,Normale,Admis,1
5060,1637,303,2021-2022,12.41,Assez Bien,Normale,Admis,1
5061,1542,358,2021-2022,10.51,Passable,Normale,Admis,1
5062,2149,328,2020-2021,11.57,Passable,Rattrapage,Admis,1
5063,1966,354,2024-2025,17.93,Très Bien,Normale,Admis,1
5064,1344,358,2022-2023,11.52,Passable,Rattrapage,Admis,1
5065,1913,308,2022-2023,13.92,Assez Bien,Normale,Admis,1
5066,1069,355,2021-2022,10.33,Passable,Normale,Admis,1
5067,1677,304,2021-2022,17.33,Très Bien,Normale,Admis,1
5068,2104,321,2023-2024,11.45,Passable,Normale,Admis,1
5069,1877,348,2021-2022,12.41,Assez Bien,Normale,Admis,1
5070,1771,356,2022-2023,12.52,Assez Bien,Normale,Admis,1
5071,2054,351,2020-2021,14.6,Bien,Rattrapage,Admis,1
5072,1843,349,2021-2022,12.91,Assez Bien,Normale,Admis,1
5073,2060,342,2022-2023,11.18,Passable,Rattrapage,Admis,1
5074,2174,316,2023-2024,19.1,Très Bien,Normale,Admis,1
5075,2146,356,2020-2021,12.58,Assez Bien,Normale,Admis,1
5076,1790,313,2022-2023,20.0,Très Bien,Normale,Admis,1
5077,2049,323,2021-2022,9.34,Insuffisant,Normale,Échec,0
5078,1039,347,2020-2021,8.24,Insuffisant,Rattrapage,Échec,0
5079,1045,350,2020-2021,11.38,Passable,Normale,Admis,1
5080,1290,329,2024-2025,11.56,Passable,Normale,Admis,1
5081,2184,325,2024-2025,8.48,Insuffisant,Rattrapage,Échec,0
5082,1683,306,2024-2025,8.11,Insuffisant,Rattrapage,Échec,0
5083,1427,301,2022-2023,12.55,Assez Bien,Normale,Admis,1
5084,2032,356,2022-2023,14.24,Bien,Normale,Admis,1
5085,1302,359,2023-2024,12.07,Assez Bien,Normale,Admis,1
5086,1942,323,2024-2025,13.15,Assez Bien,Normale,Admis,1
5087,1771,349,2023-2024,15.06,Bien,Rattrapage,Admis,1
5088,1100,358,2021-2022,9.43,Insuffisant,Normale,Échec,0
5089,1794,321,2023-2024,15.52,Bien,Rattrapage,Admis,1
5090,1301,304,2021-2022,12.66,Assez Bien,Rattrapage,Admis,1
5091,1866,314,2022-2023,11.48,Passable,Normale,Admis,1
5092,1623,344,2022-2023,14.72,Bien,Rattrapage,Admis,1
5093,1433,341,2024-2025,9.55,Insuffisant,Normale,Échec,0
5094,1529,326,2024-2025,17.64,Très Bien,Normale,Admis,1
5095,1774,348,2021-2022,7.38,Insuffisant,Normale,Échec,0
5096,1477,307,2024-2025,14.06,Bien,Rattrapage,Admis,1
5097,1148,344,2021-2022,14.89,Bien,Normale,Admis,1
5098,1402,315,2022-2023,16.65,Très Bien,Normale,Admis,1
5099,1901,344,2023-2024,14.63,Bien,Normale,Admis,1
5100,1182,331,2020-2021,18.4,Très Bien,Rattrapage,Admis,1
5101,1919,357,2021-2022,19.96,Très Bien,Normale,Admis,1
5102,1255,357,2023-2024,17.9,Très Bien,Rattrapage,Admis,1
5103,1618,318,2022-2023,13.63,Assez Bien,Normale,Admis,1
5104,1945,330,2023-2024,14.56,Bien,Normale,Admis,1
5105,1355,344,2023-2024,8.49,Insuffisant,Normale,Échec,0
5106,1279,325,2021-2022,12.16,Assez Bien,Normale,Admis,1
5107,1804,329,2024-2025,13.74,Assez Bien,Normale,Admis,1
5108,1642,345,2020-2021,11.97,Passable,Normale,Admis,1
5109,2044,340,2024-2025,12.2,Assez Bien,Rattrapage,Admis,1
5110,2001,353,2023-2024,12.61,Assez Bien,Normale,Admis,1
5111,1543,351,2023-2024,6.84,Insuffisant,Normale,Échec,0
5112,1767,340,2022-2023,12.62,Assez Bien,Normale,Admis,1
5113,1588,342,2021-2022,11.19,Passable,Normale,Admis,1
5114,1585,354,2024-2025,12.96,Assez Bien,Normale,Admis,1
5115,1685,309,2024-2025,10.97,Passable,Normale,Admis,1
5116,1726,355,2021-2022,10.43,Passable,Rattrapage,Admis,1
5117,1914,348,2023-2024,14.29,Bien,Normale,Admis,1
5118,1520,357,2020-2021,13.29,Assez Bien,Rattrapage,Admis,1
5119,1492,331,2023-2024,11.95,Passable,Normale,Admis,1
5120,1954,327,2024-2025,16.34,Très Bien,Normale,Admis,1
5121,1974,319,2020-2021,8.68,Insuffisant,Normale,Échec,0
5122,1544,356,2021-2022,9.42,Insuffisant,Rattrapage,Échec,0
5123,1047,356,2023-2024,5.28,Insuffisant,Normale,Échec,0
5124,1863,330,2022-2023,14.0,Bien,Normale,Admis,1
5125,1165,320,2024-2025,13.43,Assez Bien,Rattrapage,Admis,1
5126,1912,323,2021-2022,11.09,Passable,Normale,Admis,1
5127,1611,306,2020-2021,6.36,Insuffisant,Normale,Échec,0
5128,1650,349,2023-2024,8.08,Insuffisant,Normale,Échec,0
5129,1426,342,2021-2022,18.02,Très Bien,Normale,Admis,1
5130,1122,340,2024-2025,8.58,Insuffisant,Rattrapage,Échec,0
5131,1120,351,2020-2021,8.94,Insuffisant,Rattrapage,Échec,0
5132,1096,337,2022-2023,10.11,Passable,Normale,Admis,1
5133,1069,351,2023-2024,5.49,Insuffisant,Normale,Échec,0
5134,1764,326,2022-2023,14.0,Bien,Rattrapage,Admis,1
5135,2037,310,2021-2022,17.67,Très Bien,Rattrapage,Admis,1
5136,1595,347,2022-2023,8.01,Insuffisant,Normale,Échec,0
5137,1704,316,2024-2025,15.78,Bien,Normale,Admis,1
5138,1684,342,2023-2024,14.95,Bien,Normale,Admis,1
5139,1749,316,2022-2023,10.0,Passable,Rattrapage,Admis,1
5140,1370,359,2021-2022,12.09,Assez Bien,Normale,Admis,1
5141,1267,327,2023-2024,14.93,Bien,Normale,Admis,1
5142,1066,341,2020-2021,15.72,Bien,Normale,Admis,1
5143,1076,317,2023-2024,12.58,Assez Bien,Normale,Admis,1
5144,1060,355,2024-2025,14.25,Bien,Normale,Admis,1
5145,1162,305,2020-2021,10.11,Passable,Normale,Admis,1
5146,1503,353,2022-2023,5.01,Insuffisant,Normale,Échec,0
5147,2198,349,2022-2023,12.73,Assez Bien,Normale,Admis,1
5148,1864,305,2020-2021,10.77,Passable,Rattrapage,Admis,1
5149,2028,337,2024-2025,9.84,Insuffisant,Rattrapage,Échec,0
5150,1818,354,2022-2023,7.71,Insuffisant,Normale,Échec,0
5151,1165,306,2024-2025,9.81,Insuffisant,Rattrapage,Échec,0
5152,1209,344,2022-2023,13.46,Assez Bien,Normale,Admis,1
5153,2029,314,2023-2024,13.17,Assez Bien,Rattrapage,Admis,1
5154,1567,326,2023-2024,16.6,Très Bien,Normale,Admis,1
5155,1157,320,2022-2023,10.1,Passable,Normale,Admis,1
5156,1964,329,2023-2024,15.18,Bien,Normale,Admis,1
5157,1191,333,2023-2024,13.61,Assez Bien,Normale,Admis,1
5158,2047,332,2020-2021,10.64,Passable,Normale,Admis,1
5159,1575,347,2023-2024,9.6,Insuffisant,Normale,Échec,0
5160,2196,327,2023-2024,20.0,Très Bien,Normale,Admis,1
5161,1786,336,2021-2022,14.43,Bien,Normale,Admis,1
5162,1033,348,2022-2023,11.2,Passable,Normale,Admis,1
5163,1273,324,2023-2024,12.71,Assez Bien,Normale,Admis,1
5164,1703,339,2024-2025,12.96,Assez Bien,Rattrapage,Admis,1
5165,1768,302,2024-2025,12.03,Assez Bien,Normale,Admis,1
5166,1139,318,2021-2022,11.9,Passable,Normale,Admis,1
5167,1477,345,2021-2022,12.39,Assez Bien,Normale,Admis,1
5168,1008,347,2021-2022,11.22,Passable,Normale,Admis,1
5169,2177,346,2021-2022,14.03,Bien,Normale,Admis,1
5170,2017,328,2022-2023,11.44,Passable,Rattrapage,Admis,1
5171,1036,321,2022-2023,10.67,Passable,Rattrapage,Admis,1
5172,1986,344,2021-2022,8.97,Insuffisant,Normale,Échec,0
5173,2096,328,2021-2022,11.87,Passable,Rattrapage,Admis,1
5174,1319,305,2022-2023,15.08,Bien,Normale,Admis,1
5175,1113,323,2020-2021,14.73,Bien,Rattrapage,Admis,1
5176,1443,357,2020-2021,13.82,Assez Bien,Normale,Admis,1
5177,2090,325,2023-2024,13.24,Assez Bien,Normale,Admis,1
5178,1067,320,2023-2024,11.17,Passable,Normale,Admis,1
5179,1630,329,2021-2022,18.22,Très Bien,Normale,Admis,1
5180,1437,336,2024-2025,20.0,Très Bien,Normale,Admis,1
5181,1185,317,2023-2024,6.04,Insuffisant,Normale,Échec,0
5182,2025,322,2021-2022,12.6,Assez Bien,Normale,Admis,1
5183,1535,330,2022-2023,17.27,Très Bien,Normale,Admis,1
5184,1620,353,2021-2022,8.07,Insuffisant,Normale,Échec,0
5185,1006,313,2022-2023,17.71,Très Bien,Normale,Admis,1
5186,1538,319,2020-2021,16.66,Très Bien,Rattrapage,Admis,1
5187,1035,360,2021-2022,17.11,Très Bien,Normale,Admis,1
5188,1463,351,2024-2025,6.53,Insuffisant,Normale,Échec,0
5189,1985,342,2021-2022,14.45,Bien,Normale,Admis,1
5190,1732,306,2024-2025,12.68,Assez Bien,Normale,Admis,1
5191,1833,327,2022-2023,15.22,Bien,Rattrapage,Admis,1
5192,2018,331,2022-2023,19.75,Très Bien,Normale,Admis,1
5193,1196,314,2020-2021,12.37,Assez Bien,Rattrapage,Admis,1
5194,1417,359,2022-2023,10.29,Passable,Normale,Admis,1
5195,1157,333,2021-2022,10.82,Passable,Normale,Admis,1
5196,1018,310,2022-2023,14.31,Bien,Normale,Admis,1
5197,2053,324,2021-2022,9.83,Insuffisant,Normale,Échec,0
5198,1548,358,2023-2024,16.15,Très Bien,Normale,Admis,1
5199,1652,335,2020-2021,10.99,Passable,Rattrapage,Admis,1
5200,1716,314,2024-2025,10.29,Passable,Rattrapage,Admis,1
5201,2080,350,2024-2025,11.69,Passable,Normale,Admis,1
5202,1747,341,2021-2022,15.2,Bien,Normale,Admis,1
5203,1244,332,2024-2025,11.45,Passable,Normale,Admis,1
5204,1672,322,2024-2025,13.99,Assez Bien,Normale,Admis,1
5205,1119,352,2024-2025,4.91,Insuffisant,Normale,Échec,0
5206,2071,320,2020-2021,12.45,Assez Bien,Normale,Admis,1
5207,1350,336,2023-2024,15.81,Bien,Normale,Admis,1
5208,1677,324,2024-2025,10.87,Passable,Normale,Admis,1
5209,1227,325,2023-2024,16.13,Très Bien,Normale,Admis,1
5210,1707,349,2024-2025,8.21,Insuffisant,Normale,Échec,0
5211,1365,314,2024-2025,15.96,Bien,Normale,Admis,1
5212,1421,355,2020-2021,7.0,Insuffisant,Normale,Échec,0
5213,1452,320,2024-2025,12.21,Assez Bien,Normale,Admis,1
5214,2172,306,2024-2025,16.08,Très Bien,Normale,Admis,1
5215,1085,347,2020-2021,10.32,Passable,Normale,Admis,1
5216,1402,335,2020-2021,19.97,Très Bien,Normale,Admis,1
5217,1529,356,2023-2024,11.42,Passable,Normale,Admis,1
5218,1388,317,2021-2022,11.65,Passable,Normale,Admis,1
5219,1355,320,2021-2022,7.93,Insuffisant,Normale,Échec,0
5220,1211,345,2024-2025,9.93,Insuffisant,Normale,Échec,0
5221,1758,337,2023-2024,7.88,Insuffisant,Normale,Échec,0
5222,1496,349,2020-2021,14.34,Bien,Normale,Admis,1
5223,1209,312,2020-2021,9.56,Insuffisant,Normale,Échec,0
5224,2055,321,2021-2022,15.89,Bien,Normale,Admis,1
5225,1968,358,2021-2022,7.86,Insuffisant,Rattrapage,Échec,0
5226,1605,306,2020-2021,19.01,Très Bien,Rattrapage,Admis,1
5227,1606,347,2023-2024,14.09,Bien,Normale,Admis,1
5228,1181,313,2021-2022,7.57,Insuffisant,Normale,Échec,0
5229,1172,322,2022-2023,12.18,Assez Bien,Normale,Admis,1
5230,1743,313,2020-2021,13.31,Assez Bien,Normale,Admis,1
5231,1129,321,2021-2022,16.32,Très Bien,Normale,Admis,1
5232,1080,313,2020-2021,15.3,Bien,Normale,Admis,1
5233,1630,319,2020-2021,15.68,Bien,Normale,Admis,1
5234,1922,329,2024-2025,2.54,Insuffisant,Normale,Échec,0
5235,1181,343,2020-2021,12.47,Assez Bien,Normale,Admis,1
5236,1098,340,2023-2024,11.96,Passable,Normale,Admis,1
5237,1739,340,2024-2025,13.11,Assez Bien,Normale,Admis,1
5238,1621,343,2022-2023,16.1,Très Bien,Normale,Admis,1
5239,1655,330,2023-2024,18.62,Très Bien,Normale,Admis,1
5240,1886,316,2022-2023,17.2,Très Bien,Rattrapage,Admis,1
5241,1667,357,2022-2023,10.85,Passable,Normale,Admis,1
5242,1246,351,2024-2025,12.26,Assez Bien,Normale,Admis,1
5243,1377,339,2024-2025,13.26,Assez Bien,Normale,Admis,1
5244,1202,310,2023-2024,15.19,Bien,Normale,Admis,1
5245,1547,322,2021-2022,15.4,Bien,Normale,Admis,1
5246,1113,327,2022-2023,14.35,Bien,Normale,Admis,1
5247,1169,360,2024-2025,8.46,Insuffisant,Normale,Échec,0
5248,1211,302,2023-2024,12.26,Assez Bien,Rattrapage,Admis,1
5249,1215,359,2023-2024,9.72,Insuffisant,Normale,Échec,0
5250,1780,345,2024-2025,14.33,Bien,Normale,Admis,1
5251,1192,302,2020-2021,8.47,Insuffisant,Normale,Échec,0
5252,2079,341,2021-2022,11.45,Passable,Normale,Admis,1
5253,1328,343,2022-2023,17.97,Très Bien,Normale,Admis,1
5254,1275,352,2020-2021,13.9,Assez Bien,Rattrapage,Admis,1
5255,1829,335,2021-2022,13.31,Assez Bien,Normale,Admis,1
5256,1855,353,2024-2025,10.64,Passable,Rattrapage,Admis,1
5257,1258,310,2020-2021,19.14,Très Bien,Normale,Admis,1
5258,2023,323,2023-2024,17.81,Très Bien,Normale,Admis,1
5259,1350,342,2023-2024,18.1,Très Bien,Normale,Admis,1
5260,2165,350,2023-2024,11.7,Passable,Rattrapage,Admis,1
5261,1300,302,2024-2025,2.79,Insuffisant,Normale,Échec,0
5262,1397,341,2022-2023,8.4,Insuffisant,Normale,Échec,0
5263,2017,337,2020-2021,13.66,Assez Bien,Normale,Admis,1
5264,1008,301,2022-2023,12.34,Assez Bien,Normale,Admis,1
5265,2165,315,2021-2022,11.43,Passable,Normale,Admis,1
5266,1721,332,2021-2022,12.36,Assez Bien,Normale,Admis,1
5267,1272,336,2023-2024,5.69,Insuffisant,Normale,Échec,0
5268,1101,346,2021-2022,12.81,Assez Bien,Normale,Admis,1
5269,1324,310,2020-2021,16.29,Très Bien,Rattrapage,Admis,1
5270,1096,342,2023-2024,5.51,Insuffisant,Normale,Échec,0
5271,1548,336,2022-2023,12.61,Assez Bien,Normale,Admis,1
5272,2011,348,2021-2022,11.13,Passable,Normale,Admis,1
5273,1521,352,2021-2022,6.69,Insuffisant,Normale,Échec,0
5274,2140,330,2020-2021,17.73,Très Bien,Normale,Admis,1
5275,1297,340,2022-2023,11.85,Passable,Rattrapage,Admis,1
5276,1181,319,2022-2023,8.42,Insuffisant,Normale,Échec,0
5277,1382,358,2020-2021,10.36,Passable,Rattrapage,Admis,1
5278,1679,344,2024-2025,5.14,Insuffisant,Normale,Échec,0
5279,1048,346,2021-2022,12.13,Assez Bien,Normale,Admis,1
5280,2057,326,2020-2021,10.5,Passable,Rattrapage,Admis,1
5281,1779,303,2022-2023,11.11,Passable,Normale,Admis,1
5282,2132,302,2021-2022,11.88,Passable,Normale,Admis,1
5283,1373,317,2020-2021,13.62,Assez Bien,Normale,Admis,1
5284,1858,351,2022-2023,16.63,Très Bien,Normale,Admis,1
5285,1616,357,2023-2024,17.32,Très Bien,Normale,Admis,1
5286,1540,329,2023-2024,11.12,Passable,Normale,Admis,1
5287,1699,303,2024-2025,16.38,Très Bien,Normale,Admis,1
5288,1048,317,2020-2021,13.17,Assez Bien,Normale,Admis,1
5289,2030,347,2024-2025,16.63,Très Bien,Normale,Admis,1
5290,2035,322,2023-2024,13.61,Assez Bien,Normale,Admis,1
5291,1804,345,2022-2023,14.89,Bien,Normale,Admis,1
5292,1419,303,2020-2021,15.83,Bien,Normale,Admis,1
5293,1797,322,2022-2023,7.97,Insuffisant,Normale,Échec,0
5294,1884,352,2021-2022,14.29,Bien,Normale,Admis,1
5295,1452,333,2024-2025,18.67,Très Bien,Normale,Admis,1
5296,2008,334,2024-2025,11.17,Passable,Rattrapage,Admis,1
5297,2046,329,2023-2024,11.68,Passable,Normale,Admis,1
5298,1712,328,2024-2025,2.83,Insuffisant,Normale,Échec,0
5299,1487,305,2021-2022,15.23,Bien,Normale,Admis,1
5300,1798,343,2020-2021,9.8,Insuffisant,Normale,Échec,0
5301,1854,342,2021-2022,10.34,Passable,Normale,Admis,1
5302,1283,354,2024-2025,12.47,Assez Bien,Rattrapage,Admis,1
5303,1048,357,2020-2021,11.17,Passable,Normale,Admis,1
5304,1201,352,2021-2022,14.41,Bien,Normale,Admis,1
5305,2139,325,2020-2021,4.64,Insuffisant,Rattrapage,Échec,0
5306,1573,331,2024-2025,17.27,Très Bien,Normale,Admis,1
5307,1568,343,2023-2024,14.4,Bien,Normale,Admis,1
5308,1164,349,2024-2025,7.82,Insuffisant,Normale,Échec,0
5309,1032,314,2024-2025,7.53,Insuffisant,Normale,Échec,0
5310,1035,314,2022-2023,11.74,Passable,Normale,Admis,1
5311,1249,349,2022-2023,14.14,Bien,Normale,Admis,1
5312,2068,338,2022-2023,17.22,Très Bien,Normale,Admis,1
5313,1504,336,2021-2022,12.72,Assez Bien,Normale,Admis,1
5314,2167,319,2022-2023,12.31,Assez Bien,Normale,Admis,1
5315,1151,338,2020-2021,12.22,Assez Bien,Normale,Admis,1
5316,1532,330,2024-2025,13.17,Assez Bien,Normale,Admis,1
5317,1098,324,2021-2022,7.3,Insuffisant,Normale,Échec,0
5318,1631,329,2021-2022,12.87,Assez Bien,Normale,Admis,1
5319,2149,316,2024-2025,12.57,Assez Bien,Normale,Admis,1
5320,1735,357,2020-2021,8.07,Insuffisant,Normale,Échec,0
5321,1838,331,2021-2022,18.96,Très Bien,Rattrapage,Admis,1
5322,1116,353,2024-2025,6.97,Insuffisant,Normale,Échec,0
5323,1679,347,2021-2022,11.41,Passable,Normale,Admis,1
5324,1259,343,2023-2024,11.38,Passable,Normale,Admis,1
5325,2011,301,2024-2025,8.99,Insuffisant,Normale,Échec,0
5326,1524,356,2024-2025,13.85,Assez Bien,Normale,Admis,1
5327,2059,326,2024-2025,15.38,Bien,Normale,Admis,1
5328,1848,354,2022-2023,15.09,Bien,Normale,Admis,1
5329,1779,345,2021-2022,18.27,Très Bien,Normale,Admis,1
5330,1342,324,2024-2025,9.0,Insuffisant,Normale,Échec,0
5331,1381,356,2021-2022,7.78,Insuffisant,Normale,Échec,0
5332,2077,358,2021-2022,16.99,Très Bien,Normale,Admis,1
5333,2099,358,2020-2021,6.31,Insuffisant,Rattrapage,Échec,0
5334,1227,334,2021-2022,12.06,Assez Bien,Rattrapage,Admis,1
5335,1316,316,2022-2023,2.16,Insuffisant,Rattrapage,Échec,0
5336,1430,303,2023-2024,9.69,Insuffisant,Normale,Échec,0
5337,2045,333,2022-2023,14.25,Bien,Rattrapage,Admis,1
5338,1875,335,2022-2023,19.17,Très Bien,Normale,Admis,1
5339,1866,332,2023-2024,12.73,Assez Bien,Normale,Admis,1
5340,2015,333,2020-2021,16.46,Très Bien,Rattrapage,Admis,1
5341,1818,318,2022-2023,18.88,Très Bien,Normale,Admis,1
5342,2130,315,2023-2024,9.63,Insuffisant,Rattrapage,Échec,0
5343,1551,347,2022-2023,6.58,Insuffisant,Normale,Échec,0
5344,2177,321,2024-2025,12.2,Assez Bien,Rattrapage,Admis,1
5345,1973,322,2021-2022,8.38,Insuffisant,Normale,Échec,0
5346,1163,315,2022-2023,12.51,Assez Bien,Normale,Admis,1
5347,1411,306,2023-2024,8.15,Insuffisant,Normale,Échec,0
5348,1661,358,2022-2023,15.02,Bien,Normale,Admis,1
5349,1676,339,2021-2022,11.63,Passable,Rattrapage,Admis,1
5350,2031,345,2024-2025,11.35,Passable,Rattrapage,Admis,1
5351,2001,318,2024-2025,9.45,Insuffisant,Normale,Échec,0
5352,1937,318,2020-2021,15.18,Bien,Normale,Admis,1
5353,1132,346,2022-2023,11.85,Passable,Normale,Admis,1
5354,2079,325,2021-2022,18.61,Très Bien,Rattrapage,Admis,1
5355,1878,329,2022-2023,10.04,Passable,Normale,Admis,1
5356,1247,354,2020-2021,17.19,Très Bien,Rattrapage,Admis,1
5357,2010,328,2022-2023,15.66,Bien,Normale,Admis,1
5358,1686,315,2022-2023,16.37,Très Bien,Normale,Admis,1
5359,1833,323,2022-2023,6.41,Insuffisant,Normale,Échec,0
5360,1148,350,2022-2023,14.35,Bien,Normale,Admis,1
5361,1893,320,2020-2021,8.7,Insuffisant,Normale,Échec,0
5362,1826,329,2024-2025,8.59,Insuffisant,Normale,Échec,0
5363,1875,316,2020-2021,20.0,Très Bien,Rattrapage,Admis,1
5364,1103,337,2021-2022,8.28,Insuffisant,Normale,Échec,0
5365,1719,348,2024-2025,13.17,Assez Bien,Normale,Admis,1
5366,1377,304,2020-2021,10.64,Passable,Normale,Admis,1
5367,1812,351,2021-2022,18.36,Très Bien,Normale,Admis,1
5368,1078,306,2022-2023,13.02,Assez Bien,Normale,Admis,1
5369,2179,331,2021-2022,11.11,Passable,Normale,Admis,1
5370,1354,360,2022-2023,9.89,Insuffisant,Normale,Échec,0
5371,1297,309,2024-2025,18.44,Très Bien,Rattrapage,Admis,1
5372,1576,349,2024-2025,13.62,Assez Bien,Normale,Admis,1
5373,1441,320,2024-2025,10.59,Passable,Normale,Admis,1
5374,1343,331,2023-2024,11.11,Passable,Normale,Admis,1
5375,1841,336,2020-2021,9.27,Insuffisant,Normale,Échec,0
5376,2163,341,2024-2025,9.26,Insuffisant,Normale,Échec,0
5377,1521,328,2020-2021,12.24,Assez Bien,Normale,Admis,1
5378,1170,352,2024-2025,12.47,Assez Bien,Normale,Admis,1
5379,1069,318,2020-2021,9.22,Insuffisant,Normale,Échec,0
5380,1418,313,2022-2023,17.21,Très Bien,Normale,Admis,1
5381,2134,301,2020-2021,12.68,Assez Bien,Normale,Admis,1
5382,1684,356,2021-2022,16.45,Très Bien,Normale,Admis,1
5383,1899,348,2021-2022,15.99,Bien,Normale,Admis,1
5384,1768,351,2024-2025,8.88,Insuffisant,Normale,Échec,0
5385,1818,326,2023-2024,12.66,Assez Bien,Rattrapage,Admis,1
5386,1214,360,2022-2023,12.45,Assez Bien,Normale,Admis,1
5387,1669,317,2022-2023,17.39,Très Bien,Normale,Admis,1
5388,1854,357,2020-2021,10.25,Passable,Normale,Admis,1
5389,1707,316,2024-2025,10.57,Passable,Normale,Admis,1
5390,1316,358,2023-2024,7.67,Insuffisant,Normale,Échec,0
5391,1084,340,2023-2024,9.81,Insuffisant,Normale,Échec,0
5392,1993,355,2022-2023,13.86,Assez Bien,Normale,Admis,1
5393,1826,341,2021-2022,12.32,Assez Bien,Normale,Admis,1
5394,2016,309,2020-2021,13.8,Assez Bien,Normale,Admis,1
5395,1682,348,2021-2022,12.86,Assez Bien,Normale,Admis,1
5396,1810,360,2022-2023,14.98,Bien,Normale,Admis,1
5397,2175,305,2020-2021,17.07,Très Bien,Normale,Admis,1
5398,1314,346,2024-2025,15.12,Bien,Normale,Admis,1
5399,1715,327,2023-2024,16.15,Très Bien,Rattrapage,Admis,1
5400,1315,352,2024-2025,11.31,Passable,Normale,Admis,1
5401,1747,348,2020-2021,17.84,Très Bien,Normale,Admis,1
5402,1350,306,2022-2023,10.52,Passable,Normale,Admis,1
5403,1658,347,2021-2022,10.6,Passable,Normale,Admis,1
5404,2141,316,2020-2021,12.3,Assez Bien,Normale,Admis,1
