id_accueil,id_etudiant,id_staff,date_accueil,heure_debut,heure_fin,initie_par,motif,duree_accueil_min
14079,1446,602,2024-04-17,11:00,11:15,Staff,Autre,15
14080,1055,608,2024-04-01,14:00,14:15,Étudiant,Autre,15
14081,1438,609,2025-02-05,15:00,15:15,Étudiant,Information,15
14082,1330,602,2024-10-20,11:00,11:15,Étudiant,Information,15
14083,2154,604,2023-08-05,09:00,09:15,Étudiant,Autre,15
14084,2193,607,2022-02-26,16:00,16:15,Staff,Autre,15
14085,2156,627,2022-07-21,14:00,14:15,Staff,Attestation,15
14086,1432,629,2024-07-11,16:00,16:15,Étudiant,Réclamation,15
14087,1484,620,2021-09-27,11:00,11:15,Étudiant,Autre,15
14088,1660,611,2023-05-15,14:00,14:15,Étudiant,Attestation,15
14089,1802,617,2023-09-14,08:00,08:15,Étudiant,Attestation,15
14090,1178,609,2023-08-10,08:00,08:15,Étudiant,Information,15
14091,2029,611,2022-05-31,11:00,11:15,Étudiant,Information,15
14092,1330,603,2025-03-23,11:00,11:15,Étudiant,Information,15
14093,1947,629,2023-11-14,09:00,09:15,Staff,Bourse,15
14094,2036,627,2023-05-28,09:00,09:15,Staff,Attestation,15
14095,1743,614,2023-05-18,10:00,10:15,Étudiant,Réclamation,15
14096,1550,619,2022-02-18,15:00,15:15,Staff,Autre,15
14097,1417,621,2024-03-15,10:00,10:15,Staff,Attestation,15
14098,1532,613,2022-01-21,10:00,10:15,Étudiant,Bourse,15
14099,1536,611,2023-01-13,14:00,14:15,Staff,Réclamation,15
14100,1007,603,2023-04-05,10:00,10:15,Étudiant,Bourse,15
14101,1151,630,2022-06-19,09:00,09:15,Étudiant,Autre,15
14102,2030,610,2024-08-03,15:00,15:15,Étudiant,Autre,15
14103,1162,605,2022-03-25,09:00,09:15,Étudiant,Attestation,15
14104,1502,602,2023-09-03,14:00,14:15,Staff,Autre,15
14105,1480,601,2024-11-19,14:00,14:15,Étudiant,Autre,15
14106,1380,605,2022-07-09,15:00,15:15,Étudiant,Attestation,15
14107,1633,629,2022-08-04,15:00,15:15,Étudiant,Attestation,15
14108,1835,630,2024-06-20,11:00,11:15,Étudiant,Autre,15
14109,1828,628,2024-02-16,08:00,08:15,Étudiant,Autre,15
14110,2122,606,2022-10-18,15:00,15:15,Staff,Autre,15
14111,1838,615,2022-08-04,11:00,11:15,Étudiant,Réclamation,15
14112,1038,622,2022-01-02,15:00,15:15,Étudiant,Attestation,15
14113,1985,616,2025-01-08,15:00,15:15,Étudiant,Bourse,15
14114,1602,619,2023-07-04,15:00,15:15,Étudiant,Information,15
14115,1717,619,2022-09-15,10:00,10:15,Étudiant,Attestation,15
14116,1186,607,2022-04-25,09:00,09:15,Étudiant,Réclamation,15
14117,1107,604,2023-07-13,09:00,09:15,Étudiant,Bourse,15
14118,1518,622,2023-07-25,09:00,09:15,Étudiant,Bourse,15
14119,1530,613,2024-02-02,15:00,15:15,Étudiant,Information,15
14120,1953,602,2024-12-04,09:00,09:15,Étudiant,Information,15
14121,1673,630,2024-05-01,15:00,15:15,Staff,Information,15
14122,1047,607,2023-05-05,10:00,10:15,Staff,Attestation,15
14123,1360,606,2023-03-03,14:00,14:15,Étudiant,Attestation,15
14124,1534,630,2022-01-30,14:00,14:15,Étudiant,Réclamation,15
14125,1039,629,2024-06-08,09:00,09:15,Étudiant,Réclamation,15
14126,1466,606,2023-10-08,10:00,10:15,Étudiant,Attestation,15
14127,2130,627,2023-11-22,16:00,16:15,Étudiant,Réclamation,15
14128,1002,605,2023-08-22,10:00,10:15,Staff,Information,15
14129,1753,601,2025-01-03,10:00,10:15,Étudiant,Réclamation,15
14130,1428,624,2024-08-06,16:00,16:15,Staff,Information,15
14131,1326,605,2021-12-20,11:00,11:15,Étudiant,Autre,15
14132,2185,619,2024-06-26,10:00,10:15,Étudiant,Bourse,15
14133,2090,621,2024-12-01,09:00,09:15,Étudiant,Autre,15
14134,2036,619,2023-12-12,11:00,11:15,Staff,Autre,15
14135,1064,613,2021-09-30,08:00,08:15,Staff,Réclamation,15
14136,1706,610,2022-09-04,14:00,14:15,Étudiant,Réclamation,15
14137,1644,606,2022-10-06,08:00,08:15,Étudiant,Bourse,15
14138,1522,628,2024-01-19,08:00,08:15,Étudiant,Attestation,15
14139,1479,621,2024-02-03,16:00,16:15,Staff,Information,15
14140,1332,616,2021-10-07,11:00,11:15,Étudiant,Réclamation,15
14141,1093,628,2022-06-13,08:00,08:15,Étudiant,Réclamation,15
14142,1602,626,2021-12-18,09:00,09:15,Étudiant,Attestation,15
14143,1465,620,2024-02-24,14:00,14:15,Étudiant,Information,15
14144,2149,617,2024-04-28,15:00,15:15,Étudiant,Attestation,15
14145,2041,612,2021-12-06,10:00,10:15,Étudiant,Autre,15
14146,1051,624,2022-03-25,10:00,10:15,Étudiant,Réclamation,15
14147,1607,618,2023-02-26,09:00,09:15,Staff,Information,15
14148,1091,610,2024-08-06,10:00,10:15,Étudiant,Attestation,15
14149,1214,609,2023-05-23,11:00,11:15,Étudiant,Attestation,15
14150,2062,615,2024-07-16,16:00,16:15,Étudiant,Information,15
14151,1716,628,2024-11-24,16:00,16:15,Staff,Attestation,15
14152,1821,620,2023-06-25,15:00,15:15,Staff,Autre,15
14153,1235,630,2022-07-26,09:00,09:15,Étudiant,Bourse,15
14154,2193,602,2024-03-23,15:00,15:15,Étudiant,Attestation,15
14155,2073,610,2023-11-25,14:00,14:15,Staff,Attestation,15
14156,1979,628,2023-05-25,15:00,15:15,Étudiant,Information,15
14157,1024,625,2022-12-27,09:00,09:15,Étudiant,Autre,15
14158,1965,625,2024-12-05,10:00,10:15,Étudiant,Autre,15
14159,1210,629,2022-03-24,10:00,10:15,Étudiant,Réclamation,15
14160,2027,610,2024-11-24,09:00,09:15,Étudiant,Bourse,15
14161,2005,627,2024-04-14,11:00,11:15,Étudiant,Information,15
14162,1888,611,2023-03-24,08:00,08:15,Staff,Bourse,15
14163,1836,624,2024-02-28,10:00,10:15,Étudiant,Information,15
14164,1704,627,2024-02-20,14:00,14:15,Étudiant,Information,15
14165,1908,604,2022-10-27,15:00,15:15,Étudiant,Information,15
14166,1814,603,2023-05-01,09:00,09:15,Étudiant,Attestation,15
14167,2061,612,2022-03-13,11:00,11:15,Étudiant,Autre,15
14168,1637,603,2023-10-01,09:00,09:15,Étudiant,Information,15
14169,2070,616,2022-04-29,11:00,11:15,Staff,Réclamation,15
14170,1336,611,2024-06-01,14:00,14:15,Étudiant,Information,15
14171,1559,624,2025-03-30,09:00,09:15,Étudiant,Bourse,15
14172,1180,601,2022-08-21,10:00,10:15,Étudiant,Attestation,15
14173,1340,622,2022-02-15,08:00,08:15,Étudiant,Autre,15
14174,1241,626,2024-08-07,09:00,09:15,Étudiant,Réclamation,15
14175,1139,609,2024-11-14,15:00,15:15,Staff,Attestation,15
14176,1184,624,2021-12-19,08:00,08:15,Étudiant,Bourse,15
14177,1168,621,2021-12-03,16:00,16:15,Staff,Information,15
14178,1529,623,2023-05-19,11:00,11:15,Étudiant,Autre,15
14179,1973,619,2022-03-10,10:00,10:15,Étudiant,Information,15
14180,1562,629,2022-03-17,14:00,14:15,Staff,Bourse,15
14181,2026,602,2022-09-22,16:00,16:15,Staff,Bourse,15
14182,1528,611,2022-01-17,09:00,09:15,Staff,Autre,15
14183,1979,624,2022-07-13,10:00,10:15,Étudiant,Attestation,15
14184,2021,602,2024-07-09,08:00,08:15,Étudiant,Autre,15
14185,2060,621,2022-09-05,11:00,11:15,Étudiant,Réclamation,15
14186,1396,614,2024-03-07,10:00,10:15,Étudiant,Réclamation,15
14187,1563,606,2022-08-02,10:00,10:15,Étudiant,Réclamation,15
14188,1353,613,2024-04-03,08:00,08:15,Étudiant,Autre,15
14189,1653,627,2022-04-10,15:00,15:15,Étudiant,Réclamation,15
14190,1894,620,2023-11-26,11:00,11:15,Staff,Bourse,15
14191,1357,619,2021-09-04,11:00,11:15,Étudiant,Information,15
14192,1483,623,2022-07-03,09:00,09:15,Étudiant,Attestation,15
14193,1897,601,2024-08-07,15:00,15:15,Étudiant,Autre,15
14194,1494,607,2023-12-20,15:00,15:15,Étudiant,Réclamation,15
14195,1473,619,2023-03-21,10:00,10:15,Staff,Information,15
14196,1096,618,2023-09-08,16:00,16:15,Étudiant,Bourse,15
14197,1042,623,2024-11-10,15:00,15:15,Staff,Bourse,15
14198,1660,613,2024-07-18,15:00,15:15,Étudiant,Autre,15
14199,1284,618,2024-06-24,08:00,08:15,Étudiant,Réclamation,15
14200,1315,615,2023-03-25,08:00,08:15,Staff,Autre,15
14201,1271,622,2022-10-15,11:00,11:15,Étudiant,Information,15
14202,1566,620,2024-10-05,15:00,15:15,Étudiant,Réclamation,15
14203,1601,626,2022-04-11,15:00,15:15,Étudiant,Information,15
14204,1541,610,2025-01-10,08:00,08:15,Étudiant,Information,15
14205,1710,608,2023-07-01,08:00,08:15,Étudiant,Information,15
14206,1342,613,2025-03-20,14:00,14:15,Étudiant,Attestation,15
14207,2106,625,2024-02-01,08:00,08:15,Staff,Bourse,15
14208,2060,605,2023-01-24,15:00,15:15,Staff,Attestation,15
14209,1353,620,2021-10-04,08:00,08:15,Étudiant,Information,15
14210,1863,621,2024-09-03,08:00,08:15,Staff,Information,15
14211,1550,614,2024-10-06,09:00,09:15,Étudiant,Réclamation,15
14212,1415,601,2025-03-17,10:00,10:15,Étudiant,Autre,15
14213,1371,606,2022-06-29,09:00,09:15,Étudiant,Attestation,15
14214,2122,604,2022-05-20,14:00,14:15,Étudiant,Information,15
14215,1420,626,2025-02-28,08:00,08:15,Étudiant,Réclamation,15
14216,1445,625,2024-09-03,16:00,16:15,Étudiant,Bourse,15
14217,1341,616,2022-07-04,09:00,09:15,Étudiant,Bourse,15
14218,1531,605,2022-12-06,10:00,10:15,Étudiant,Réclamation,15
14219,1803,628,2022-01-25,16:00,16:15,Étudiant,Attestation,15
14220,2140,617,2024-07-23,09:00,09:15,Étudiant,Attestation,15
14221,2113,619,2023-02-03,16:00,16:15,Étudiant,Autre,15
14222,1342,622,2023-03-10,14:00,14:15,Étudiant,Bourse,15
14223,1393,605,2022-11-14,15:00,15:15,Étudiant,Bourse,15
14224,1617,614,2024-06-25,15:00,15:15,Étudiant,Information,15
14225,2196,619,2022-05-03,14:00,14:15,Étudiant,Information,15
14226,2042,623,2022-02-14,08:00,08:15,Étudiant,Attestation,15
14227,1404,605,2024-07-09,11:00,11:15,Étudiant,Attestation,15
14228,1465,615,2023-01-05,15:00,15:15,Étudiant,Réclamation,15
14229,1533,612,2022-09-01,08:00,08:15,Staff,Réclamation,15
14230,1915,605,2023-05-12,10:00,10:15,Étudiant,Bourse,15
14231,1106,628,2024-05-07,08:00,08:15,Étudiant,Réclamation,15
14232,2009,626,2024-07-23,14:00,14:15,Staff,Réclamation,15
14233,1359,622,2023-02-03,09:00,09:15,Étudiant,Réclamation,15
14234,1927,607,2025-02-08,15:00,15:15,Étudiant,Attestation,15
14235,1519,617,2022-11-22,11:00,11:15,Étudiant,Réclamation,15
14236,2075,607,2025-04-19,08:00,08:15,Étudiant,Information,15
14237,1456,605,2023-03-05,16:00,16:15,Étudiant,Attestation,15
14238,1010,627,2021-12-16,11:00,11:15,Staff,Autre,15
14239,1932,616,2023-01-18,08:00,08:15,Étudiant,Bourse,15
14240,1782,616,2024-02-08,15:00,15:15,Étudiant,Réclamation,15
14241,2192,617,2024-07-06,10:00,10:15,Staff,Information,15
14242,1650,615,2024-05-24,08:00,08:15,Étudiant,Bourse,15
14243,1681,608,2022-12-08,09:00,09:15,Staff,Autre,15
14244,1077,606,2022-11-08,11:00,11:15,Étudiant,Bourse,15
14245,1597,626,2024-08-29,15:00,15:15,Étudiant,Attestation,15
14246,1593,622,2023-07-01,11:00,11:15,Étudiant,Information,15
14247,1215,620,2023-10-18,16:00,16:15,Étudiant,Bourse,15
14248,2075,604,2024-04-06,15:00,15:15,Étudiant,Bourse,15
14249,1821,605,2021-11-29,11:00,11:15,Étudiant,Réclamation,15
14250,2177,626,2024-09-12,08:00,08:15,Étudiant,Autre,15
14251,1328,609,2023-08-25,09:00,09:15,Étudiant,Bourse,15
14252,1874,604,2024-03-19,10:00,10:15,Étudiant,Information,15
14253,1310,602,2023-01-16,11:00,11:15,Étudiant,Attestation,15
14254,1047,603,2024-05-02,16:00,16:15,Staff,Attestation,15
14255,1677,611,2024-03-02,10:00,10:15,Étudiant,Information,15
14256,1603,616,2024-03-20,11:00,11:15,Étudiant,Bourse,15
14257,1089,629,2023-09-25,08:00,08:15,Étudiant,Information,15
14258,1622,628,2024-03-17,15:00,15:15,Étudiant,Réclamation,15
14259,2041,619,2023-02-16,15:00,15:15,Staff,Attestation,15
14260,1817,616,2024-06-02,08:00,08:15,Étudiant,Information,15
14261,2056,602,2024-07-30,16:00,16:15,Staff,Bourse,15
14262,1340,610,2021-10-08,16:00,16:15,Étudiant,Autre,15
14263,1004,630,2022-06-05,09:00,09:15,Staff,Attestation,15
14264,1460,610,2024-10-22,09:00,09:15,Étudiant,Attestation,15
14265,1247,625,2024-08-28,11:00,11:15,Staff,Réclamation,15
14266,1038,626,2023-06-03,16:00,16:15,Staff,Bourse,15
14267,1398,602,2025-02-15,15:00,15:15,Étudiant,Bourse,15
14268,1021,607,2024-07-10,16:00,16:15,Staff,Réclamation,15
14269,1216,627,2023-03-06,09:00,09:15,Étudiant,Bourse,15
14270,1451,604,2024-02-21,15:00,15:15,Staff,Bourse,15
14271,1060,626,2024-11-13,10:00,10:15,Étudiant,Réclamation,15
14272,2118,604,2024-10-03,14:00,14:15,Staff,Autre,15
14273,1748,619,2024-09-13,11:00,11:15,Staff,Autre,15
14274,1283,623,2024-04-05,09:00,09:15,Étudiant,Bourse,15
14275,1273,628,2025-04-08,14:00,14:15,Étudiant,Information,15
14276,1294,630,2024-08-11,08:00,08:15,Étudiant,Autre,15
14277,2178,628,2022-12-26,16:00,16:15,Étudiant,Autre,15
14278,2184,604,2023-11-21,09:00,09:15,Staff,Attestation,15
14279,1064,609,2024-01-08,09:00,09:15,Staff,Information,15
14280,1850,630,2024-03-31,14:00,14:15,Étudiant,Bourse,15
14281,1456,618,2021-11-22,16:00,16:15,Étudiant,Attestation,15
14282,1139,630,2023-11-03,14:00,14:15,Staff,Autre,15
14283,1805,616,2023-02-10,14:00,14:15,Étudiant,Attestation,15
14284,1778,623,2024-04-15,15:00,15:15,Étudiant,Autre,15
14285,1834,628,2024-09-06,15:00,15:15,Étudiant,Réclamation,15
14286,1562,619,2023-03-13,16:00,16:15,Staff,Attestation,15
14287,1719,603,2022-05-04,14:00,14:15,Staff,Attestation,15
14288,1539,622,2022-04-05,10:00,10:15,Étudiant,Bourse,15
14289,1359,611,2024-02-19,16:00,16:15,Étudiant,Réclamation,15
14290,1031,624,2024-03-29,09:00,09:15,Étudiant,Attestation,15
14291,1096,617,2024-06-29,15:00,15:15,Staff,Information,15
14292,2031,610,2022-06-05,10:00,10:15,Étudiant,Bourse,15
14293,1269,606,2022-12-04,08:00,08:15,Étudiant,Information,15
14294,1763,606,2022-09-04,11:00,11:15,Étudiant,Attestation,15
14295,1345,616,2023-08-06,16:00,16:15,Étudiant,Bourse,15
14296,1247,623,2023-01-08,08:00,08:15,Étudiant,Réclamation,15
14297,1139,624,2022-11-28,10:00,10:15,Étudiant,Information,15
14298,1479,618,2023-10-26,16:00,16:15,Étudiant,Bourse,15
14299,1900,625,2024-01-04,11:00,11:15,Étudiant,Réclamation,15
14300,1271,615,2024-12-07,11:00,11:15,Étudiant,Information,15
14301,2172,617,2024-04-12,08:00,08:15,Étudiant,Réclamation,15
14302,1722,607,2023-12-14,08:00,08:15,Étudiant,Réclamation,15
14303,1679,621,2023-11-17,15:00,15:15,Étudiant,Information,15
14304,1125,620,2023-04-10,16:00,16:15,Étudiant,Information,15
14305,1532,623,2024-09-07,09:00,09:15,Staff,Autre,15
14306,2033,616,2024-02-12,16:00,16:15,Étudiant,Attestation,15
14307,1595,625,2024-01-23,15:00,15:15,Étudiant,Information,15
14308,1258,619,2022-07-22,14:00,14:15,Staff,Attestation,15
14309,1396,613,2024-06-15,11:00,11:15,Étudiant,Attestation,15
14310,1005,630,2023-06-29,09:00,09:15,Étudiant,Autre,15
14311,1027,601,2022-01-10,08:00,08:15,Staff,Attestation,15
14312,1965,618,2024-05-15,16:00,16:15,Staff,Bourse,15
14313,2062,627,2022-04-28,16:00,16:15,Étudiant,Bourse,15
14314,1977,621,2023-12-16,09:00,09:15,Étudiant,Réclamation,15
14315,2106,616,2022-01-23,14:00,14:15,Étudiant,Attestation,15
14316,1381,611,2022-10-31,09:00,09:15,Staff,Attestation,15
14317,1408,608,2024-07-22,08:00,08:15,Staff,Autre,15
14318,1973,628,2022-07-05,09:00,09:15,Staff,Réclamation,15
14319,1757,609,2025-04-21,10:00,10:15,Étudiant,Réclamation,15
14320,1580,630,2023-04-04,16:00,16:15,Staff,Information,15
14321,2063,630,2022-07-26,11:00,11:15,Étudiant,Information,15
14322,1358,610,2025-01-11,16:00,16:15,Staff,Réclamation,15
14323,1942,630,2024-02-14,16:00,16:15,Étudiant,Attestation,15
14324,1049,614,2024-03-22,10:00,10:15,Étudiant,Information,15
14325,1921,619,2024-10-17,11:00,11:15,Étudiant,Autre,15
14326,1012,622,2023-02-17,09:00,09:15,Étudiant,Information,15
14327,1968,614,2022-05-06,09:00,09:15,Étudiant,Autre,15
14328,1339,607,2024-08-25,16:00,16:15,Staff,Information,15
14329,2149,605,2023-10-10,08:00,08:15,Staff,Réclamation,15
14330,1419,630,2025-01-22,16:00,16:15,Staff,Attestation,15
14331,2061,628,2024-09-20,11:00,11:15,Étudiant,Information,15
14332,1144,606,2024-10-29,08:00,08:15,Étudiant,Autre,15
14333,1169,606,2022-02-05,09:00,09:15,Étudiant,Information,15
14334,2138,604,2022-11-19,10:00,10:15,Étudiant,Réclamation,15
14335,1154,602,2024-02-07,11:00,11:15,Étudiant,Bourse,15
14336,1350,623,2023-11-06,09:00,09:15,Staff,Réclamation,15
14337,1410,607,2022-03-29,14:00,14:15,Étudiant,Réclamation,15
14338,2040,628,2024-01-07,09:00,09:15,Étudiant,Réclamation,15
14339,1998,622,2023-04-19,09:00,09:15,Staff,Bourse,15
14340,2025,609,2024-09-13,09:00,09:15,Étudiant,Attestation,15
14341,1344,612,2022-03-23,16:00,16:15,Staff,Bourse,15
14342,1544,608,2021-12-29,08:00,08:15,Staff,Bourse,15
14343,1143,618,2021-12-05,14:00,14:15,Étudiant,Bourse,15
14344,1242,605,2024-06-21,16:00,16:15,Étudiant,Réclamation,15
14345,1814,622,2024-05-14,14:00,14:15,Étudiant,Information,15
14346,1956,617,2024-01-31,16:00,16:15,Étudiant,Bourse,15
14347,1200,616,2021-10-24,09:00,09:15,Étudiant,Bourse,15
14348,1546,602,2025-01-05,15:00,15:15,Étudiant,Autre,15
14349,1974,612,2025-01-31,09:00,09:15,Étudiant,Attestation,15
14350,1852,629,2022-11-11,11:00,11:15,Étudiant,Autre,15
14351,1231,610,2023-02-11,14:00,14:15,Étudiant,Attestation,15
14352,1780,616,2025-01-02,15:00,15:15,Étudiant,Autre,15
14353,1205,618,2025-02-10,16:00,16:15,Étudiant,Réclamation,15
14354,1315,601,2023-07-01,08:00,08:15,Étudiant,Autre,15
14355,1874,612,2023-03-11,14:00,14:15,Étudiant,Bourse,15
14356,1187,630,2024-07-17,10:00,10:15,Étudiant,Autre,15
14357,1765,630,2023-02-20,08:00,08:15,Étudiant,Information,15
14358,1711,621,2024-09-10,10:00,10:15,Étudiant,Autre,15
14359,1517,602,2022-11-13,15:00,15:15,Staff,Attestation,15
14360,1946,612,2021-12-06,16:00,16:15,Étudiant,Bourse,15
14361,1971,606,2024-09-28,11:00,11:15,Étudiant,Bourse,15
14362,1658,602,2023-07-28,11:00,11:15,Étudiant,Bourse,15
14363,1509,629,2022-08-24,10:00,10:15,Étudiant,Attestation,15
14364,1379,616,2022-07-18,16:00,16:15,Étudiant,Bourse,15
14365,1585,622,2023-10-04,10:00,10:15,Étudiant,Autre,15
14366,1025,608,2023-09-20,10:00,10:15,Étudiant,Attestation,15
14367,1650,618,2024-03-16,14:00,14:15,Étudiant,Bourse,15
14368,1877,616,2023-07-09,10:00,10:15,Staff,Information,15
14369,1769,615,2022-07-02,09:00,09:15,Étudiant,Information,15
14370,2155,601,2024-08-01,09:00,09:15,Étudiant,Information,15
14371,1834,607,2023-06-17,08:00,08:15,Étudiant,Autre,15
14372,1873,606,2021-09-10,11:00,11:15,Étudiant,Information,15
14373,1613,601,2024-05-16,14:00,14:15,Étudiant,Autre,15
14374,1079,615,2024-11-28,16:00,16:15,Étudiant,Bourse,15
14375,1279,606,2024-04-13,15:00,15:15,Étudiant,Autre,15
14376,1800,609,2022-04-17,11:00,11:15,Étudiant,Autre,15
14377,1820,603,2021-10-01,09:00,09:15,Étudiant,Réclamation,15
14378,1729,610,2025-03-23,15:00,15:15,Staff,Réclamation,15
14379,1374,620,2021-10-22,15:00,15:15,Étudiant,Attestation,15
14380,1784,611,2025-02-04,10:00,10:15,Étudiant,Attestation,15
14381,2071,609,2023-06-28,15:00,15:15,Étudiant,Autre,15
14382,1556,619,2023-05-09,08:00,08:15,Staff,Bourse,15
14383,1459,627,2022-05-18,14:00,14:15,Étudiant,Réclamation,15
14384,1274,605,2023-12-02,08:00,08:15,Étudiant,Autre,15
14385,1132,603,2022-12-24,10:00,10:15,Étudiant,Information,15
14386,1832,607,2023-05-08,14:00,14:15,Étudiant,Information,15
14387,2107,624,2025-02-25,09:00,09:15,Étudiant,Attestation,15
14388,1519,613,2023-08-19,14:00,14:15,Étudiant,Attestation,15
14389,1539,608,2024-04-29,08:00,08:15,Staff,Réclamation,15
14390,1768,620,2022-04-03,11:00,11:15,Staff,Bourse,15
14391,1329,614,2022-02-12,11:00,11:15,Étudiant,Attestation,15
14392,1539,611,2021-11-08,14:00,14:15,Étudiant,Information,15
14393,1157,625,2022-10-17,15:00,15:15,Étudiant,Réclamation,15
14394,1814,604,2024-03-04,15:00,15:15,Étudiant,Bourse,15
14395,1103,617,2024-01-12,10:00,10:15,Staff,Autre,15
14396,1997,612,2025-01-29,14:00,14:15,Staff,Réclamation,15
