id_presence,id_etudiant,id_seance,present,justifiee
6696,1565,7291,Oui,Non
6697,1883,7158,Oui,Non
6698,2135,7741,Oui,Non
6699,1849,8824,Oui,Non
6700,2099,7958,Oui,Non
6701,1476,8322,Oui,Non
6702,1565,7072,Oui,Non
6703,1981,7287,Oui,Non
6704,1885,7415,Oui,Non
6705,1504,7333,Oui,Non
6706,1507,7114,Non,Oui
6707,2115,8427,Oui,Non
6708,2161,8681,Oui,Non
6709,1041,8837,Non,Oui
6710,1230,8641,Oui,Non
6711,1044,7821,Non,Oui
6712,2028,8090,Oui,Non
6713,2072,8021,Oui,Non
6714,1274,8427,Oui,Non
6715,1315,8167,Oui,Non
6716,1704,7154,Oui,Non
6717,1844,8247,Oui,Non
6718,1519,7710,Oui,Non
6719,2072,7433,Oui,Non
6720,1928,8962,Oui,Non
6721,2119,7410,Oui,Non
6722,1935,8460,Oui,Non
6723,1673,7715,Non,Non
6724,1885,8994,Non,Non
6725,1417,8655,Non,Non
6726,2178,7728,Non,Non
6727,2101,7896,Oui,Non
6728,1140,7951,Oui,Non
6729,1289,7670,Oui,Non
6730,1095,8419,Non,Oui
6731,2195,7228,Oui,Non
6732,1886,7265,Oui,Non
6733,1870,8914,Oui,Non
6734,1964,7863,Oui,Non
6735,1345,8213,Oui,Non
6736,2100,7582,Oui,Non
6737,2076,8762,Oui,Non
6738,1240,7994,Oui,Non
6739,1890,7986,Non,Oui
6740,1100,7186,Oui,Non
6741,2013,8666,Non,Oui
6742,1120,8392,Oui,Non
6743,1641,8754,Oui,Non
6744,1261,8714,Oui,Non
6745,2106,8957,Oui,Non
6746,1326,7207,Oui,Non
6747,1749,8305,Non,Oui
6748,1085,8299,Oui,Non
6749,1721,8498,Oui,Non
6750,1352,8693,Oui,Non
6751,1555,7855,Oui,Non
6752,1309,7074,Oui,Non
6753,1690,7871,Oui,Non
6754,1483,8233,Oui,Non
6755,1723,7075,Oui,Non
6756,1590,7387,Oui,Non
6757,1785,7263,Oui,Non
6758,2103,7188,Oui,Non
6759,1110,8318,Non,Oui
6760,1642,8935,Oui,Non
6761,1582,7135,Non,Non
6762,1327,7126,Oui,Non
6763,1580,8084,Oui,Non
6764,1710,7101,Oui,Non
6765,1756,7030,Oui,Non
6766,1435,8511,Oui,Non
6767,2056,7111,Non,Non
6768,2158,8246,Non,Non
6769,1051,7287,Oui,Non
6770,1009,7620,Oui,Non
6771,1050,8859,Non,Oui
6772,1959,7992,Oui,Non
6773,2142,7357,Oui,Non
6774,1673,8439,Oui,Non
6775,1265,8550,Oui,Non
6776,1452,8003,Non,Oui
6777,1703,7527,Oui,Non
6778,1133,7897,Oui,Non
6779,1732,7975,Oui,Non
6780,1635,8142,Non,Oui
6781,1200,7369,Non,Oui
6782,1217,7696,Non,Oui
6783,1445,8636,Non,Oui
6784,1262,8244,Oui,Non
6785,1948,8450,Oui,Non
6786,1285,8970,Oui,Non
6787,1121,8913,Oui,Non
6788,1426,8812,Oui,Non
6789,1456,8304,Oui,Non
6790,1104,7895,Oui,Non
6791,2106,8992,Oui,Non
6792,1677,8033,Oui,Non
6793,1590,8664,Oui,Non
6794,1387,7441,Oui,Non
6795,2158,7144,Oui,Non
6796,1089,7453,Non,Non
6797,1230,8411,Oui,Non
6798,1304,7905,Oui,Non
6799,1497,8162,Oui,Non
6800,1743,7646,Oui,Non
6801,1180,8944,Oui,Non
6802,1371,7173,Oui,Non
6803,1184,7864,Oui,Non
6804,1364,7069,Non,Oui
6805,1667,8225,Non,Non
6806,1008,8469,Oui,Non
6807,1515,7389,Oui,Non
6808,1442,7804,Oui,Non
6809,1515,7431,Oui,Non
6810,2154,8656,Non,Non
6811,1191,7518,Oui,Non
6812,1016,8294,Oui,Non
6813,1308,7339,Oui,Non
6814,1816,8471,Non,Non
6815,1654,7322,Oui,Non
6816,1097,8736,Oui,Non
6817,1914,8888,Oui,Non
6818,1988,7218,Oui,Non
6819,1448,7386,Oui,Non
6820,1763,7447,Oui,Non
6821,1090,8205,Oui,Non
6822,1123,8364,Oui,Non
6823,1288,7701,Oui,Non
6824,1869,8322,Oui,Non
6825,1678,7581,Non,Non
6826,2130,7847,Oui,Non
6827,1340,8133,Oui,Non
6828,1948,8340,Oui,Non
6829,1593,7562,Oui,Non
6830,1452,7377,Non,Non
6831,1776,7725,Oui,Non
6832,1847,8753,Oui,Non
6833,1134,7685,Non,Oui
6834,1842,8505,Oui,Non
6835,1248,7954,Oui,Non
6836,1418,7643,Oui,Non
6837,2055,7751,Non,Non
6838,2024,7811,Oui,Non
6839,1792,7736,Oui,Non
6840,2160,7740,Oui,Non
6841,1844,7026,Non,Oui
6842,1469,8445,Oui,Non
6843,1645,7315,Oui,Non
6844,1810,8509,Oui,Non
6845,1525,8306,Oui,Non
6846,1018,8155,Oui,Non
6847,1262,7668,Oui,Non
6848,1544,7694,Oui,Non
6849,1755,8719,Oui,Non
6850,1929,8314,Oui,Non
6851,1993,7813,Oui,Non
6852,1560,7144,Oui,Non
6853,1880,7629,Oui,Non
6854,1379,8268,Oui,Non
6855,1159,7452,Non,Oui
6856,1318,7367,Oui,Non
6857,1293,7250,Oui,Non
6858,1411,7741,Oui,Non
6859,1305,7638,Oui,Non
6860,1313,7341,Non,Non
6861,1757,7068,Oui,Non
6862,1626,8163,Oui,Non
6863,1273,8141,Oui,Non
6864,1944,8650,Oui,Non
6865,1673,7406,Oui,Non
6866,2118,7959,Oui,Non
6867,1436,8351,Oui,Non
6868,2022,7826,Non,Oui
6869,1050,7104,Oui,Non
6870,1320,7637,Non,Oui
6871,1883,7804,Oui,Non
6872,1633,8409,Oui,Non
6873,1884,8904,Oui,Non
6874,1010,8393,Oui,Non
6875,1431,8061,Non,Non
6876,1326,8800,Oui,Non
6877,1730,8855,Oui,Non
