id_devoir,id_module,id_professeur,date_donne,date_rendu,type,duree_estimee_h
8099,314,404,2024-06-29,2024-07-17,DS,6.7
8100,309,407,2024-04-17,2024-04-22,TP,7.9
8101,334,417,2023-09-15,2023-09-21,TP,2.0
8102,326,424,2022-12-08,2022-12-21,TP,7.8
8103,309,439,2023-07-03,2023-07-21,Projet,2.9
8104,316,419,2024-01-03,2024-01-19,TP,1.4
8105,322,418,2023-11-09,2023-11-14,TP,6.0
8106,325,457,2023-04-13,2023-04-21,DS,1.2
8107,311,405,2023-12-06,2023-12-22,TP,4.8
8108,339,403,2024-07-09,2024-07-21,TP,5.9
8109,321,402,2024-08-19,2024-08-27,Projet,5.2
8110,351,454,2024-11-30,2024-12-13,TP,3.3
8111,346,458,2023-08-01,2023-08-08,Projet,4.1
8112,312,405,2023-06-29,2023-07-14,TP,1.4
8113,324,411,2024-06-13,2024-06-29,Projet,5.7
8114,331,436,2023-11-04,2023-11-09,Projet,6.5
8115,308,451,2022-10-20,2022-11-09,TP,5.2
8116,344,432,2024-05-04,2024-05-10,DS,1.5
8117,317,411,2025-02-22,2025-03-08,DS,3.4
8118,335,407,2024-06-06,2024-06-23,Projet,4.4
8119,305,433,2024-04-07,2024-04-20,TP,3.5
8120,317,401,2024-02-14,2024-02-20,DS,1.3
8121,303,403,2023-06-28,2023-07-12,Projet,3.9
8122,323,433,2025-01-17,2025-02-05,TP,4.7
8123,319,469,2023-04-05,2023-04-24,TP,2.2
8124,302,437,2023-10-22,2023-10-31,TP,3.8
8125,321,457,2023-01-16,2023-02-03,DS,1.6
8126,334,406,2023-03-17,2023-04-06,Projet,3.3
8127,306,465,2022-11-21,2022-11-29,DS,5.7
8128,351,450,2022-12-19,2023-01-04,DS,5.8
8129,304,472,2023-09-17,2023-09-25,TP,5.0
8130,302,440,2024-05-09,2024-05-21,DS,3.4
8131,329,410,2022-09-23,2022-10-13,TP,1.5
8132,344,436,2023-11-18,2023-12-08,TP,7.0
8133,343,450,2024-09-09,2024-09-20,DS,5.4
8134,358,430,2024-08-08,2024-08-18,Projet,2.7
8135,330,452,2024-04-20,2024-05-10,DS,2.1
8136,325,413,2023-07-12,2023-07-30,Projet,2.8
8137,318,449,2023-06-27,2023-07-15,TP,3.6
8138,342,465,2025-04-29,2025-05-09,TP,5.8
8139,343,470,2022-11-26,2022-12-08,DS,4.6
8140,305,412,2024-10-31,2024-11-12,TP,5.4
8141,348,436,2023-06-06,2023-06-26,Projet,5.2
8142,311,475,2024-08-28,2024-09-16,Projet,6.0
8143,306,435,2024-04-11,2024-04-25,Projet,7.4
8144,320,403,2024-04-12,2024-04-17,Projet,5.6
8145,322,470,2023-09-29,2023-10-12,TP,2.6
8146,338,420,2024-11-23,2024-12-07,Projet,6.2
8147,333,464,2024-11-28,2024-12-03,Projet,7.7
8148,316,462,2024-10-09,2024-10-26,Projet,5.5
8149,331,454,2024-12-03,2024-12-16,Projet,4.3
8150,329,468,2023-03-30,2023-04-05,TP,2.7
8151,310,445,2025-01-25,2025-02-02,Projet,1.7
8152,330,416,2024-03-04,2024-03-22,DS,6.9
8153,329,440,2024-04-08,2024-04-27,TP,6.6
8154,328,452,2023-11-17,2023-11-23,Projet,5.3
8155,308,477,2024-04-25,2024-05-06,TP,2.1
8156,317,417,2025-01-06,2025-01-21,Projet,5.6
8157,314,415,2024-05-18,2024-06-06,TP,7.1
8158,355,402,2024-01-22,2024-02-12,TP,3.9
8159,329,441,2025-01-25,2025-02-02,DS,5.4
8160,342,456,2025-01-14,2025-01-25,Projet,5.1
8161,353,454,2024-07-19,2024-08-08,DS,5.6
8162,318,458,2025-01-24,2025-02-13,TP,7.4
8163,318,405,2022-12-23,2023-01-08,TP,6.9
8164,360,408,2023-12-24,2024-01-02,TP,8.0
8165,302,411,2024-10-07,2024-10-23,TP,7.7
8166,340,437,2023-05-21,2023-05-27,Projet,6.8
8167,345,480,2024-05-28,2024-06-12,TP,6.7
8168,324,450,2023-01-14,2023-01-25,TP,2.8
8169,318,471,2025-03-17,2025-03-30,TP,3.4
8170,346,461,2023-08-11,2023-08-28,Projet,3.9
8171,353,444,2023-05-06,2023-05-19,DS,1.0
8172,322,404,2025-03-15,2025-03-30,DS,6.5
8173,329,421,2024-08-03,2024-08-23,Projet,4.3
8174,341,419,2024-02-23,2024-03-14,TP,5.0
8175,333,472,2024-07-20,2024-08-09,DS,7.6
8176,338,435,2024-03-22,2024-04-01,Projet,7.2
8177,353,452,2023-11-11,2023-11-16,DS,3.9
8178,352,479,2023-11-08,2023-11-13,Projet,2.3
8179,328,440,2023-12-20,2024-01-02,Projet,2.2
8180,350,477,2025-03-15,2025-03-29,DS,5.8
8181,304,462,2022-10-18,2022-11-04,DS,4.0
8182,331,464,2023-04-18,2023-05-07,Projet,4.7
8183,318,463,2023-01-21,2023-01-29,TP,8.0
8184,305,476,2024-03-31,2024-04-08,TP,2.4
8185,328,475,2024-07-28,2024-08-12,DS,7.0
8186,331,423,2024-08-04,2024-08-19,Projet,2.2
8187,307,450,2022-10-07,2022-10-14,TP,4.0
8188,334,408,2024-01-01,2024-01-21,Projet,4.6
8189,304,462,2023-04-02,2023-04-08,DS,4.7
8190,314,440,2023-03-21,2023-03-26,DS,2.5
8191,331,439,2024-10-29,2024-11-10,DS,6.8
8192,337,423,2023-11-17,2023-11-30,Projet,3.0
8193,301,412,2024-03-19,2024-04-05,Projet,5.0
8194,359,479,2023-08-27,2023-09-04,DS,5.5
8195,337,439,2023-02-26,2023-03-16,TP,1.3
8196,307,470,2022-11-09,2022-11-18,Projet,4.2
8197,358,413,2024-05-06,2024-05-19,TP,7.4
8198,323,413,2024-04-27,2024-05-04,Projet,2.0
8199,313,430,2024-12-08,2024-12-14,TP,5.2
8200,328,456,2023-09-30,2023-10-13,DS,2.5
8201,360,438,2025-04-28,2025-05-09,Projet,5.7
8202,331,446,2024-09-08,2024-09-22,DS,4.7
8203,325,432,2023-07-05,2023-07-25,Projet,4.4
8204,341,471,2023-07-11,2023-07-26,DS,6.1
8205,353,423,2022-09-10,2022-09-29,TP,6.5
8206,351,411,2024-08-01,2024-08-20,Projet,2.4
8207,326,421,2022-11-16,2022-12-02,DS,7.6
8208,323,426,2023-08-04,2023-08-14,TP,4.1
8209,310,436,2024-05-13,2024-05-27,Projet,6.4
8210,316,460,2024-02-06,2024-02-15,TP,7.7
8211,330,463,2024-09-05,2024-09-17,Projet,4.6
8212,334,473,2024-07-13,2024-07-26,Projet,1.6
8213,355,468,2023-02-23,2023-03-13,TP,2.2
8214,331,433,2024-01-13,2024-02-02,Projet,3.7
8215,306,407,2024-05-24,2024-06-07,DS,4.1
8216,356,422,2024-08-22,2024-09-08,Projet,7.7
8217,321,424,2023-09-26,2023-10-10,DS,6.2
8218,315,410,2024-01-11,2024-02-01,DS,2.0
8219,302,434,2023-06-20,2023-06-27,Projet,7.3
8220,352,414,2023-12-16,2023-12-23,DS,5.2
8221,318,432,2024-12-02,2024-12-14,TP,1.4
8222,312,455,2025-04-06,2025-04-22,TP,4.7
8223,319,480,2022-12-12,2022-12-29,DS,6.6
8224,302,411,2023-07-23,2023-08-03,TP,2.5
8225,343,411,2022-11-04,2022-11-09,DS,6.0
8226,320,448,2024-02-06,2024-02-23,TP,6.9
8227,306,429,2025-02-13,2025-03-05,DS,5.9
8228,345,409,2024-09-11,2024-09-30,TP,5.0
8229,358,458,2022-12-04,2022-12-20,TP,7.7
8230,332,430,2024-11-30,2024-12-05,DS,7.6
8231,360,457,2024-08-23,2024-09-03,TP,2.5
8232,339,462,2025-01-01,2025-01-07,DS,6.9
8233,301,413,2025-02-12,2025-02-26,Projet,2.2
8234,305,471,2023-02-08,2023-02-18,DS,7.6
8235,358,434,2024-07-25,2024-07-30,DS,3.9
8236,334,449,2023-04-02,2023-04-17,TP,6.9
8237,328,452,2024-04-30,2024-05-06,DS,7.4
8238,355,411,2023-07-18,2023-07-31,DS,3.4
8239,303,436,2024-09-09,2024-09-29,DS,1.4
8240,346,404,2024-03-24,2024-03-30,TP,3.4
8241,358,441,2022-11-24,2022-12-06,DS,6.0
8242,321,479,2024-04-08,2024-04-26,DS,6.8
8243,331,452,2023-02-02,2023-02-13,Projet,7.0
8244,360,464,2024-11-24,2024-12-14,Projet,4.1
8245,355,442,2022-10-21,2022-11-03,Projet,6.9
8246,325,420,2023-08-07,2023-08-22,TP,3.4
8247,318,422,2025-01-05,2025-01-15,TP,3.8
8248,349,408,2023-05-26,2023-06-12,Projet,7.1
8249,348,465,2024-07-10,2024-07-28,DS,6.5
8250,332,444,2024-10-18,2024-10-31,DS,6.2
8251,332,464,2023-02-11,2023-02-19,DS,3.1
8252,353,413,2024-03-25,2024-04-11,DS,3.6
8253,302,410,2024-03-23,2024-04-12,Projet,6.5
8254,323,463,2023-08-05,2023-08-11,Projet,2.2
8255,348,471,2024-01-17,2024-02-03,TP,7.2
8256,318,438,2023-05-27,2023-06-03,TP,7.3
8257,348,418,2023-06-13,2023-06-26,DS,6.2
8258,351,403,2024-01-19,2024-02-09,Projet,1.4
8259,355,406,2023-08-21,2023-08-28,TP,6.7
8260,329,466,2023-04-21,2023-05-09,DS,3.9
8261,357,480,2023-05-17,2023-06-05,DS,3.1
8262,305,453,2023-05-19,2023-06-09,DS,3.1
8263,359,401,2025-02-12,2025-03-03,TP,5.6
8264,329,402,2022-11-20,2022-11-26,TP,4.7
8265,317,429,2025-03-12,2025-03-30,TP,5.0
8266,343,429,2023-02-05,2023-02-24,TP,3.9
8267,344,407,2022-12-17,2023-01-01,TP,1.9
8268,351,411,2023-12-15,2023-12-30,DS,1.2
8269,328,402,2024-01-20,2024-01-27,Projet,6.8
8270,323,415,2023-12-13,2023-12-18,DS,7.3
8271,331,471,2025-03-23,2025-04-05,DS,4.5
8272,324,459,2023-09-12,2023-09-30,DS,4.7
8273,359,462,2023-11-13,2023-12-03,DS,4.0
8274,309,412,2024-01-13,2024-01-23,DS,4.9
8275,320,476,2023-04-27,2023-05-05,TP,2.4
8276,341,476,2025-05-01,2025-05-10,DS,3.5
8277,312,447,2023-12-08,2023-12-28,Projet,2.6
8278,354,460,2023-11-07,2023-11-20,Projet,1.4
8279,344,474,2024-02-19,2024-02-27,DS,5.8
8280,323,476,2022-10-17,2022-10-30,TP,5.8
8281,357,451,2024-06-05,2024-06-10,DS,2.2
8282,311,444,2024-11-01,2024-11-18,DS,1.4
8283,327,413,2023-04-10,2023-04-15,Projet,4.8
8284,323,463,2023-01-31,2023-02-06,DS,6.9
8285,342,422,2025-02-12,2025-02-18,Projet,5.6
8286,316,459,2024-09-05,2024-09-11,DS,7.3
8287,322,480,2025-04-07,2025-04-23,Projet,1.7
8288,326,457,2023-01-05,2023-01-22,DS,4.0
8289,310,474,2023-10-29,2023-11-15,TP,4.8
8290,360,425,2023-10-12,2023-10-29,DS,1.9
8291,316,449,2023-09-04,2023-09-25,TP,2.3
8292,352,408,2023-01-26,2023-02-04,DS,3.3
8293,324,406,2023-06-10,2023-06-15,TP,5.3
8294,340,457,2022-09-19,2022-10-08,DS,6.8
8295,342,472,2025-03-16,2025-04-05,DS,6.7
8296,359,426,2024-03-02,2024-03-16,DS,6.3
8297,341,401,2022-10-23,2022-11-10,TP,3.3
8298,333,437,2023-06-27,2023-07-09,Projet,6.3
8299,337,430,2024-11-18,2024-11-23,DS,2.9
8300,315,441,2022-11-03,2022-11-21,DS,6.0
8301,345,464,2024-05-16,2024-05-22,TP,2.9
8302,355,432,2025-01-30,2025-02-19,TP,5.4
8303,319,437,2022-09-06,2022-09-25,Projet,7.8
8304,354,441,2024-06-12,2024-06-24,DS,2.8
8305,309,463,2022-09-16,2022-10-07,Projet,1.2
8306,330,455,2025-01-17,2025-01-30,TP,1.8
8307,301,407,2023-03-12,2023-03-27,Projet,6.6
8308,355,416,2025-03-07,2025-03-22,TP,3.3
8309,314,470,2024-01-07,2024-01-28,DS,4.8
8310,332,440,2023-03-04,2023-03-09,TP,2.1
8311,333,442,2023-02-16,2023-02-21,TP,2.1
8312,315,424,2023-07-20,2023-07-25,TP,5.9
8313,324,410,2024-03-03,2024-03-18,TP,7.3
8314,313,443,2022-12-29,2023-01-08,TP,4.3
8315,352,457,2022-12-04,2022-12-25,TP,5.7
8316,323,402,2024-11-02,2024-11-18,DS,2.5
8317,340,416,2025-02-03,2025-02-24,Projet,2.9
8318,302,446,2024-02-08,2024-02-15,TP,1.7
8319,346,401,2022-09-23,2022-10-13,TP,5.4
8320,318,448,2022-10-13,2022-10-20,TP,4.0
8321,359,428,2024-05-11,2024-05-22,DS,4.3
8322,340,419,2024-08-17,2024-09-03,Projet,5.0
8323,338,434,2025-03-28,2025-04-16,DS,4.6
8324,340,426,2025-01-05,2025-01-11,Projet,7.5
8325,324,423,2024-07-22,2024-08-02,Projet,1.3
8326,324,453,2022-10-23,2022-11-03,TP,6.7
8327,306,420,2023-11-24,2023-12-08,DS,2.4
8328,340,439,2023-03-30,2023-04-06,DS,5.5
8329,353,409,2024-03-02,2024-03-14,TP,3.7
8330,356,425,2023-06-22,2023-07-10,TP,2.5
8331,323,425,2023-11-12,2023-11-19,Projet,3.1
8332,321,477,2024-09-26,2024-10-09,TP,7.7
8333,349,416,2024-03-19,2024-04-04,DS,6.3
8334,321,414,2024-04-20,2024-05-04,TP,5.9
8335,342,414,2024-11-17,2024-12-06,Projet,4.9
8336,357,453,2024-01-04,2024-01-16,DS,7.8
8337,303,417,2024-10-17,2024-10-28,DS,3.0
8338,353,427,2024-12-08,2024-12-20,DS,5.8
8339,341,431,2024-02-20,2024-02-28,Projet,5.0
8340,350,419,2022-09-05,2022-09-20,DS,5.3
8341,343,420,2024-08-31,2024-09-20,DS,2.8
8342,350,440,2022-09-25,2022-10-07,Projet,7.4
8343,325,455,2025-04-09,2025-04-30,TP,4.3
8344,332,420,2024-12-10,2024-12-27,DS,6.2
8345,321,462,2023-12-20,2024-01-10,Projet,3.9
8346,313,453,2023-11-11,2023-12-02,DS,3.5
8347,313,468,2024-01-11,2024-01-17,Projet,6.4
8348,313,425,2023-01-29,2023-02-04,Projet,4.2
8349,339,475,2022-12-05,2022-12-15,TP,4.2
8350,341,460,2022-10-22,2022-11-07,DS,4.7
8351,326,418,2025-04-02,2025-04-10,DS,4.9
8352,341,453,2024-07-08,2024-07-19,TP,4.2
8353,344,423,2025-04-14,2025-05-05,Projet,5.6
8354,328,470,2025-02-17,2025-03-06,DS,1.1
8355,357,452,2024-11-02,2024-11-23,Projet,7.4
8356,357,421,2022-11-04,2022-11-24,Projet,1.3
8357,356,421,2024-09-14,2024-09-30,DS,4.8
8358,325,442,2023-05-31,2023-06-21,DS,4.0
8359,305,458,2024-11-03,2024-11-12,DS,5.4
8360,343,479,2022-12-13,2023-01-01,Projet,4.1
8361,308,406,2023-04-11,2023-04-17,Projet,2.5
8362,347,401,2024-03-26,2024-04-11,Projet,2.8
8363,334,459,2025-03-19,2025-03-25,TP,7.3
8364,316,425,2024-02-29,2024-03-13,TP,7.3
8365,335,449,2023-07-23,2023-08-11,Projet,5.4
8366,304,424,2023-10-02,2023-10-10,DS,1.5
8367,345,404,2024-01-30,2024-02-17,Projet,4.0
8368,327,439,2024-09-14,2024-09-20,TP,7.5
8369,357,474,2024-05-13,2024-06-02,Projet,5.8
8370,341,404,2023-04-16,2023-05-07,TP,6.1
8371,354,428,2022-09-09,2022-09-28,Projet,2.2
8372,350,443,2024-06-19,2024-07-01,TP,1.7
8373,348,468,2023-11-03,2023-11-24,TP,1.2
8374,306,443,2025-03-05,2025-03-20,TP,4.8
8375,307,431,2024-06-13,2024-07-02,DS,6.0
8376,353,422,2023-06-18,2023-06-26,TP,5.7
8377,309,435,2023-10-03,2023-10-23,Projet,5.2
8378,317,432,2024-09-09,2024-09-20,DS,4.5
8379,311,458,2024-03-11,2024-03-23,Projet,6.7
8380,342,479,2023-08-27,2023-09-16,TP,4.0
8381,334,440,2022-10-03,2022-10-08,TP,4.6
8382,359,452,2024-09-02,2024-09-15,DS,6.3
8383,329,458,2023-08-07,2023-08-21,TP,7.8
8384,308,477,2023-01-21,2023-02-10,Projet,5.6
8385,328,444,2025-01-10,2025-01-19,TP,7.3
8386,355,439,2024-07-11,2024-07-20,TP,3.3
8387,328,452,2024-11-16,2024-12-05,DS,5.3
8388,339,408,2024-04-09,2024-04-28,DS,1.9
8389,327,461,2024-09-05,2024-09-18,DS,4.0
8390,307,441,2022-09-25,2022-10-08,DS,2.6
8391,329,430,2023-02-15,2023-03-05,Projet,4.8
8392,316,479,2023-04-12,2023-04-21,DS,6.8
8393,349,478,2024-07-14,2024-08-04,TP,2.0
8394,342,433,2023-09-02,2023-09-20,Projet,4.5
8395,312,473,2023-11-06,2023-11-24,TP,7.9
8396,315,447,2022-11-01,2022-11-18,TP,4.5
8397,336,407,2024-06-18,2024-07-02,DS,4.4
8398,306,440,2025-04-06,2025-04-16,TP,2.0
8399,341,447,2023-04-26,2023-05-01,Projet,3.8
8400,347,410,2022-10-24,2022-11-02,TP,3.9
8401,355,450,2023-06-20,2023-06-26,Projet,6.6
8402,319,478,2022-11-17,2022-11-23,Projet,7.3
8403,301,407,2022-11-25,2022-12-03,TP,3.7
8404,343,476,2025-01-02,2025-01-17,TP,3.4
8405,360,432,2023-07-16,2023-07-22,DS,1.7
8406,334,435,2025-02-23,2025-03-12,DS,5.6
8407,332,439,2025-02-07,2025-02-17,DS,7.4
8408,312,417,2023-07-20,2023-08-04,Projet,5.7
8409,333,459,2024-04-07,2024-04-18,DS,4.5
8410,311,414,2023-03-23,2023-04-10,TP,3.6
8411,358,452,2024-11-01,2024-11-09,DS,6.2
8412,341,469,2022-10-31,2022-11-17,DS,7.1
8413,332,412,2024-12-12,2024-12-23,Projet,7.4
8414,341,419,2022-09-01,2022-09-17,DS,7.7
8415,318,423,2023-10-22,2023-10-31,TP,8.0
8416,351,433,2025-03-18,2025-03-30,TP,6.8
8417,320,453,2024-06-23,2024-07-08,DS,7.4
8418,344,446,2024-07-21,2024-07-27,TP,7.8
8419,332,463,2023-06-19,2023-07-02,DS,1.6
8420,301,421,2023-10-27,2023-11-17,TP,5.9
8421,323,425,2025-02-15,2025-03-07,TP,3.5
8422,358,472,2024-06-16,2024-07-06,TP,4.9
8423,312,408,2024-09-26,2024-10-09,Projet,1.5
8424,357,442,2023-08-19,2023-08-29,Projet,6.2
8425,359,422,2025-01-08,2025-01-20,DS,6.6
8426,326,436,2022-12-11,2022-12-23,DS,7.4
8427,341,418,2023-05-11,2023-05-31,TP,5.9
8428,342,437,2023-06-29,2023-07-11,DS,6.4
8429,338,440,2023-01-27,2023-02-12,Projet,4.2
8430,359,464,2023-11-13,2023-11-27,Projet,1.4
8431,358,461,2025-01-25,2025-02-13,DS,2.8
8432,349,451,2024-06-13,2024-06-26,Projet,4.4
8433,356,466,2024-11-14,2024-11-25,Projet,6.4
8434,337,402,2022-12-15,2023-01-02,TP,5.4
8435,343,410,2024-11-20,2024-11-25,DS,5.2
8436,336,438,2023-11-27,2023-12-11,DS,5.3
8437,338,473,2023-02-17,2023-03-01,DS,3.7
8438,309,416,2023-05-24,2023-06-02,Projet,1.9
8439,333,445,2023-08-31,2023-09-20,DS,7.8
8440,350,424,2025-02-04,2025-02-18,Projet,5.1
8441,322,447,2022-09-02,2022-09-22,Projet,5.0
8442,324,468,2022-11-30,2022-12-13,DS,2.9
8443,358,449,2023-08-26,2023-09-11,DS,5.6
8444,315,437,2024-10-29,2024-11-09,TP,2.9
8445,356,460,2024-09-03,2024-09-08,Projet,6.4
8446,355,428,2023-10-30,2023-11-06,Projet,2.7
8447,340,438,2023-08-03,2023-08-15,TP,7.5
8448,348,435,2024-03-06,2024-03-21,Projet,1.1
8449,314,416,2023-12-28,2024-01-06,Projet,2.1
8450,307,410,2024-06-14,2024-06-24,TP,3.2
8451,307,466,2023-02-03,2023-02-10,TP,2.8
8452,332,471,2024-10-26,2024-11-16,Projet,2.5
8453,341,459,2023-12-20,2023-12-26,TP,1.4
8454,302,457,2025-01-24,2025-01-29,Projet,3.6
8455,347,403,2024-06-22,2024-07-09,DS,3.7
8456,312,457,2023-04-11,2023-04-28,DS,7.5
8457,343,426,2024-08-31,2024-09-09,TP,3.3
8458,301,464,2023-02-04,2023-02-25,DS,2.8
8459,303,462,2024-01-16,2024-02-06,Projet,8.0
8460,355,431,2024-09-30,2024-10-19,Projet,7.5
8461,332,443,2024-01-24,2024-02-03,Projet,7.8
8462,340,476,2023-03-15,2023-04-02,DS,3.7
8463,307,467,2024-12-03,2024-12-17,TP,2.9
8464,356,476,2022-12-20,2023-01-01,Projet,7.4
8465,346,473,2023-12-08,2023-12-17,Projet,2.2
8466,310,478,2024-12-06,2024-12-11,DS,3.9
8467,323,414,2025-03-28,2025-04-12,Projet,6.1
8468,311,462,2023-07-19,2023-08-02,TP,7.0
8469,354,464,2024-03-10,2024-03-18,TP,5.5
8470,315,425,2024-09-22,2024-10-03,DS,7.8
8471,337,430,2023-12-01,2023-12-08,Projet,2.5
8472,353,464,2023-07-03,2023-07-18,TP,7.2
8473,354,455,2024-05-24,2024-06-01,TP,3.7
8474,304,419,2024-06-07,2024-06-15,DS,6.6
8475,303,422,2024-11-13,2024-12-03,Projet,4.0
8476,340,473,2024-07-10,2024-07-26,Projet,5.7
8477,356,460,2024-10-13,2024-10-19,DS,3.5
8478,309,442,2024-06-13,2024-06-25,Projet,7.3
8479,356,454,2022-10-25,2022-11-05,DS,5.3
8480,322,428,2022-09-03,2022-09-23,TP,7.9
8481,311,472,2023-04-02,2023-04-21,Projet,5.0
8482,344,422,2024-12-26,2025-01-15,TP,5.7
8483,325,424,2024-11-21,2024-12-01,TP,7.4
8484,340,461,2024-07-24,2024-08-08,DS,1.6
8485,357,445,2024-10-04,2024-10-14,Projet,2.8
8486,314,469,2024-11-21,2024-12-11,DS,7.0
8487,329,442,2022-09-27,2022-10-16,Projet,2.3
8488,320,439,2022-12-09,2022-12-22,Projet,5.3
8489,351,415,2024-12-07,2024-12-24,Projet,2.9
8490,337,450,2024-07-26,2024-08-05,Projet,2.8
8491,336,436,2023-03-27,2023-04-01,Projet,7.6
